date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2022/09/01,MUFG,KWD,JPY,461.61,445.61,453.61
2022/09/02,MUFG,KWD,JPY,463.13,447.13,455.13
2022/09/05,MUFG,KWD,JPY,463.98,447.98,455.98
2022/09/06,MUFG,KWD,JPY,463.42,447.42,455.42
2022/09/07,MUFG,KWD,JPY,470.27,454.27,462.27
2022/09/08,MUFG,KWD,JPY,476.18,460.18,468.18
2022/09/09,MUFG,KWD,JPY,474.92,458.92,466.92
2022/09/12,MUFG,KWD,JPY,472.,456.,464.
2022/09/13,MUFG,KWD,JPY,469.59,453.59,461.59
2022/09/14,MUFG,KWD,JPY,477.12,461.12,469.12
2022/09/15,MUFG,KWD,JPY,473.09,457.09,465.09
2022/09/16,MUFG,KWD,JPY,472.04,456.04,464.04
2022/09/20,MUFG,KWD,JPY,472.74,456.74,464.74
2022/09/21,MUFG,KWD,JPY,472.39,456.39,464.39
2022/09/22,MUFG,KWD,JPY,474.31,458.31,466.31
2022/09/26,MUFG,KWD,JPY,473.48,457.48,465.48
2022/09/27,MUFG,KWD,JPY,474.46,458.46,466.46
2022/09/28,MUFG,KWD,JPY,474.72,458.72,466.72
2022/09/29,MUFG,KWD,JPY,474.06,458.06,466.06
2022/09/30,MUFG,KWD,JPY,476.34,460.34,468.34
