date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2017/01/04,MUFG,MXN,JPY,6.59,4.59,5.59
2017/01/05,MUFG,MXN,JPY,6.43,4.43,5.43
2017/01/06,MUFG,MXN,JPY,6.4,4.4,5.4
2017/01/10,MUFG,MXN,JPY,6.42,4.42,5.42
2017/01/11,MUFG,MXN,JPY,6.32,4.32,5.32
2017/01/12,MUFG,MXN,JPY,6.25,4.25,5.25
2017/01/13,MUFG,MXN,JPY,6.28,4.28,5.28
2017/01/16,MUFG,MXN,JPY,6.32,4.32,5.32
2017/01/17,MUFG,MXN,JPY,6.26,4.26,5.26
2017/01/18,MUFG,MXN,JPY,6.24,4.24,5.24
2017/01/19,MUFG,MXN,JPY,6.25,4.25,5.25
2017/01/20,MUFG,MXN,JPY,6.26,4.26,5.26
2017/01/23,MUFG,MXN,JPY,6.29,4.29,5.29
2017/01/24,MUFG,MXN,JPY,6.29,4.29,5.29
2017/01/25,MUFG,MXN,JPY,6.29,4.29,5.29
2017/01/26,MUFG,MXN,JPY,6.38,4.38,5.38
2017/01/27,MUFG,MXN,JPY,6.38,4.38,5.38
2017/01/30,MUFG,MXN,JPY,6.49,4.49,5.49
2017/01/31,MUFG,MXN,JPY,6.47,4.47,5.47
2017/02/01,MUFG,MXN,JPY,6.43,4.43,5.43
2017/02/02,MUFG,MXN,JPY,6.47,4.47,5.47
2017/02/03,MUFG,MXN,JPY,6.51,4.51,5.51
2017/02/06,MUFG,MXN,JPY,6.5,4.5,5.5
2017/02/07,MUFG,MXN,JPY,6.43,4.43,5.43
2017/02/08,MUFG,MXN,JPY,6.45,4.45,5.45
2017/02/09,MUFG,MXN,JPY,6.47,4.47,5.47
2017/02/10,MUFG,MXN,JPY,6.59,4.59,5.59
2017/02/13,MUFG,MXN,JPY,6.6,4.6,5.6
2017/02/14,MUFG,MXN,JPY,6.61,4.61,5.61
2017/02/15,MUFG,MXN,JPY,6.65,4.65,5.65
2017/02/16,MUFG,MXN,JPY,6.63,4.63,5.63
2017/02/17,MUFG,MXN,JPY,6.57,4.57,5.57
2017/02/20,MUFG,MXN,JPY,6.52,4.52,5.52
2017/02/21,MUFG,MXN,JPY,6.56,4.56,5.56
2017/02/22,MUFG,MXN,JPY,6.68,4.68,5.68
2017/02/23,MUFG,MXN,JPY,6.69,4.69,5.69
2017/02/24,MUFG,MXN,JPY,6.74,4.74,5.74
2017/02/27,MUFG,MXN,JPY,6.65,4.65,5.65
2017/02/28,MUFG,MXN,JPY,6.66,4.66,5.66
2017/03/01,MUFG,MXN,JPY,6.63,4.63,5.63
2017/03/02,MUFG,MXN,JPY,6.76,4.76,5.76
2017/03/03,MUFG,MXN,JPY,6.71,4.71,5.71
2017/03/06,MUFG,MXN,JPY,6.81,4.81,5.81
2017/03/07,MUFG,MXN,JPY,6.82,4.82,5.82
2017/03/08,MUFG,MXN,JPY,6.85,4.85,5.85
2017/03/09,MUFG,MXN,JPY,6.83,4.83,5.83
2017/03/10,MUFG,MXN,JPY,6.81,4.81,5.81
2017/03/13,MUFG,MXN,JPY,6.85,4.85,5.85
2017/03/14,MUFG,MXN,JPY,6.85,4.85,5.85
2017/03/15,MUFG,MXN,JPY,6.84,4.84,5.84
2017/03/16,MUFG,MXN,JPY,6.9,4.9,5.9
2017/03/17,MUFG,MXN,JPY,6.9,4.9,5.9
2017/03/21,MUFG,MXN,JPY,6.92,4.92,5.92
2017/03/22,MUFG,MXN,JPY,6.84,4.84,5.84
2017/03/23,MUFG,MXN,JPY,6.87,4.87,5.87
2017/03/24,MUFG,MXN,JPY,6.88,4.88,5.88
2017/03/27,MUFG,MXN,JPY,6.88,4.88,5.88
2017/03/28,MUFG,MXN,JPY,6.88,4.88,5.88
2017/03/29,MUFG,MXN,JPY,6.84,4.84,5.84
2017/03/30,MUFG,MXN,JPY,6.96,4.96,5.96
2017/03/31,MUFG,MXN,JPY,6.99,4.99,5.99
2017/04/03,MUFG,MXN,JPY,6.95,4.95,5.95
2017/04/04,MUFG,MXN,JPY,6.91,4.91,5.91
2017/04/05,MUFG,MXN,JPY,6.89,4.89,5.89
2017/04/06,MUFG,MXN,JPY,6.87,4.87,5.87
2017/04/07,MUFG,MXN,JPY,6.91,4.91,5.91
2017/04/10,MUFG,MXN,JPY,6.99,4.99,5.99
2017/04/11,MUFG,MXN,JPY,6.94,4.94,5.94
2017/04/12,MUFG,MXN,JPY,6.84,4.84,5.84
2017/04/13,MUFG,MXN,JPY,6.87,4.87,5.87
2017/04/14,MUFG,MXN,JPY,6.88,4.88,5.88
2017/04/17,MUFG,MXN,JPY,6.86,4.86,5.86
2017/04/18,MUFG,MXN,JPY,6.9,4.9,5.9
2017/04/19,MUFG,MXN,JPY,6.84,4.84,5.84
2017/04/20,MUFG,MXN,JPY,6.78,4.78,5.78
2017/04/21,MUFG,MXN,JPY,6.82,4.82,5.82
2017/04/24,MUFG,MXN,JPY,6.9,4.9,5.9
2017/04/25,MUFG,MXN,JPY,6.84,4.84,5.84
2017/04/26,MUFG,MXN,JPY,6.9,4.9,5.9
2017/04/27,MUFG,MXN,JPY,6.82,4.82,5.82
2017/04/28,MUFG,MXN,JPY,6.84,4.84,5.84
2017/05/01,MUFG,MXN,JPY,6.93,4.93,5.93
2017/05/02,MUFG,MXN,JPY,6.98,4.98,5.98
2017/05/08,MUFG,MXN,JPY,6.95,4.95,5.95
2017/05/09,MUFG,MXN,JPY,6.9,4.9,5.9
2017/05/10,MUFG,MXN,JPY,6.94,4.94,5.94
2017/05/11,MUFG,MXN,JPY,7.01,5.01,6.01
2017/05/12,MUFG,MXN,JPY,7.05,5.05,6.05
2017/05/15,MUFG,MXN,JPY,7.04,5.04,6.04
2017/05/16,MUFG,MXN,JPY,7.1,5.1,6.1
2017/05/17,MUFG,MXN,JPY,7.03,5.03,6.03
2017/05/18,MUFG,MXN,JPY,6.86,4.86,5.86
2017/05/19,MUFG,MXN,JPY,6.91,4.91,5.91
2017/05/22,MUFG,MXN,JPY,6.95,4.95,5.95
2017/05/23,MUFG,MXN,JPY,6.95,4.95,5.95
2017/05/24,MUFG,MXN,JPY,6.99,4.99,5.99
2017/05/25,MUFG,MXN,JPY,7.06,5.06,6.06
2017/05/26,MUFG,MXN,JPY,7.05,5.05,6.05
2017/05/29,MUFG,MXN,JPY,7.02,5.02,6.02
2017/05/30,MUFG,MXN,JPY,7.,5.,6.
2017/05/31,MUFG,MXN,JPY,6.93,4.93,5.93
2017/06/01,MUFG,MXN,JPY,6.96,4.96,5.96
2017/06/02,MUFG,MXN,JPY,7.,5.,6.
2017/06/05,MUFG,MXN,JPY,6.9,4.9,5.9
2017/06/06,MUFG,MXN,JPY,7.,5.,6.
2017/06/07,MUFG,MXN,JPY,7.,5.,6.
2017/06/08,MUFG,MXN,JPY,7.03,5.03,6.03
2017/06/09,MUFG,MXN,JPY,7.05,5.05,6.05
2017/06/12,MUFG,MXN,JPY,7.07,5.07,6.07
2017/06/13,MUFG,MXN,JPY,7.06,5.06,6.06
2017/06/14,MUFG,MXN,JPY,7.1,5.1,6.1
2017/06/15,MUFG,MXN,JPY,7.12,5.12,6.12
2017/06/16,MUFG,MXN,JPY,7.17,5.17,6.17
2017/06/19,MUFG,MXN,JPY,7.2,5.2,6.2
2017/06/20,MUFG,MXN,JPY,7.22,5.22,6.22
2017/06/21,MUFG,MXN,JPY,7.12,5.12,6.12
2017/06/22,MUFG,MXN,JPY,7.1,5.1,6.1
2017/06/23,MUFG,MXN,JPY,7.14,5.14,6.14
2017/06/26,MUFG,MXN,JPY,7.18,5.18,6.18
2017/06/27,MUFG,MXN,JPY,7.26,5.26,6.26
2017/06/28,MUFG,MXN,JPY,7.24,5.24,6.24
2017/06/29,MUFG,MXN,JPY,7.3,5.3,6.3
2017/06/30,MUFG,MXN,JPY,7.21,5.21,6.21
2017/07/03,MUFG,MXN,JPY,7.19,5.19,6.19
2017/07/04,MUFG,MXN,JPY,7.23,5.23,6.23
2017/07/05,MUFG,MXN,JPY,7.21,5.21,6.21
2017/07/06,MUFG,MXN,JPY,7.17,5.17,6.17
2017/07/07,MUFG,MXN,JPY,7.21,5.21,6.21
2017/07/10,MUFG,MXN,JPY,7.32,5.32,6.32
