date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2021/10/01,MUFG,MXN,JPY,6.4,4.4,5.4
2021/10/04,MUFG,MXN,JPY,6.43,4.43,5.43
2021/10/05,MUFG,MXN,JPY,6.41,4.41,5.41
2021/10/06,MUFG,MXN,JPY,6.42,4.42,5.42
2021/10/07,MUFG,MXN,JPY,6.42,4.42,5.42
2021/10/08,MUFG,MXN,JPY,6.41,4.41,5.41
2021/10/11,MUFG,MXN,JPY,6.42,4.42,5.42
2021/10/12,MUFG,MXN,JPY,6.44,4.44,5.44
2021/10/13,MUFG,MXN,JPY,6.46,4.46,5.46
2021/10/14,MUFG,MXN,JPY,6.52,4.52,5.52
2021/10/15,MUFG,MXN,JPY,6.54,4.54,5.54
2021/10/18,MUFG,MXN,JPY,6.61,4.61,5.61
2021/10/19,MUFG,MXN,JPY,6.6,4.6,5.6
2021/10/20,MUFG,MXN,JPY,6.67,4.67,5.67
2021/10/21,MUFG,MXN,JPY,6.66,4.66,5.66
2021/10/22,MUFG,MXN,JPY,6.61,4.61,5.61
2021/10/25,MUFG,MXN,JPY,6.64,4.64,5.64
2021/10/26,MUFG,MXN,JPY,6.64,4.64,5.64
2021/10/27,MUFG,MXN,JPY,6.65,4.65,5.65
2021/10/28,MUFG,MXN,JPY,6.6,4.6,5.6
2021/10/29,MUFG,MXN,JPY,6.58,4.58,5.58
