date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2021/01/04,MUFG,MYR,JPY,13.73,12.87,13.3
2021/01/05,MUFG,MYR,JPY,13.73,12.87,13.3
2021/01/06,MUFG,MYR,JPY,13.67,12.81,13.24
2021/01/07,MUFG,MYR,JPY,13.71,12.85,13.28
2021/01/08,MUFG,MYR,JPY,13.82,12.96,13.39
2021/01/12,MUFG,MYR,JPY,13.87,13.01,13.44
2021/01/13,MUFG,MYR,JPY,13.8,12.94,13.37
2021/01/14,MUFG,MYR,JPY,13.84,12.98,13.41
2021/01/15,MUFG,MYR,JPY,13.82,12.96,13.39
2021/01/18,MUFG,MYR,JPY,13.82,12.96,13.39
2021/01/19,MUFG,MYR,JPY,13.81,12.95,13.38
2021/01/20,MUFG,MYR,JPY,13.84,12.98,13.41
2021/01/21,MUFG,MYR,JPY,13.8,12.94,13.37
2021/01/22,MUFG,MYR,JPY,13.79,12.93,13.36
2021/01/25,MUFG,MYR,JPY,13.83,12.97,13.4
2021/01/26,MUFG,MYR,JPY,13.82,12.96,13.39
2021/01/27,MUFG,MYR,JPY,13.8,12.94,13.37
2021/01/28,MUFG,MYR,JPY,13.88,13.02,13.45
2021/01/29,MUFG,MYR,JPY,13.91,13.05,13.48
