date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2022/01/04,MUFG,MYR,JPY,15.24,14.38,14.81
2022/01/05,MUFG,MYR,JPY,15.34,14.48,14.91
2022/01/06,MUFG,MYR,JPY,15.31,14.45,14.88
2022/01/07,MUFG,MYR,JPY,15.3,14.44,14.87
2022/01/11,MUFG,MYR,JPY,15.22,14.36,14.79
2022/01/12,MUFG,MYR,JPY,15.23,14.37,14.8
2022/01/13,MUFG,MYR,JPY,15.14,14.28,14.71
2022/01/14,MUFG,MYR,JPY,15.08,14.22,14.65
2022/01/17,MUFG,MYR,JPY,15.11,14.25,14.68
2022/01/18,MUFG,MYR,JPY,15.14,14.28,14.71
2022/01/19,MUFG,MYR,JPY,15.15,14.29,14.72
2022/01/20,MUFG,MYR,JPY,15.1,14.24,14.67
2022/01/21,MUFG,MYR,JPY,15.05,14.19,14.62
2022/01/24,MUFG,MYR,JPY,15.05,14.19,14.62
2022/01/25,MUFG,MYR,JPY,15.07,14.21,14.64
2022/01/26,MUFG,MYR,JPY,15.05,14.19,14.62
2022/01/27,MUFG,MYR,JPY,15.14,14.28,14.71
2022/01/28,MUFG,MYR,JPY,15.25,14.39,14.82
2022/01/31,MUFG,MYR,JPY,15.24,14.38,14.81
2022/02/01,MUFG,MYR,JPY,15.2,14.34,14.77
2022/02/02,MUFG,MYR,JPY,15.15,14.29,14.72
2022/02/03,MUFG,MYR,JPY,15.11,14.25,14.68
2022/02/04,MUFG,MYR,JPY,15.19,14.33,14.76
2022/02/07,MUFG,MYR,JPY,15.23,14.37,14.8
2022/02/08,MUFG,MYR,JPY,15.22,14.36,14.79
2022/02/09,MUFG,MYR,JPY,15.26,14.4,14.83
2022/02/10,MUFG,MYR,JPY,15.27,14.41,14.84
2022/02/14,MUFG,MYR,JPY,15.23,14.37,14.8
2022/02/15,MUFG,MYR,JPY,15.22,14.36,14.79
2022/02/16,MUFG,MYR,JPY,15.26,14.4,14.83
2022/02/17,MUFG,MYR,JPY,15.23,14.37,14.8
2022/02/18,MUFG,MYR,JPY,15.17,14.31,14.74
2022/02/21,MUFG,MYR,JPY,15.18,14.32,14.75
2022/02/22,MUFG,MYR,JPY,15.14,14.28,14.71
2022/02/24,MUFG,MYR,JPY,15.16,14.3,14.73
2022/02/25,MUFG,MYR,JPY,15.23,14.37,14.8
2022/02/28,MUFG,MYR,JPY,15.22,14.36,14.79
2022/03/01,MUFG,MYR,JPY,15.19,14.33,14.76
2022/03/02,MUFG,MYR,JPY,15.15,14.29,14.72
2022/03/03,MUFG,MYR,JPY,15.23,14.37,14.8
2022/03/04,MUFG,MYR,JPY,15.2,14.34,14.77
2022/03/07,MUFG,MYR,JPY,15.15,14.29,14.72
2022/03/08,MUFG,MYR,JPY,15.2,14.34,14.77
2022/03/09,MUFG,MYR,JPY,15.25,14.39,14.82
2022/03/10,MUFG,MYR,JPY,15.27,14.41,14.84
2022/03/11,MUFG,MYR,JPY,15.3,14.44,14.87
2022/03/14,MUFG,MYR,JPY,15.45,14.59,15.02
2022/03/15,MUFG,MYR,JPY,15.53,14.67,15.1
2022/03/16,MUFG,MYR,JPY,15.56,14.7,15.13
2022/03/17,MUFG,MYR,JPY,15.65,14.79,15.22
2022/03/18,MUFG,MYR,JPY,15.61,14.75,15.18
2022/03/22,MUFG,MYR,JPY,15.77,14.91,15.34
2022/03/23,MUFG,MYR,JPY,15.91,15.05,15.48
2022/03/24,MUFG,MYR,JPY,15.91,15.05,15.48
2022/03/25,MUFG,MYR,JPY,16.03,15.17,15.6
2022/03/28,MUFG,MYR,JPY,16.04,15.18,15.61
2022/03/29,MUFG,MYR,JPY,16.3,15.44,15.87
2022/03/30,MUFG,MYR,JPY,16.08,15.22,15.65
2022/03/31,MUFG,MYR,JPY,16.07,15.21,15.64
2022/04/01,MUFG,MYR,JPY,16.03,15.17,15.6
2022/04/04,MUFG,MYR,JPY,16.06,15.2,15.63
2022/04/05,MUFG,MYR,JPY,16.07,15.21,15.64
2022/04/06,MUFG,MYR,JPY,16.24,15.38,15.81
2022/04/07,MUFG,MYR,JPY,16.21,15.35,15.78
2022/04/08,MUFG,MYR,JPY,16.22,15.36,15.79
2022/04/11,MUFG,MYR,JPY,16.33,15.47,15.9
2022/04/12,MUFG,MYR,JPY,16.45,15.59,16.02
2022/04/13,MUFG,MYR,JPY,16.46,15.6,16.03
2022/04/14,MUFG,MYR,JPY,16.45,15.59,16.02
2022/04/15,MUFG,MYR,JPY,16.54,15.68,16.11
2022/04/18,MUFG,MYR,JPY,16.58,15.72,16.15
2022/04/19,MUFG,MYR,JPY,16.67,15.81,16.24
2022/04/20,MUFG,MYR,JPY,16.93,16.07,16.5
2022/04/21,MUFG,MYR,JPY,16.78,15.92,16.35
2022/04/22,MUFG,MYR,JPY,16.83,15.97,16.4
2022/04/25,MUFG,MYR,JPY,16.85,15.99,16.42
2022/04/26,MUFG,MYR,JPY,16.69,15.83,16.26
2022/04/27,MUFG,MYR,JPY,16.7,15.84,16.27
2022/04/28,MUFG,MYR,JPY,16.85,15.99,16.42
2022/05/02,MUFG,MYR,JPY,17.01,16.15,16.58
2022/05/06,MUFG,MYR,JPY,17.06,16.2,16.63
2022/05/09,MUFG,MYR,JPY,17.09,16.23,16.66
2022/05/10,MUFG,MYR,JPY,16.99,16.13,16.56
2022/05/11,MUFG,MYR,JPY,17.03,16.17,16.6
2022/05/12,MUFG,MYR,JPY,16.96,16.1,16.53
2022/05/13,MUFG,MYR,JPY,16.85,15.99,16.42
2022/05/16,MUFG,MYR,JPY,16.95,16.09,16.52
2022/05/17,MUFG,MYR,JPY,16.9,16.04,16.47
2022/05/18,MUFG,MYR,JPY,16.91,16.05,16.48
2022/05/19,MUFG,MYR,JPY,16.79,15.93,16.36
2022/05/20,MUFG,MYR,JPY,16.72,15.86,16.29
2022/05/23,MUFG,MYR,JPY,16.71,15.85,16.28
2022/05/24,MUFG,MYR,JPY,16.72,15.86,16.29
2022/05/25,MUFG,MYR,JPY,16.61,15.75,16.18
2022/05/26,MUFG,MYR,JPY,16.67,15.81,16.24
2022/05/27,MUFG,MYR,JPY,16.61,15.75,16.18
2022/05/30,MUFG,MYR,JPY,16.61,15.75,16.18
2022/05/31,MUFG,MYR,JPY,16.76,15.9,16.33
2022/06/01,MUFG,MYR,JPY,16.86,16.,16.43
2022/06/02,MUFG,MYR,JPY,17.,16.14,16.57
2022/06/03,MUFG,MYR,JPY,16.98,16.12,16.55
2022/06/06,MUFG,MYR,JPY,17.11,16.25,16.68
2022/06/07,MUFG,MYR,JPY,17.29,16.43,16.86
2022/06/08,MUFG,MYR,JPY,17.36,16.5,16.93
2022/06/09,MUFG,MYR,JPY,17.56,16.7,17.13
2022/06/10,MUFG,MYR,JPY,17.53,16.67,17.1
2022/06/13,MUFG,MYR,JPY,17.63,16.77,17.2
2022/06/14,MUFG,MYR,JPY,17.52,16.66,17.09
2022/06/15,MUFG,MYR,JPY,17.63,16.77,17.2
2022/06/16,MUFG,MYR,JPY,17.54,16.68,17.11
2022/06/17,MUFG,MYR,JPY,17.4,16.54,16.97
2022/06/20,MUFG,MYR,JPY,17.66,16.8,17.23
2022/06/21,MUFG,MYR,JPY,17.65,16.79,17.22
2022/06/22,MUFG,MYR,JPY,17.82,16.96,17.39
2022/06/23,MUFG,MYR,JPY,17.78,16.92,17.35
2022/06/24,MUFG,MYR,JPY,17.65,16.79,17.22
2022/06/27,MUFG,MYR,JPY,17.58,16.72,17.15
2022/06/28,MUFG,MYR,JPY,17.7,16.84,17.27
2022/06/29,MUFG,MYR,JPY,17.78,16.92,17.35
2022/06/30,MUFG,MYR,JPY,17.84,16.98,17.41
2022/07/01,MUFG,MYR,JPY,17.76,16.9,17.33
2022/07/04,MUFG,MYR,JPY,17.63,16.77,17.2
2022/07/05,MUFG,MYR,JPY,17.78,16.92,17.35
2022/07/06,MUFG,MYR,JPY,17.72,16.86,17.29
2022/07/07,MUFG,MYR,JPY,17.75,16.89,17.32
2022/07/08,MUFG,MYR,JPY,17.76,16.9,17.33
2022/07/11,MUFG,MYR,JPY,17.82,16.96,17.39
2022/07/12,MUFG,MYR,JPY,17.91,17.05,17.48
2022/07/13,MUFG,MYR,JPY,17.88,17.02,17.45
2022/07/14,MUFG,MYR,JPY,18.01,17.15,17.58
2022/07/15,MUFG,MYR,JPY,18.13,17.27,17.7
2022/07/19,MUFG,MYR,JPY,18.04,17.18,17.61
2022/07/20,MUFG,MYR,JPY,18.03,17.17,17.6
2022/07/21,MUFG,MYR,JPY,18.07,17.21,17.64
2022/07/22,MUFG,MYR,JPY,17.93,17.07,17.5
2022/07/25,MUFG,MYR,JPY,17.84,16.98,17.41
2022/07/26,MUFG,MYR,JPY,17.82,16.96,17.39
2022/07/27,MUFG,MYR,JPY,17.88,17.02,17.45
2022/07/28,MUFG,MYR,JPY,17.79,16.93,17.36
2022/07/29,MUFG,MYR,JPY,17.58,16.72,17.15
2022/08/01,MUFG,MYR,JPY,17.36,16.5,16.93
2022/08/02,MUFG,MYR,JPY,17.1,16.24,16.67
2022/08/03,MUFG,MYR,JPY,17.47,16.61,17.04
2022/08/04,MUFG,MYR,JPY,17.46,16.6,17.03
2022/08/05,MUFG,MYR,JPY,17.37,16.51,16.94
2022/08/08,MUFG,MYR,JPY,17.67,16.81,17.24
2022/08/09,MUFG,MYR,JPY,17.61,16.75,17.18
2022/08/10,MUFG,MYR,JPY,17.66,16.8,17.23
2022/08/12,MUFG,MYR,JPY,17.43,16.57,17.
2022/08/15,MUFG,MYR,JPY,17.4,16.54,16.97
2022/08/16,MUFG,MYR,JPY,17.42,16.56,16.99
2022/08/17,MUFG,MYR,JPY,17.56,16.7,17.13
2022/08/18,MUFG,MYR,JPY,17.63,16.77,17.2
2022/08/19,MUFG,MYR,JPY,17.81,16.95,17.38
2022/08/22,MUFG,MYR,JPY,17.91,17.05,17.48
2022/08/23,MUFG,MYR,JPY,17.93,17.07,17.5
2022/08/24,MUFG,MYR,JPY,17.88,17.02,17.45
2022/08/25,MUFG,MYR,JPY,17.89,17.03,17.46
2022/08/26,MUFG,MYR,JPY,17.86,17.,17.43
2022/08/29,MUFG,MYR,JPY,18.06,17.2,17.63
2022/08/30,MUFG,MYR,JPY,18.09,17.23,17.66
2022/08/31,MUFG,MYR,JPY,18.09,17.23,17.66
2022/09/01,MUFG,MYR,JPY,18.21,17.35,17.78
2022/09/02,MUFG,MYR,JPY,18.28,17.42,17.85
2022/09/05,MUFG,MYR,JPY,18.31,17.45,17.88
2022/09/06,MUFG,MYR,JPY,18.3,17.44,17.87
2022/09/07,MUFG,MYR,JPY,18.66,17.8,18.23
2022/09/08,MUFG,MYR,JPY,18.84,17.98,18.41
2022/09/09,MUFG,MYR,JPY,18.75,17.89,18.32
2022/09/12,MUFG,MYR,JPY,18.62,17.76,18.19
2022/09/13,MUFG,MYR,JPY,18.59,17.73,18.16
2022/09/14,MUFG,MYR,JPY,18.84,17.98,18.41
2022/09/15,MUFG,MYR,JPY,18.69,17.83,18.26
2022/09/16,MUFG,MYR,JPY,18.66,17.8,18.23
2022/09/20,MUFG,MYR,JPY,18.69,17.83,18.26
2022/09/21,MUFG,MYR,JPY,18.74,17.88,18.31
2022/09/22,MUFG,MYR,JPY,18.84,17.98,18.41
2022/09/26,MUFG,MYR,JPY,18.78,17.92,18.35
2022/09/27,MUFG,MYR,JPY,18.84,17.98,18.41
2022/09/28,MUFG,MYR,JPY,18.87,18.01,18.44
2022/09/29,MUFG,MYR,JPY,18.82,17.96,18.39
2022/09/30,MUFG,MYR,JPY,18.88,18.02,18.45
2022/10/03,MUFG,MYR,JPY,18.89,18.03,18.46
2022/10/04,MUFG,MYR,JPY,18.87,18.01,18.44
2022/10/05,MUFG,MYR,JPY,18.77,17.91,18.34
2022/10/06,MUFG,MYR,JPY,18.86,18.,18.43
2022/10/07,MUFG,MYR,JPY,18.89,18.03,18.46
2022/10/11,MUFG,MYR,JPY,19.,18.14,18.57
2022/10/12,MUFG,MYR,JPY,19.05,18.19,18.62
2022/10/13,MUFG,MYR,JPY,19.15,18.29,18.72
2022/10/14,MUFG,MYR,JPY,19.21,18.35,18.78
2022/10/17,MUFG,MYR,JPY,19.36,18.5,18.93
2022/10/18,MUFG,MYR,JPY,19.4,18.54,18.97
2022/10/19,MUFG,MYR,JPY,19.44,18.58,19.01
2022/10/20,MUFG,MYR,JPY,19.54,18.68,19.11
2022/10/21,MUFG,MYR,JPY,19.57,18.71,19.14
2022/10/24,MUFG,MYR,JPY,19.41,18.55,18.98
2022/10/25,MUFG,MYR,JPY,19.42,18.56,18.99
2022/10/26,MUFG,MYR,JPY,19.31,18.45,18.88
2022/10/27,MUFG,MYR,JPY,19.04,18.18,18.61
2022/10/28,MUFG,MYR,JPY,19.12,18.26,18.69
2022/10/31,MUFG,MYR,JPY,19.32,18.46,18.89
2022/11/01,MUFG,MYR,JPY,19.38,18.52,18.95
2022/11/02,MUFG,MYR,JPY,19.24,18.38,18.81
2022/11/04,MUFG,MYR,JPY,19.33,18.47,18.9
2022/11/07,MUFG,MYR,JPY,19.16,18.3,18.73
2022/11/08,MUFG,MYR,JPY,19.1,18.24,18.67
2022/11/09,MUFG,MYR,JPY,19.,18.14,18.57
2022/11/10,MUFG,MYR,JPY,19.08,18.22,18.65
2022/11/11,MUFG,MYR,JPY,18.52,17.66,18.09
2022/11/14,MUFG,MYR,JPY,18.24,17.38,17.81
2022/11/15,MUFG,MYR,JPY,18.35,17.49,17.92
2022/11/16,MUFG,MYR,JPY,18.27,17.41,17.84
2022/11/17,MUFG,MYR,JPY,18.27,17.41,17.84
2022/11/18,MUFG,MYR,JPY,18.36,17.5,17.93
2022/11/21,MUFG,MYR,JPY,18.38,17.52,17.95
2022/11/22,MUFG,MYR,JPY,18.65,17.79,18.22
2022/11/24,MUFG,MYR,JPY,18.24,17.38,17.81
2022/11/25,MUFG,MYR,JPY,18.24,17.38,17.81
2022/11/28,MUFG,MYR,JPY,18.23,17.37,17.8
2022/11/29,MUFG,MYR,JPY,18.21,17.35,17.78
2022/11/30,MUFG,MYR,JPY,18.21,17.35,17.78
2022/12/01,MUFG,MYR,JPY,18.,17.14,17.57
2022/12/02,MUFG,MYR,JPY,17.86,17.,17.43
2022/12/05,MUFG,MYR,JPY,17.74,16.88,17.31
2022/12/06,MUFG,MYR,JPY,18.,17.14,17.57
2022/12/07,MUFG,MYR,JPY,18.08,17.22,17.65
2022/12/08,MUFG,MYR,JPY,17.96,17.1,17.53
2022/12/09,MUFG,MYR,JPY,18.02,17.16,17.59
2022/12/12,MUFG,MYR,JPY,17.99,17.13,17.56
2022/12/13,MUFG,MYR,JPY,18.17,17.31,17.74
2022/12/14,MUFG,MYR,JPY,17.85,16.99,17.42
2022/12/15,MUFG,MYR,JPY,17.85,16.99,17.42
2022/12/16,MUFG,MYR,JPY,18.14,17.28,17.71
2022/12/19,MUFG,MYR,JPY,17.92,17.06,17.49
2022/12/20,MUFG,MYR,JPY,17.72,16.86,17.29
2022/12/21,MUFG,MYR,JPY,17.35,16.49,16.92
2022/12/22,MUFG,MYR,JPY,17.4,16.54,16.97
2022/12/23,MUFG,MYR,JPY,17.46,16.6,17.03
2022/12/26,MUFG,MYR,JPY,17.38,16.52,16.95
2022/12/27,MUFG,MYR,JPY,17.5,16.64,17.07
2022/12/28,MUFG,MYR,JPY,17.6,16.74,17.17
2022/12/29,MUFG,MYR,JPY,17.65,16.79,17.22
2022/12/30,MUFG,MYR,JPY,17.45,16.59,17.02
