date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2016/08/01,MUFG,NOK,JPY,12.45,11.85,12.15
2016/08/02,MUFG,NOK,JPY,12.35,11.75,12.05
2016/08/03,MUFG,NOK,JPY,12.3,11.7,12.
2016/08/04,MUFG,NOK,JPY,12.28,11.68,11.98
2016/08/05,MUFG,NOK,JPY,12.31,11.71,12.01
2016/08/08,MUFG,NOK,JPY,12.3,11.7,12.
2016/08/09,MUFG,NOK,JPY,12.38,11.78,12.08
2016/08/10,MUFG,NOK,JPY,12.44,11.84,12.14
2016/08/12,MUFG,NOK,JPY,12.7,12.1,12.4
2016/08/15,MUFG,NOK,JPY,12.62,12.02,12.32
2016/08/16,MUFG,NOK,JPY,12.6,12.,12.3
2016/08/17,MUFG,NOK,JPY,12.57,11.97,12.27
2016/08/18,MUFG,NOK,JPY,12.47,11.87,12.17
2016/08/19,MUFG,NOK,JPY,12.6,12.,12.3
2016/08/22,MUFG,NOK,JPY,12.51,11.91,12.21
2016/08/23,MUFG,NOK,JPY,12.49,11.89,12.19
2016/08/24,MUFG,NOK,JPY,12.52,11.92,12.22
2016/08/25,MUFG,NOK,JPY,12.55,11.95,12.25
2016/08/26,MUFG,NOK,JPY,12.53,11.93,12.23
2016/08/29,MUFG,NOK,JPY,12.57,11.97,12.27
2016/08/30,MUFG,NOK,JPY,12.62,12.02,12.32
2016/08/31,MUFG,NOK,JPY,12.67,12.07,12.37
