date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2017/01/04,MUFG,NOK,JPY,13.9,13.3,13.6
2017/01/05,MUFG,NOK,JPY,13.9,13.3,13.6
2017/01/06,MUFG,NOK,JPY,13.93,13.33,13.63
2017/01/10,MUFG,NOK,JPY,13.88,13.28,13.58
2017/01/11,MUFG,NOK,JPY,13.79,13.19,13.49
2017/01/12,MUFG,NOK,JPY,13.77,13.17,13.47
2017/01/13,MUFG,NOK,JPY,13.79,13.19,13.49
2017/01/16,MUFG,NOK,JPY,13.75,13.15,13.45
2017/01/17,MUFG,NOK,JPY,13.68,13.08,13.38
2017/01/18,MUFG,NOK,JPY,13.62,13.02,13.32
2017/01/19,MUFG,NOK,JPY,13.81,13.21,13.51
2017/01/20,MUFG,NOK,JPY,13.93,13.33,13.63
2017/01/23,MUFG,NOK,JPY,13.88,13.28,13.58
2017/01/24,MUFG,NOK,JPY,13.8,13.2,13.5
2017/01/25,MUFG,NOK,JPY,13.91,13.31,13.61
2017/01/26,MUFG,NOK,JPY,13.94,13.34,13.64
2017/01/27,MUFG,NOK,JPY,14.01,13.41,13.71
2017/01/30,MUFG,NOK,JPY,14.09,13.49,13.79
2017/01/31,MUFG,NOK,JPY,13.99,13.39,13.69
2017/02/01,MUFG,NOK,JPY,14.01,13.41,13.71
2017/02/02,MUFG,NOK,JPY,14.06,13.46,13.76
2017/02/03,MUFG,NOK,JPY,14.,13.4,13.7
2017/02/06,MUFG,NOK,JPY,13.99,13.39,13.69
2017/02/07,MUFG,NOK,JPY,13.81,13.21,13.51
2017/02/08,MUFG,NOK,JPY,13.81,13.21,13.51
2017/02/09,MUFG,NOK,JPY,13.76,13.16,13.46
2017/02/10,MUFG,NOK,JPY,13.95,13.35,13.65
2017/02/13,MUFG,NOK,JPY,13.88,13.28,13.58
2017/02/14,MUFG,NOK,JPY,13.85,13.25,13.55
2017/02/15,MUFG,NOK,JPY,13.93,13.33,13.63
2017/02/16,MUFG,NOK,JPY,13.99,13.39,13.69
2017/02/17,MUFG,NOK,JPY,13.98,13.38,13.68
2017/02/20,MUFG,NOK,JPY,13.81,13.21,13.51
2017/02/21,MUFG,NOK,JPY,13.88,13.28,13.58
2017/02/22,MUFG,NOK,JPY,13.92,13.32,13.62
2017/02/23,MUFG,NOK,JPY,13.84,13.24,13.54
2017/02/24,MUFG,NOK,JPY,13.83,13.23,13.53
2017/02/27,MUFG,NOK,JPY,13.7,13.1,13.4
2017/02/28,MUFG,NOK,JPY,13.73,13.13,13.43
2017/03/01,MUFG,NOK,JPY,13.78,13.18,13.48
2017/03/02,MUFG,NOK,JPY,13.85,13.25,13.55
2017/03/03,MUFG,NOK,JPY,13.77,13.17,13.47
2017/03/06,MUFG,NOK,JPY,13.81,13.21,13.51
2017/03/07,MUFG,NOK,JPY,13.72,13.12,13.42
2017/03/08,MUFG,NOK,JPY,13.78,13.18,13.48
2017/03/09,MUFG,NOK,JPY,13.71,13.11,13.41
2017/03/10,MUFG,NOK,JPY,13.72,13.12,13.42
2017/03/13,MUFG,NOK,JPY,13.65,13.05,13.35
2017/03/14,MUFG,NOK,JPY,13.71,13.11,13.41
2017/03/15,MUFG,NOK,JPY,13.65,13.05,13.35
2017/03/16,MUFG,NOK,JPY,13.63,13.03,13.33
2017/03/17,MUFG,NOK,JPY,13.64,13.04,13.34
2017/03/21,MUFG,NOK,JPY,13.58,12.98,13.28
2017/03/22,MUFG,NOK,JPY,13.47,12.87,13.17
2017/03/23,MUFG,NOK,JPY,13.47,12.87,13.17
2017/03/24,MUFG,NOK,JPY,13.39,12.79,13.09
2017/03/27,MUFG,NOK,JPY,13.34,12.74,13.04
2017/03/28,MUFG,NOK,JPY,13.35,12.75,13.05
2017/03/29,MUFG,NOK,JPY,13.34,12.74,13.04
2017/03/30,MUFG,NOK,JPY,13.38,12.78,13.08
2017/03/31,MUFG,NOK,JPY,13.39,12.79,13.09
2017/04/03,MUFG,NOK,JPY,13.26,12.66,12.96
2017/04/04,MUFG,NOK,JPY,13.18,12.58,12.88
2017/04/05,MUFG,NOK,JPY,13.2,12.6,12.9
2017/04/06,MUFG,NOK,JPY,13.16,12.56,12.86
2017/04/07,MUFG,NOK,JPY,13.16,12.56,12.86
2017/04/10,MUFG,NOK,JPY,13.15,12.55,12.85
2017/04/11,MUFG,NOK,JPY,13.14,12.54,12.84
2017/04/12,MUFG,NOK,JPY,13.05,12.45,12.75
2017/04/13,MUFG,NOK,JPY,13.04,12.44,12.74
2017/04/14,MUFG,NOK,JPY,13.03,12.43,12.73
2017/04/17,MUFG,NOK,JPY,12.91,12.31,12.61
2017/04/18,MUFG,NOK,JPY,13.06,12.46,12.76
2017/04/19,MUFG,NOK,JPY,13.05,12.45,12.75
2017/04/20,MUFG,NOK,JPY,13.,12.4,12.7
2017/04/21,MUFG,NOK,JPY,12.98,12.38,12.68
2017/04/24,MUFG,NOK,JPY,13.18,12.58,12.88
2017/04/25,MUFG,NOK,JPY,13.15,12.55,12.85
2017/04/26,MUFG,NOK,JPY,13.31,12.71,13.01
2017/04/27,MUFG,NOK,JPY,13.27,12.67,12.97
2017/04/28,MUFG,NOK,JPY,13.29,12.69,12.99
2017/05/01,MUFG,NOK,JPY,13.3,12.7,13.
2017/05/02,MUFG,NOK,JPY,13.34,12.74,13.04
2017/05/08,MUFG,NOK,JPY,13.41,12.81,13.11
2017/05/09,MUFG,NOK,JPY,13.41,12.81,13.11
2017/05/10,MUFG,NOK,JPY,13.42,12.82,13.12
2017/05/11,MUFG,NOK,JPY,13.53,12.93,13.23
2017/05/12,MUFG,NOK,JPY,13.55,12.95,13.25
2017/05/15,MUFG,NOK,JPY,13.52,12.92,13.22
2017/05/16,MUFG,NOK,JPY,13.62,13.02,13.32
2017/05/17,MUFG,NOK,JPY,13.6,13.,13.3
2017/05/18,MUFG,NOK,JPY,13.49,12.89,13.19
2017/05/19,MUFG,NOK,JPY,13.44,12.84,13.14
