date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2017/08/01,MUFG,NZD,JPY,84.87,80.87,82.87
2017/08/02,MUFG,NZD,JPY,84.08,80.08,82.08
2017/08/03,MUFG,NZD,JPY,83.97,79.97,81.97
2017/08/04,MUFG,NZD,JPY,83.85,79.85,81.85
2017/08/07,MUFG,NZD,JPY,84.08,80.08,82.08
2017/08/08,MUFG,NZD,JPY,83.49,79.49,81.49
2017/08/09,MUFG,NZD,JPY,82.44,78.44,80.44
2017/08/10,MUFG,NZD,JPY,82.96,78.96,80.96
2017/08/14,MUFG,NZD,JPY,82.1,78.1,80.1
2017/08/15,MUFG,NZD,JPY,82.46,78.46,80.46
2017/08/16,MUFG,NZD,JPY,82.05,78.05,80.05
2017/08/17,MUFG,NZD,JPY,82.38,78.38,80.38
2017/08/18,MUFG,NZD,JPY,81.79,77.79,79.79
2017/08/21,MUFG,NZD,JPY,82.,78.,80.
2017/08/22,MUFG,NZD,JPY,82.02,78.02,80.02
2017/08/23,MUFG,NZD,JPY,81.61,77.61,79.61
2017/08/24,MUFG,NZD,JPY,80.95,76.95,78.95
2017/08/25,MUFG,NZD,JPY,81.1,77.1,79.1
2017/08/28,MUFG,NZD,JPY,81.02,77.02,79.02
2017/08/29,MUFG,NZD,JPY,80.84,76.84,78.84
2017/08/30,MUFG,NZD,JPY,81.78,77.78,79.78
2017/08/31,MUFG,NZD,JPY,81.52,77.52,79.52
