date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2023/01/04,MUFG,NZD,JPY,84.04,80.04,82.04
2023/01/05,MUFG,NZD,JPY,85.31,81.31,83.31
2023/01/06,MUFG,NZD,JPY,85.37,81.37,83.37
2023/01/10,MUFG,NZD,JPY,86.,82.,84.
2023/01/11,MUFG,NZD,JPY,86.37,82.37,84.37
2023/01/12,MUFG,NZD,JPY,86.06,82.06,84.06
2023/01/13,MUFG,NZD,JPY,84.4,80.4,82.4
2023/01/16,MUFG,NZD,JPY,83.82,79.82,81.82
2023/01/17,MUFG,NZD,JPY,84.15,80.15,82.15
2023/01/18,MUFG,NZD,JPY,86.23,82.23,84.23
2023/01/19,MUFG,NZD,JPY,84.53,80.53,82.53
2023/01/20,MUFG,NZD,JPY,84.31,80.31,82.31
2023/01/23,MUFG,NZD,JPY,85.92,81.92,83.92
2023/01/24,MUFG,NZD,JPY,86.59,82.59,84.59
2023/01/25,MUFG,NZD,JPY,86.43,82.43,84.43
2023/01/26,MUFG,NZD,JPY,85.78,81.78,83.78
2023/01/27,MUFG,NZD,JPY,86.22,82.22,84.22
2023/01/30,MUFG,NZD,JPY,86.56,82.56,84.56
2023/01/31,MUFG,NZD,JPY,86.34,82.34,84.34
2023/02/01,MUFG,NZD,JPY,85.55,81.55,83.55
2023/02/02,MUFG,NZD,JPY,85.9,81.9,83.9
2023/02/03,MUFG,NZD,JPY,85.31,81.31,83.31
2023/02/06,MUFG,NZD,JPY,85.58,81.58,83.58
2023/02/07,MUFG,NZD,JPY,85.7,81.7,83.7
2023/02/08,MUFG,NZD,JPY,84.81,80.81,82.81
2023/02/09,MUFG,NZD,JPY,85.04,81.04,83.04
2023/02/10,MUFG,NZD,JPY,85.33,81.33,83.33
2023/02/13,MUFG,NZD,JPY,85.1,81.1,83.1
2023/02/14,MUFG,NZD,JPY,86.21,82.21,84.21
2023/02/15,MUFG,NZD,JPY,86.06,82.06,84.06
2023/02/16,MUFG,NZD,JPY,85.99,81.99,83.99
2023/02/17,MUFG,NZD,JPY,85.88,81.88,83.88
2023/02/20,MUFG,NZD,JPY,85.74,81.74,83.74
2023/02/21,MUFG,NZD,JPY,86.,82.,84.
2023/02/22,MUFG,NZD,JPY,85.85,81.85,83.85
