date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2017/11/01,MUFG,PHP,JPY,2.36,2.08,2.22
2017/11/02,MUFG,PHP,JPY,2.37,2.09,2.23
2017/11/06,MUFG,PHP,JPY,2.39,2.11,2.25
2017/11/07,MUFG,PHP,JPY,2.38,2.1,2.24
2017/11/08,MUFG,PHP,JPY,2.37,2.09,2.23
2017/11/09,MUFG,PHP,JPY,2.39,2.11,2.25
2017/11/10,MUFG,PHP,JPY,2.37,2.09,2.23
2017/11/13,MUFG,PHP,JPY,2.38,2.1,2.24
2017/11/14,MUFG,PHP,JPY,2.38,2.1,2.24
2017/11/15,MUFG,PHP,JPY,2.38,2.1,2.24
2017/11/16,MUFG,PHP,JPY,2.38,2.1,2.24
2017/11/17,MUFG,PHP,JPY,2.39,2.11,2.25
2017/11/20,MUFG,PHP,JPY,2.36,2.08,2.22
2017/11/21,MUFG,PHP,JPY,2.38,2.1,2.24
2017/11/22,MUFG,PHP,JPY,2.39,2.11,2.25
2017/11/24,MUFG,PHP,JPY,2.37,2.09,2.23
2017/11/27,MUFG,PHP,JPY,2.36,2.08,2.22
2017/11/28,MUFG,PHP,JPY,2.36,2.08,2.22
2017/11/29,MUFG,PHP,JPY,2.38,2.1,2.24
2017/11/30,MUFG,PHP,JPY,2.39,2.11,2.25
