date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2018/01/04,MUFG,PHP,JPY,2.42,2.14,2.28
2018/01/05,MUFG,PHP,JPY,2.43,2.15,2.29
2018/01/09,MUFG,PHP,JPY,2.42,2.14,2.28
2018/01/10,MUFG,PHP,JPY,2.39,2.11,2.25
2018/01/11,MUFG,PHP,JPY,2.37,2.09,2.23
2018/01/12,MUFG,PHP,JPY,2.37,2.09,2.23
2018/01/15,MUFG,PHP,JPY,2.36,2.08,2.22
2018/01/16,MUFG,PHP,JPY,2.36,2.08,2.22
2018/01/17,MUFG,PHP,JPY,2.34,2.06,2.2
2018/01/18,MUFG,PHP,JPY,2.35,2.07,2.21
2018/01/19,MUFG,PHP,JPY,2.35,2.07,2.21
2018/01/22,MUFG,PHP,JPY,2.34,2.06,2.2
2018/01/23,MUFG,PHP,JPY,2.34,2.06,2.2
2018/01/24,MUFG,PHP,JPY,2.32,2.04,2.18
2018/01/25,MUFG,PHP,JPY,2.31,2.03,2.17
2018/01/26,MUFG,PHP,JPY,2.32,2.04,2.18
2018/01/29,MUFG,PHP,JPY,2.29,2.01,2.15
2018/01/30,MUFG,PHP,JPY,2.28,2.,2.14
2018/01/31,MUFG,PHP,JPY,2.28,2.,2.14
2018/02/01,MUFG,PHP,JPY,2.29,2.01,2.15
2018/02/02,MUFG,PHP,JPY,2.28,2.,2.14
2018/02/05,MUFG,PHP,JPY,2.29,2.01,2.15
2018/02/06,MUFG,PHP,JPY,2.28,2.,2.14
2018/02/07,MUFG,PHP,JPY,2.28,2.,2.14
2018/02/08,MUFG,PHP,JPY,2.3,2.02,2.16
2018/02/09,MUFG,PHP,JPY,2.26,1.98,2.12
2018/02/13,MUFG,PHP,JPY,2.25,1.97,2.11
2018/02/14,MUFG,PHP,JPY,2.23,1.95,2.09
2018/02/15,MUFG,PHP,JPY,2.21,1.93,2.07
2018/02/16,MUFG,PHP,JPY,2.19,1.91,2.05
2018/02/19,MUFG,PHP,JPY,2.19,1.91,2.05
2018/02/20,MUFG,PHP,JPY,2.2,1.92,2.06
2018/02/21,MUFG,PHP,JPY,2.22,1.94,2.08
2018/02/22,MUFG,PHP,JPY,2.22,1.94,2.08
2018/02/23,MUFG,PHP,JPY,2.22,1.94,2.08
2018/02/26,MUFG,PHP,JPY,2.22,1.94,2.08
2018/02/27,MUFG,PHP,JPY,2.22,1.94,2.08
2018/02/28,MUFG,PHP,JPY,2.21,1.93,2.07
2018/03/01,MUFG,PHP,JPY,2.21,1.93,2.07
2018/03/02,MUFG,PHP,JPY,2.21,1.93,2.07
2018/03/05,MUFG,PHP,JPY,2.19,1.91,2.05
2018/03/06,MUFG,PHP,JPY,2.2,1.92,2.06
2018/03/07,MUFG,PHP,JPY,2.19,1.91,2.05
2018/03/08,MUFG,PHP,JPY,2.2,1.92,2.06
2018/03/09,MUFG,PHP,JPY,2.21,1.93,2.07
2018/03/12,MUFG,PHP,JPY,2.21,1.93,2.07
2018/03/13,MUFG,PHP,JPY,2.2,1.92,2.06
2018/03/14,MUFG,PHP,JPY,2.21,1.93,2.07
2018/03/15,MUFG,PHP,JPY,2.19,1.91,2.05
2018/03/16,MUFG,PHP,JPY,2.2,1.92,2.06
2018/03/19,MUFG,PHP,JPY,2.2,1.92,2.06
2018/03/20,MUFG,PHP,JPY,2.2,1.92,2.06
2018/03/22,MUFG,PHP,JPY,2.18,1.9,2.04
2018/03/23,MUFG,PHP,JPY,2.16,1.88,2.02
2018/03/26,MUFG,PHP,JPY,2.16,1.88,2.02
2018/03/27,MUFG,PHP,JPY,2.18,1.9,2.04
2018/03/28,MUFG,PHP,JPY,2.17,1.89,2.03
2018/03/29,MUFG,PHP,JPY,2.2,1.92,2.06
2018/03/30,MUFG,PHP,JPY,2.19,1.91,2.05
2018/04/02,MUFG,PHP,JPY,2.2,1.92,2.06
2018/04/03,MUFG,PHP,JPY,2.19,1.91,2.05
2018/04/04,MUFG,PHP,JPY,2.21,1.93,2.07
2018/04/05,MUFG,PHP,JPY,2.21,1.93,2.07
2018/04/06,MUFG,PHP,JPY,2.21,1.93,2.07
2018/04/09,MUFG,PHP,JPY,2.21,1.93,2.07
2018/04/10,MUFG,PHP,JPY,2.21,1.93,2.07
2018/04/11,MUFG,PHP,JPY,2.22,1.94,2.08
2018/04/12,MUFG,PHP,JPY,2.21,1.93,2.07
2018/04/13,MUFG,PHP,JPY,2.22,1.94,2.08
2018/04/16,MUFG,PHP,JPY,2.23,1.95,2.09
2018/04/17,MUFG,PHP,JPY,2.22,1.94,2.08
2018/04/18,MUFG,PHP,JPY,2.21,1.93,2.07
2018/04/19,MUFG,PHP,JPY,2.22,1.94,2.08
2018/04/20,MUFG,PHP,JPY,2.22,1.94,2.08
2018/04/23,MUFG,PHP,JPY,2.23,1.95,2.09
2018/04/24,MUFG,PHP,JPY,2.23,1.95,2.09
2018/04/25,MUFG,PHP,JPY,2.24,1.96,2.1
2018/04/26,MUFG,PHP,JPY,2.25,1.97,2.11
2018/04/27,MUFG,PHP,JPY,2.26,1.98,2.12
2018/05/01,MUFG,PHP,JPY,2.27,1.99,2.13
2018/05/02,MUFG,PHP,JPY,2.28,2.,2.14
2018/05/07,MUFG,PHP,JPY,2.27,1.99,2.13
2018/05/08,MUFG,PHP,JPY,2.26,1.98,2.12
2018/05/09,MUFG,PHP,JPY,2.26,1.98,2.12
2018/05/10,MUFG,PHP,JPY,2.27,1.99,2.13
2018/05/11,MUFG,PHP,JPY,2.27,1.99,2.13
2018/05/14,MUFG,PHP,JPY,2.24,1.96,2.1
2018/05/15,MUFG,PHP,JPY,2.25,1.97,2.11
2018/05/16,MUFG,PHP,JPY,2.26,1.98,2.12
2018/05/17,MUFG,PHP,JPY,2.27,1.99,2.13
2018/05/18,MUFG,PHP,JPY,2.28,2.,2.14
2018/05/21,MUFG,PHP,JPY,2.27,1.99,2.13
2018/05/22,MUFG,PHP,JPY,2.27,1.99,2.13
2018/05/23,MUFG,PHP,JPY,2.28,10.1,2.14
2018/05/24,MUFG,PHP,JPY,2.25,1.97,2.11
2018/05/25,MUFG,PHP,JPY,2.24,1.96,2.1
2018/05/28,MUFG,PHP,JPY,2.24,1.96,2.1
2018/05/29,MUFG,PHP,JPY,2.23,1.95,2.09
2018/05/30,MUFG,PHP,JPY,2.21,1.93,2.07
