date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2016/01/04,MUFG,PKR,JPY,1.3,1.,1.15
2016/01/05,MUFG,PKR,JPY,1.29,0.99,1.14
2016/01/06,MUFG,PKR,JPY,1.29,0.99,1.14
2016/01/07,MUFG,PKR,JPY,1.29,0.99,1.14
2016/01/08,MUFG,PKR,JPY,1.28,0.98,1.13
2016/01/12,MUFG,PKR,JPY,1.28,0.98,1.13
2016/01/13,MUFG,PKR,JPY,1.28,0.98,1.13
2016/01/14,MUFG,PKR,JPY,1.28,0.98,1.13
2016/01/15,MUFG,PKR,JPY,1.28,0.98,1.13
2016/01/18,MUFG,PKR,JPY,1.27,0.97,1.12
2016/01/19,MUFG,PKR,JPY,1.28,0.98,1.13
2016/01/20,MUFG,PKR,JPY,1.28,0.98,1.13
2016/01/21,MUFG,PKR,JPY,1.27,0.97,1.12
2016/01/22,MUFG,PKR,JPY,1.28,0.98,1.13
2016/01/25,MUFG,PKR,JPY,1.29,0.99,1.14
2016/01/26,MUFG,PKR,JPY,1.28,0.98,1.13
2016/01/27,MUFG,PKR,JPY,1.28,0.98,1.13
2016/01/28,MUFG,PKR,JPY,1.29,0.99,1.14
2016/01/29,MUFG,PKR,JPY,1.31,1.01,1.16
2016/02/01,MUFG,PKR,JPY,1.31,1.01,1.16
2016/02/02,MUFG,PKR,JPY,1.31,1.01,1.16
2016/02/03,MUFG,PKR,JPY,1.3,1.,1.15
2016/02/04,MUFG,PKR,JPY,1.28,0.98,1.13
2016/02/05,MUFG,PKR,JPY,1.28,0.98,1.13
2016/02/08,MUFG,PKR,JPY,1.27,0.97,1.12
2016/02/09,MUFG,PKR,JPY,1.26,0.96,1.11
2016/02/10,MUFG,PKR,JPY,1.25,0.95,1.1
2016/02/12,MUFG,PKR,JPY,1.23,0.93,1.08
2016/02/15,MUFG,PKR,JPY,1.24,0.94,1.09
2016/02/16,MUFG,PKR,JPY,1.25,0.95,1.1
2016/02/17,MUFG,PKR,JPY,1.25,0.95,1.1
2016/02/18,MUFG,PKR,JPY,1.24,0.94,1.09
2016/02/19,MUFG,PKR,JPY,1.23,0.93,1.08
2016/02/22,MUFG,PKR,JPY,1.23,0.93,1.08
2016/02/23,MUFG,PKR,JPY,1.23,0.93,1.08
2016/02/24,MUFG,PKR,JPY,1.22,0.92,1.07
2016/02/25,MUFG,PKR,JPY,1.23,0.93,1.08
2016/02/26,MUFG,PKR,JPY,1.24,0.94,1.09
2016/02/29,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/01,MUFG,PKR,JPY,1.23,0.93,1.08
2016/03/02,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/03,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/04,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/07,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/08,MUFG,PKR,JPY,1.23,0.93,1.08
2016/03/09,MUFG,PKR,JPY,1.23,0.93,1.08
2016/03/10,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/11,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/14,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/15,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/16,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/17,MUFG,PKR,JPY,1.23,0.93,1.08
2016/03/18,MUFG,PKR,JPY,1.22,0.92,1.07
2016/03/22,MUFG,PKR,JPY,1.22,0.92,1.07
2016/03/23,MUFG,PKR,JPY,1.23,0.93,1.08
2016/03/24,MUFG,PKR,JPY,1.23,0.93,1.08
2016/03/25,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/28,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/29,MUFG,PKR,JPY,1.24,0.94,1.09
2016/03/30,MUFG,PKR,JPY,1.23,0.93,1.08
2016/03/31,MUFG,PKR,JPY,1.23,0.93,1.08
2016/04/01,MUFG,PKR,JPY,1.23,0.93,1.08
2016/04/04,MUFG,PKR,JPY,1.22,0.92,1.07
2016/04/05,MUFG,PKR,JPY,1.22,0.92,1.07
2016/04/06,MUFG,PKR,JPY,1.21,0.91,1.06
2016/04/07,MUFG,PKR,JPY,1.2,0.9,1.05
2016/04/08,MUFG,PKR,JPY,1.2,0.9,1.05
2016/04/11,MUFG,PKR,JPY,1.19,0.89,1.04
2016/04/12,MUFG,PKR,JPY,1.19,0.89,1.04
2016/04/13,MUFG,PKR,JPY,1.19,0.89,1.04
2016/04/14,MUFG,PKR,JPY,1.2,0.9,1.05
2016/04/15,MUFG,PKR,JPY,1.2,0.9,1.05
2016/04/18,MUFG,PKR,JPY,1.19,0.89,1.04
2016/04/19,MUFG,PKR,JPY,1.2,0.9,1.05
2016/04/20,MUFG,PKR,JPY,1.2,0.9,1.05
2016/04/21,MUFG,PKR,JPY,1.2,0.9,1.05
2016/04/22,MUFG,PKR,JPY,1.2,0.9,1.05
2016/04/25,MUFG,PKR,JPY,1.22,0.92,1.07
