date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2019/09/02,MUFG,PKR,JPY,0.83,0.53,0.68
2019/09/03,MUFG,PKR,JPY,0.83,0.53,0.68
2019/09/04,MUFG,PKR,JPY,0.83,0.53,0.68
2019/09/05,MUFG,PKR,JPY,0.82,0.52,0.67
2019/09/06,MUFG,PKR,JPY,0.84,0.54,0.69
2019/09/09,MUFG,PKR,JPY,0.84,0.54,0.69
2019/09/10,MUFG,PKR,JPY,0.84,0.54,0.69
2019/09/11,MUFG,PKR,JPY,0.84,0.54,0.69
2019/09/12,MUFG,PKR,JPY,0.85,0.55,0.7
2019/09/13,MUFG,PKR,JPY,0.85,0.55,0.7
2019/09/17,MUFG,PKR,JPY,0.85,0.55,0.7
2019/09/18,MUFG,PKR,JPY,0.85,0.55,0.7
2019/09/19,MUFG,PKR,JPY,0.85,0.55,0.7
2019/09/20,MUFG,PKR,JPY,0.85,0.55,0.7
2019/09/24,MUFG,PKR,JPY,0.84,0.54,0.69
2019/09/25,MUFG,PKR,JPY,0.84,0.54,0.69
2019/09/26,MUFG,PKR,JPY,0.84,0.54,0.69
2019/09/27,MUFG,PKR,JPY,0.84,0.54,0.69
2019/09/30,MUFG,PKR,JPY,0.84,0.54,0.69
