date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2017/08/01,MUFG,PLN,JPY,31.85,29.45,30.65
2017/08/02,MUFG,PLN,JPY,31.84,29.44,30.64
2017/08/03,MUFG,PLN,JPY,32.03,29.63,30.83
2017/08/04,MUFG,PLN,JPY,32.01,29.61,30.81
2017/08/07,MUFG,PLN,JPY,31.95,29.55,30.75
2017/08/08,MUFG,PLN,JPY,31.96,29.56,30.76
2017/08/09,MUFG,PLN,JPY,31.48,29.08,30.28
2017/08/10,MUFG,PLN,JPY,31.53,29.13,30.33
2017/08/14,MUFG,PLN,JPY,31.36,28.96,30.16
2017/08/15,MUFG,PLN,JPY,31.51,29.11,30.31
2017/08/16,MUFG,PLN,JPY,31.48,29.08,30.28
2017/08/17,MUFG,PLN,JPY,31.54,29.14,30.34
2017/08/18,MUFG,PLN,JPY,31.25,28.85,30.05
2017/08/21,MUFG,PLN,JPY,31.23,28.83,30.03
2017/08/22,MUFG,PLN,JPY,31.36,28.96,30.16
2017/08/23,MUFG,PLN,JPY,31.4,29.,30.2
2017/08/24,MUFG,PLN,JPY,31.3,28.9,30.1
2017/08/25,MUFG,PLN,JPY,31.61,29.21,30.41
2017/08/28,MUFG,PLN,JPY,31.81,29.41,30.61
2017/08/29,MUFG,PLN,JPY,31.81,29.41,30.61
2017/08/30,MUFG,PLN,JPY,32.13,29.73,30.93
2017/08/31,MUFG,PLN,JPY,32.07,29.67,30.87
