date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2019/01/04,MUFG,PLN,JPY,29.76,27.36,28.56
2019/01/07,MUFG,PLN,JPY,30.08,27.68,28.88
2019/01/08,MUFG,PLN,JPY,30.23,27.83,29.03
2019/01/09,MUFG,PLN,JPY,30.18,27.78,28.98
2019/01/10,MUFG,PLN,JPY,30.27,27.87,29.07
2019/01/11,MUFG,PLN,JPY,30.28,27.88,29.08
2019/01/15,MUFG,PLN,JPY,30.2,27.8,29.
2019/01/16,MUFG,PLN,JPY,29.99,27.59,28.79
2019/01/17,MUFG,PLN,JPY,30.18,27.78,28.98
2019/01/18,MUFG,PLN,JPY,30.25,27.85,29.05
2019/01/21,MUFG,PLN,JPY,30.31,27.91,29.11
2019/01/22,MUFG,PLN,JPY,30.28,27.88,29.08
2019/01/23,MUFG,PLN,JPY,30.25,27.85,29.05
2019/01/24,MUFG,PLN,JPY,30.29,27.89,29.09
2019/01/25,MUFG,PLN,JPY,30.17,27.77,28.97
2019/01/28,MUFG,PLN,JPY,30.31,27.91,29.11
2019/01/29,MUFG,PLN,JPY,30.27,27.87,29.07
2019/01/30,MUFG,PLN,JPY,30.35,27.95,29.15
2019/01/31,MUFG,PLN,JPY,30.39,27.99,29.19
2019/02/01,MUFG,PLN,JPY,30.43,28.03,29.23
2019/02/04,MUFG,PLN,JPY,30.44,28.04,29.24
2019/02/05,MUFG,PLN,JPY,30.58,28.18,29.38
2019/02/06,MUFG,PLN,JPY,30.45,28.05,29.25
2019/02/07,MUFG,PLN,JPY,30.3,27.9,29.1
2019/02/08,MUFG,PLN,JPY,30.1,27.7,28.9
2019/02/12,MUFG,PLN,JPY,30.04,27.64,28.84
2019/02/13,MUFG,PLN,JPY,30.15,27.75,28.95
2019/02/14,MUFG,PLN,JPY,30.03,27.63,28.83
2019/02/15,MUFG,PLN,JPY,30.01,27.61,28.81
2019/02/18,MUFG,PLN,JPY,30.07,27.67,28.87
2019/02/19,MUFG,PLN,JPY,30.06,27.66,28.86
2019/02/20,MUFG,PLN,JPY,30.22,27.82,29.02
2019/02/21,MUFG,PLN,JPY,30.18,27.78,28.98
2019/02/22,MUFG,PLN,JPY,30.21,27.81,29.01
2019/02/25,MUFG,PLN,JPY,30.19,27.79,28.99
2019/02/26,MUFG,PLN,JPY,30.28,27.88,29.08
2019/02/27,MUFG,PLN,JPY,30.33,27.93,29.13
2019/02/28,MUFG,PLN,JPY,30.45,28.05,29.25
2019/03/01,MUFG,PLN,JPY,30.68,28.28,29.48
2019/03/04,MUFG,PLN,JPY,30.81,28.41,29.61
2019/03/05,MUFG,PLN,JPY,30.72,28.32,29.52
2019/03/06,MUFG,PLN,JPY,30.56,28.16,29.36
2019/03/07,MUFG,PLN,JPY,30.6,28.2,29.4
2019/03/08,MUFG,PLN,JPY,30.16,27.76,28.96
2019/03/11,MUFG,PLN,JPY,30.18,27.78,28.98
2019/03/12,MUFG,PLN,JPY,30.4,28.,29.2
2019/03/13,MUFG,PLN,JPY,30.45,28.05,29.25
2019/03/14,MUFG,PLN,JPY,30.52,28.12,29.32
2019/03/15,MUFG,PLN,JPY,30.62,28.22,29.42
2019/03/18,MUFG,PLN,JPY,30.59,28.19,29.39
2019/03/19,MUFG,PLN,JPY,30.62,28.22,29.42
2019/03/20,MUFG,PLN,JPY,30.76,28.36,29.56
2019/03/22,MUFG,PLN,JPY,30.57,28.17,29.37
2019/03/25,MUFG,PLN,JPY,30.06,27.66,28.86
2019/03/26,MUFG,PLN,JPY,30.26,27.86,29.06
2019/03/27,MUFG,PLN,JPY,30.19,27.79,28.99
2019/03/28,MUFG,PLN,JPY,30.07,27.67,28.87
2019/03/29,MUFG,PLN,JPY,30.21,27.81,29.01
2019/04/01,MUFG,PLN,JPY,30.21,27.81,29.01
2019/04/02,MUFG,PLN,JPY,30.25,27.85,29.05
2019/04/03,MUFG,PLN,JPY,30.32,27.92,29.12
2019/04/04,MUFG,PLN,JPY,30.45,28.05,29.25
2019/04/05,MUFG,PLN,JPY,30.43,28.03,29.23
2019/04/08,MUFG,PLN,JPY,30.36,27.96,29.16
2019/04/09,MUFG,PLN,JPY,30.47,28.07,29.27
2019/04/10,MUFG,PLN,JPY,30.44,28.04,29.24
2019/04/11,MUFG,PLN,JPY,30.48,28.08,29.28
2019/04/12,MUFG,PLN,JPY,30.68,28.28,29.48
2019/04/15,MUFG,PLN,JPY,30.8,28.4,29.6
2019/04/16,MUFG,PLN,JPY,30.84,28.44,29.64
2019/04/17,MUFG,PLN,JPY,30.8,28.4,29.6
2019/04/18,MUFG,PLN,JPY,30.84,28.44,29.64
2019/04/19,MUFG,PLN,JPY,30.62,28.22,29.42
2019/04/22,MUFG,PLN,JPY,30.65,28.25,29.45
2019/04/23,MUFG,PLN,JPY,30.56,28.16,29.36
2019/04/24,MUFG,PLN,JPY,30.51,28.11,29.31
2019/04/25,MUFG,PLN,JPY,30.36,27.96,29.16
2019/04/26,MUFG,PLN,JPY,30.21,27.81,29.01
2019/05/07,MUFG,PLN,JPY,30.13,27.73,28.93
2019/05/08,MUFG,PLN,JPY,29.94,27.54,28.74
2019/05/09,MUFG,PLN,JPY,29.9,27.5,28.7
2019/05/10,MUFG,PLN,JPY,29.89,27.49,28.69
2019/05/13,MUFG,PLN,JPY,29.89,27.49,28.69
2019/05/14,MUFG,PLN,JPY,29.74,27.34,28.54
2019/05/15,MUFG,PLN,JPY,29.69,27.29,28.49
2019/05/16,MUFG,PLN,JPY,29.72,27.32,28.52
2019/05/17,MUFG,PLN,JPY,29.73,27.33,28.53
2019/05/20,MUFG,PLN,JPY,29.8,27.4,28.6
2019/05/21,MUFG,PLN,JPY,29.84,27.44,28.64
2019/05/22,MUFG,PLN,JPY,29.85,27.45,28.65
2019/05/23,MUFG,PLN,JPY,29.76,27.36,28.56
2019/05/24,MUFG,PLN,JPY,29.73,27.33,28.53
2019/05/27,MUFG,PLN,JPY,29.8,27.4,28.6
2019/05/28,MUFG,PLN,JPY,29.8,27.4,28.6
2019/05/29,MUFG,PLN,JPY,29.61,27.21,28.41
2019/05/30,MUFG,PLN,JPY,29.6,27.2,28.4
2019/05/31,MUFG,PLN,JPY,29.58,27.18,28.38
2019/06/03,MUFG,PLN,JPY,29.5,27.1,28.3
2019/06/04,MUFG,PLN,JPY,29.55,27.15,28.35
2019/06/05,MUFG,PLN,JPY,29.67,27.27,28.47
2019/06/06,MUFG,PLN,JPY,29.64,27.24,28.44
2019/06/07,MUFG,PLN,JPY,29.85,27.45,28.65
2019/06/10,MUFG,PLN,JPY,30.06,27.66,28.86
2019/06/11,MUFG,PLN,JPY,30.03,27.63,28.83
2019/06/12,MUFG,PLN,JPY,30.05,27.65,28.85
2019/06/13,MUFG,PLN,JPY,30.01,27.61,28.81
2019/06/14,MUFG,PLN,JPY,29.96,27.56,28.76
2019/06/17,MUFG,PLN,JPY,29.82,27.42,28.62
2019/06/18,MUFG,PLN,JPY,29.77,27.37,28.57
2019/06/19,MUFG,PLN,JPY,29.72,27.32,28.52
2019/06/20,MUFG,PLN,JPY,29.66,27.26,28.46
2019/06/21,MUFG,PLN,JPY,29.72,27.32,28.52
2019/06/24,MUFG,PLN,JPY,29.96,27.56,28.76
2019/06/25,MUFG,PLN,JPY,29.98,27.58,28.78
2019/06/26,MUFG,PLN,JPY,29.85,27.45,28.65
2019/06/27,MUFG,PLN,JPY,29.95,27.55,28.75
2019/06/28,MUFG,PLN,JPY,30.01,27.61,28.81
2019/07/01,MUFG,PLN,JPY,30.19,27.79,28.99
2019/07/02,MUFG,PLN,JPY,30.08,27.68,28.88
2019/07/03,MUFG,PLN,JPY,29.88,27.48,28.68
2019/07/04,MUFG,PLN,JPY,29.9,27.5,28.7
2019/07/05,MUFG,PLN,JPY,29.88,27.48,28.68
2019/07/08,MUFG,PLN,JPY,29.85,27.45,28.65
2019/07/09,MUFG,PLN,JPY,29.91,27.51,28.71
2019/07/10,MUFG,PLN,JPY,29.82,27.42,28.62
2019/07/11,MUFG,PLN,JPY,29.79,27.39,28.59
2019/07/12,MUFG,PLN,JPY,29.83,27.43,28.63
2019/07/16,MUFG,PLN,JPY,29.74,27.34,28.54
2019/07/17,MUFG,PLN,JPY,29.74,27.34,28.54
2019/07/18,MUFG,PLN,JPY,29.6,27.2,28.4
2019/07/19,MUFG,PLN,JPY,29.68,27.28,28.48
2019/07/22,MUFG,PLN,JPY,29.69,27.29,28.49
2019/07/23,MUFG,PLN,JPY,29.67,27.27,28.47
2019/07/24,MUFG,PLN,JPY,29.53,27.13,28.33
2019/07/25,MUFG,PLN,JPY,29.57,27.17,28.37
2019/07/26,MUFG,PLN,JPY,29.65,27.25,28.45
2019/07/29,MUFG,PLN,JPY,29.47,27.07,28.27
2019/07/30,MUFG,PLN,JPY,29.5,27.1,28.3
2019/07/31,MUFG,PLN,JPY,29.39,26.99,28.19
2019/08/01,MUFG,PLN,JPY,29.33,26.93,28.13
2019/08/02,MUFG,PLN,JPY,28.78,26.38,27.58
2019/08/05,MUFG,PLN,JPY,28.67,26.27,27.47
2019/08/06,MUFG,PLN,JPY,28.76,26.36,27.56
2019/08/07,MUFG,PLN,JPY,28.79,26.39,27.59
2019/08/08,MUFG,PLN,JPY,28.74,26.34,27.54
2019/08/09,MUFG,PLN,JPY,28.66,26.26,27.46
2019/08/13,MUFG,PLN,JPY,28.5,26.1,27.3
2019/08/14,MUFG,PLN,JPY,28.63,26.23,27.43
2019/08/15,MUFG,PLN,JPY,28.24,25.84,27.04
2019/08/16,MUFG,PLN,JPY,28.17,25.77,26.97
2019/08/19,MUFG,PLN,JPY,28.37,25.97,27.17
2019/08/20,MUFG,PLN,JPY,28.24,25.84,27.04
2019/08/21,MUFG,PLN,JPY,28.25,25.85,27.05
2019/08/22,MUFG,PLN,JPY,28.4,26.,27.2
2019/08/23,MUFG,PLN,JPY,28.34,25.94,27.14
2019/08/26,MUFG,PLN,JPY,27.95,25.55,26.75
2019/08/27,MUFG,PLN,JPY,28.16,25.76,26.96
2019/08/28,MUFG,PLN,JPY,27.98,25.58,26.78
2019/08/29,MUFG,PLN,JPY,27.95,25.55,26.75
2019/08/30,MUFG,PLN,JPY,28.02,25.62,26.82
2019/09/02,MUFG,PLN,JPY,27.87,25.47,26.67
2019/09/03,MUFG,PLN,JPY,27.91,25.51,26.71
2019/09/04,MUFG,PLN,JPY,27.94,25.54,26.74
2019/09/05,MUFG,PLN,JPY,28.23,25.83,27.03
2019/09/06,MUFG,PLN,JPY,28.41,26.01,27.21
2019/09/09,MUFG,PLN,JPY,28.38,25.98,27.18
2019/09/10,MUFG,PLN,JPY,28.6,26.2,27.4
2019/09/11,MUFG,PLN,JPY,28.67,26.27,27.47
2019/09/12,MUFG,PLN,JPY,28.63,26.23,27.43
2019/09/13,MUFG,PLN,JPY,28.84,26.44,27.64
2019/09/17,MUFG,PLN,JPY,28.73,26.33,27.53
2019/09/18,MUFG,PLN,JPY,28.78,26.38,27.58
2019/09/19,MUFG,PLN,JPY,28.72,26.32,27.52
2019/09/20,MUFG,PLN,JPY,28.66,26.26,27.46
2019/09/24,MUFG,PLN,JPY,28.19,25.79,26.99
2019/09/25,MUFG,PLN,JPY,28.11,25.71,26.91
2019/09/26,MUFG,PLN,JPY,28.11,25.71,26.91
2019/09/27,MUFG,PLN,JPY,28.05,25.65,26.85
2019/09/30,MUFG,PLN,JPY,28.16,25.76,26.96
2019/10/01,MUFG,PLN,JPY,28.18,25.78,26.98
2019/10/02,MUFG,PLN,JPY,28.13,25.73,26.93
2019/10/03,MUFG,PLN,JPY,28.1,25.7,26.9
2019/10/04,MUFG,PLN,JPY,28.28,25.88,27.08
2019/10/07,MUFG,PLN,JPY,28.36,25.96,27.16
2019/10/08,MUFG,PLN,JPY,28.39,25.99,27.19
2019/10/09,MUFG,PLN,JPY,28.37,25.97,27.17
2019/10/10,MUFG,PLN,JPY,28.48,26.08,27.28
2019/10/11,MUFG,PLN,JPY,28.8,26.4,27.6
2019/10/15,MUFG,PLN,JPY,29.05,26.65,27.85
2019/10/16,MUFG,PLN,JPY,29.16,26.76,27.96
2019/10/17,MUFG,PLN,JPY,29.27,26.87,28.07
2019/10/18,MUFG,PLN,JPY,29.42,27.02,28.22
2019/10/21,MUFG,PLN,JPY,29.5,27.1,28.3
2019/10/23,MUFG,PLN,JPY,29.39,26.99,28.19
2019/10/24,MUFG,PLN,JPY,29.53,27.13,28.33
2019/10/25,MUFG,PLN,JPY,29.43,27.03,28.23
2019/10/28,MUFG,PLN,JPY,29.38,26.98,28.18
