date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2017/01/04,MUFG,QAR,JPY,33.14,31.78,32.46
2017/01/05,MUFG,QAR,JPY,32.75,31.39,32.07
2017/01/06,MUFG,QAR,JPY,32.52,31.16,31.84
2017/01/10,MUFG,QAR,JPY,32.59,31.23,31.91
2017/01/11,MUFG,QAR,JPY,32.59,31.23,31.91
2017/01/12,MUFG,QAR,JPY,32.39,31.03,31.71
2017/01/13,MUFG,QAR,JPY,32.33,30.97,31.65
2017/01/16,MUFG,QAR,JPY,32.14,30.78,31.46
2017/01/17,MUFG,QAR,JPY,32.09,30.73,31.41
2017/01/18,MUFG,QAR,JPY,31.73,30.37,31.05
2017/01/19,MUFG,QAR,JPY,32.3,30.94,31.62
2017/01/20,MUFG,QAR,JPY,32.37,31.01,31.69
2017/01/23,MUFG,QAR,JPY,32.04,30.68,31.36
2017/01/24,MUFG,QAR,JPY,31.71,30.35,31.03
2017/01/25,MUFG,QAR,JPY,31.98,30.62,31.3
2017/01/26,MUFG,QAR,JPY,31.82,30.46,31.14
2017/01/27,MUFG,QAR,JPY,32.22,30.86,31.54
2017/01/30,MUFG,QAR,JPY,32.25,30.89,31.57
2017/01/31,MUFG,QAR,JPY,32.,30.64,31.32
2017/02/01,MUFG,QAR,JPY,31.8,30.44,31.12
2017/02/02,MUFG,QAR,JPY,31.79,30.43,31.11
2017/02/03,MUFG,QAR,JPY,31.77,30.41,31.09
2017/02/06,MUFG,QAR,JPY,31.6,30.24,30.92
2017/02/07,MUFG,QAR,JPY,31.43,30.07,30.75
2017/02/08,MUFG,QAR,JPY,31.62,30.26,30.94
2017/02/09,MUFG,QAR,JPY,31.52,30.16,30.84
2017/02/10,MUFG,QAR,JPY,31.98,30.62,31.3
2017/02/13,MUFG,QAR,JPY,32.04,30.68,31.36
2017/02/14,MUFG,QAR,JPY,31.97,30.61,31.29
2017/02/15,MUFG,QAR,JPY,32.19,30.83,31.51
2017/02/16,MUFG,QAR,JPY,32.08,30.72,31.4
2017/02/17,MUFG,QAR,JPY,31.9,30.54,31.22
2017/02/20,MUFG,QAR,JPY,31.74,30.38,31.06
2017/02/21,MUFG,QAR,JPY,31.89,30.53,31.21
2017/02/22,MUFG,QAR,JPY,31.96,30.6,31.28
2017/02/23,MUFG,QAR,JPY,31.88,30.52,31.2
2017/02/24,MUFG,QAR,JPY,31.74,30.38,31.06
2017/02/27,MUFG,QAR,JPY,31.55,30.19,30.87
2017/02/28,MUFG,QAR,JPY,31.65,30.29,30.97
2017/03/01,MUFG,QAR,JPY,31.82,30.46,31.14
2017/03/02,MUFG,QAR,JPY,32.05,30.69,31.37
2017/03/03,MUFG,QAR,JPY,32.11,30.75,31.43
2017/03/06,MUFG,QAR,JPY,31.99,30.63,31.31
2017/03/07,MUFG,QAR,JPY,32.04,30.68,31.36
2017/03/08,MUFG,QAR,JPY,32.03,30.67,31.35
2017/03/09,MUFG,QAR,JPY,32.22,30.86,31.54
2017/03/10,MUFG,QAR,JPY,32.39,31.03,31.71
2017/03/13,MUFG,QAR,JPY,32.28,30.92,31.6
2017/03/14,MUFG,QAR,JPY,32.29,30.93,31.61
2017/03/15,MUFG,QAR,JPY,32.28,30.92,31.6
2017/03/16,MUFG,QAR,JPY,31.85,30.49,31.17
2017/03/17,MUFG,QAR,JPY,31.91,30.55,31.23
2017/03/21,MUFG,QAR,JPY,31.61,30.25,30.93
2017/03/22,MUFG,QAR,JPY,31.42,30.06,30.74
2017/03/23,MUFG,QAR,JPY,31.36,30.,30.68
2017/03/24,MUFG,QAR,JPY,31.31,29.95,30.63
2017/03/27,MUFG,QAR,JPY,31.06,29.7,30.38
2017/03/28,MUFG,QAR,JPY,31.15,29.79,30.47
2017/03/29,MUFG,QAR,JPY,31.23,29.87,30.55
2017/03/30,MUFG,QAR,JPY,31.23,29.87,30.55
2017/03/31,MUFG,QAR,JPY,31.46,30.1,30.78
2017/04/03,MUFG,QAR,JPY,31.29,29.93,30.61
2017/04/04,MUFG,QAR,JPY,31.1,29.74,30.42
2017/04/05,MUFG,QAR,JPY,31.16,29.8,30.48
2017/04/06,MUFG,QAR,JPY,31.1,29.74,30.42
2017/04/07,MUFG,QAR,JPY,31.2,29.84,30.52
2017/04/10,MUFG,QAR,JPY,31.34,29.98,30.66
2017/04/11,MUFG,QAR,JPY,31.17,29.81,30.49
2017/04/12,MUFG,QAR,JPY,30.83,29.47,30.15
2017/04/13,MUFG,QAR,JPY,30.62,29.26,29.94
2017/04/14,MUFG,QAR,JPY,30.74,29.38,30.06
2017/04/17,MUFG,QAR,JPY,30.48,29.12,29.8
2017/04/18,MUFG,QAR,JPY,30.72,29.36,30.04
2017/04/19,MUFG,QAR,JPY,30.55,29.19,29.87
2017/04/20,MUFG,QAR,JPY,30.68,29.32,30.
2017/04/21,MUFG,QAR,JPY,30.75,29.39,30.07
2017/04/24,MUFG,QAR,JPY,30.93,29.57,30.25
2017/04/25,MUFG,QAR,JPY,30.92,29.56,30.24
2017/04/26,MUFG,QAR,JPY,31.31,29.95,30.63
2017/04/27,MUFG,QAR,JPY,31.31,29.95,30.63
2017/04/28,MUFG,QAR,JPY,31.3,29.94,30.62
2017/05/01,MUFG,QAR,JPY,31.35,29.99,30.67
2017/05/02,MUFG,QAR,JPY,31.46,30.1,30.78
2017/05/08,MUFG,QAR,JPY,31.7,30.34,31.02
2017/05/09,MUFG,QAR,JPY,31.84,30.48,31.16
2017/05/10,MUFG,QAR,JPY,32.,30.64,31.32
2017/05/11,MUFG,QAR,JPY,32.11,30.75,31.43
2017/05/12,MUFG,QAR,JPY,32.03,30.67,31.35
2017/05/15,MUFG,QAR,JPY,31.88,30.52,31.2
2017/05/16,MUFG,QAR,JPY,31.98,30.62,31.3
2017/05/17,MUFG,QAR,JPY,31.66,30.3,30.98
2017/05/18,MUFG,QAR,JPY,31.23,29.87,30.55
2017/05/19,MUFG,QAR,JPY,31.33,29.97,30.65
