date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2025-02-03,MUFG,QAR,JPY,43.46,42.1,42.78
2025-02-04,MUFG,QAR,JPY,43.37,42.01,42.69
2025-02-05,MUFG,QAR,JPY,43.02,41.66,42.34
2025-02-06,MUFG,QAR,JPY,42.62,41.26,41.94
2025-02-07,MUFG,QAR,JPY,42.26,40.9,41.58
2025-02-10,MUFG,QAR,JPY,42.45,41.09,41.77
2025-02-12,MUFG,QAR,JPY,42.81,41.45,42.13
2025-02-13,MUFG,QAR,JPY,43.14,41.78,42.46
2025-02-14,MUFG,QAR,JPY,42.68,41.32,42.
2025-02-17,MUFG,QAR,JPY,42.42,41.06,41.74
2025-02-18,MUFG,QAR,JPY,42.36,41.,41.68
2025-02-19,MUFG,QAR,JPY,42.49,41.13,41.81
2025-02-20,MUFG,QAR,JPY,42.21,40.85,41.53
2025-02-21,MUFG,QAR,JPY,41.87,40.51,41.19
2025-02-25,MUFG,QAR,JPY,41.96,40.6,41.28
2025-02-26,MUFG,QAR,JPY,41.6,40.24,40.92
2025-02-27,MUFG,QAR,JPY,41.7,40.34,41.02
2025-02-28,MUFG,QAR,JPY,41.82,40.46,41.14
