date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2016/08/01,MUFG,RUB,JPY,1.8,1.3,1.55
2016/08/02,MUFG,RUB,JPY,1.78,1.28,1.53
2016/08/03,MUFG,RUB,JPY,1.77,1.27,1.52
2016/08/04,MUFG,RUB,JPY,1.78,1.28,1.53
2016/08/05,MUFG,RUB,JPY,1.79,1.29,1.54
2016/08/08,MUFG,RUB,JPY,1.81,1.31,1.56
2016/08/09,MUFG,RUB,JPY,1.83,1.33,1.58
2016/08/10,MUFG,RUB,JPY,1.82,1.32,1.57
2016/08/12,MUFG,RUB,JPY,1.84,1.34,1.59
2016/08/15,MUFG,RUB,JPY,1.82,1.32,1.57
2016/08/16,MUFG,RUB,JPY,1.83,1.33,1.58
2016/08/17,MUFG,RUB,JPY,1.83,1.33,1.58
2016/08/18,MUFG,RUB,JPY,1.81,1.31,1.56
2016/08/19,MUFG,RUB,JPY,1.83,1.33,1.58
2016/08/22,MUFG,RUB,JPY,1.83,1.33,1.58
2016/08/23,MUFG,RUB,JPY,1.79,1.29,1.54
2016/08/24,MUFG,RUB,JPY,1.8,1.3,1.55
2016/08/25,MUFG,RUB,JPY,1.8,1.3,1.55
2016/08/26,MUFG,RUB,JPY,1.8,1.3,1.55
2016/08/29,MUFG,RUB,JPY,1.82,1.32,1.57
2016/08/30,MUFG,RUB,JPY,1.83,1.33,1.58
2016/08/31,MUFG,RUB,JPY,1.83,1.33,1.58
