date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2020/11/02,MUFG,SAR,JPY,28.77,27.17,27.97
2020/11/04,MUFG,SAR,JPY,28.72,27.12,27.92
2020/11/05,MUFG,SAR,JPY,28.66,27.06,27.86
2020/11/06,MUFG,SAR,JPY,28.5,26.9,27.7
2020/11/09,MUFG,SAR,JPY,28.4,26.8,27.6
2020/11/10,MUFG,SAR,JPY,28.89,27.29,28.09
2020/11/11,MUFG,SAR,JPY,28.88,27.28,28.08
2020/11/12,MUFG,SAR,JPY,28.96,27.36,28.16
2020/11/13,MUFG,SAR,JPY,28.84,27.24,28.04
2020/11/16,MUFG,SAR,JPY,28.75,27.15,27.95
2020/11/17,MUFG,SAR,JPY,28.7,27.1,27.9
2020/11/18,MUFG,SAR,JPY,28.6,27.,27.8
2020/11/19,MUFG,SAR,JPY,28.54,26.94,27.74
2020/11/20,MUFG,SAR,JPY,28.55,26.95,27.75
2020/11/24,MUFG,SAR,JPY,28.73,27.13,27.93
2020/11/25,MUFG,SAR,JPY,28.71,27.11,27.91
2020/11/26,MUFG,SAR,JPY,28.67,27.07,27.87
2020/11/27,MUFG,SAR,JPY,28.62,27.02,27.82
2020/11/30,MUFG,SAR,JPY,28.54,26.94,27.74
