date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2022/01/04,MUFG,SAR,JPY,31.6,30.,30.8
2022/01/05,MUFG,SAR,JPY,31.8,30.2,31.
2022/01/06,MUFG,SAR,JPY,31.75,30.15,30.95
2022/01/07,MUFG,SAR,JPY,31.74,30.14,30.94
2022/01/11,MUFG,SAR,JPY,31.57,29.97,30.77
2022/01/12,MUFG,SAR,JPY,31.58,29.98,30.78
2022/01/13,MUFG,SAR,JPY,31.4,29.8,30.6
2022/01/14,MUFG,SAR,JPY,31.25,29.65,30.45
2022/01/17,MUFG,SAR,JPY,31.32,29.72,30.52
2022/01/18,MUFG,SAR,JPY,31.38,29.78,30.58
2022/01/19,MUFG,SAR,JPY,31.42,29.82,30.62
2022/01/20,MUFG,SAR,JPY,31.32,29.72,30.52
2022/01/21,MUFG,SAR,JPY,31.2,29.6,30.4
2022/01/24,MUFG,SAR,JPY,31.2,29.6,30.4
2022/01/25,MUFG,SAR,JPY,31.24,29.64,30.44
2022/01/26,MUFG,SAR,JPY,31.1,29.5,30.3
2022/01/27,MUFG,SAR,JPY,31.41,29.81,30.61
2022/01/28,MUFG,SAR,JPY,31.62,30.02,30.82
2022/01/31,MUFG,SAR,JPY,31.62,30.02,30.82
2022/02/01,MUFG,SAR,JPY,31.54,29.94,30.74
2022/02/02,MUFG,SAR,JPY,31.42,29.82,30.62
2022/02/03,MUFG,SAR,JPY,31.36,29.76,30.56
2022/02/04,MUFG,SAR,JPY,31.5,29.9,30.7
2022/02/07,MUFG,SAR,JPY,31.57,29.97,30.77
2022/02/08,MUFG,SAR,JPY,31.58,29.98,30.78
2022/02/09,MUFG,SAR,JPY,31.65,30.05,30.85
2022/02/10,MUFG,SAR,JPY,31.66,30.06,30.86
2022/02/14,MUFG,SAR,JPY,31.61,30.01,30.81
2022/02/15,MUFG,SAR,JPY,31.61,30.01,30.81
2022/02/16,MUFG,SAR,JPY,31.69,30.09,30.89
2022/02/17,MUFG,SAR,JPY,31.63,30.03,30.83
2022/02/18,MUFG,SAR,JPY,31.49,29.89,30.69
2022/02/21,MUFG,SAR,JPY,31.52,29.92,30.72
2022/02/22,MUFG,SAR,JPY,31.44,29.84,30.64
2022/02/24,MUFG,SAR,JPY,31.48,29.88,30.68
2022/02/25,MUFG,SAR,JPY,31.65,30.05,30.85
2022/02/28,MUFG,SAR,JPY,31.65,30.05,30.85
2022/03/01,MUFG,SAR,JPY,31.57,29.97,30.77
2022/03/02,MUFG,SAR,JPY,31.5,29.9,30.7
2022/03/03,MUFG,SAR,JPY,31.67,30.07,30.87
2022/03/04,MUFG,SAR,JPY,31.61,30.01,30.81
2022/03/07,MUFG,SAR,JPY,31.5,29.9,30.7
2022/03/08,MUFG,SAR,JPY,31.63,30.03,30.83
2022/03/09,MUFG,SAR,JPY,31.74,30.14,30.94
2022/03/10,MUFG,SAR,JPY,31.77,30.17,30.97
2022/03/11,MUFG,SAR,JPY,31.86,30.26,31.06
2022/03/14,MUFG,SAR,JPY,32.2,30.6,31.4
2022/03/15,MUFG,SAR,JPY,32.27,30.67,31.47
2022/03/16,MUFG,SAR,JPY,32.41,30.81,31.61
2022/03/17,MUFG,SAR,JPY,32.56,30.96,31.76
2022/03/18,MUFG,SAR,JPY,32.48,30.88,31.68
2022/03/22,MUFG,SAR,JPY,32.75,31.15,31.95
2022/03/23,MUFG,SAR,JPY,33.15,31.55,32.35
2022/03/24,MUFG,SAR,JPY,33.13,31.53,32.33
2022/03/25,MUFG,SAR,JPY,33.4,31.8,32.6
2022/03/28,MUFG,SAR,JPY,33.44,31.84,32.64
2022/03/29,MUFG,SAR,JPY,33.96,32.36,33.16
2022/03/30,MUFG,SAR,JPY,33.5,31.9,32.7
2022/03/31,MUFG,SAR,JPY,33.47,31.87,32.67
2022/04/01,MUFG,SAR,JPY,33.43,31.83,32.63
