date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2024-06-03,MUFG,SEK,JPY,15.35,14.55,14.95
2024-06-04,MUFG,SEK,JPY,15.44,14.64,15.04
2024-06-05,MUFG,SEK,JPY,15.3,14.5,14.9
2024-06-06,MUFG,SEK,JPY,15.41,14.61,15.01
2024-06-07,MUFG,SEK,JPY,15.41,14.61,15.01
2024-06-10,MUFG,SEK,JPY,15.27,14.47,14.87
2024-06-11,MUFG,SEK,JPY,15.4,14.6,15.
2024-06-12,MUFG,SEK,JPY,15.39,14.59,14.99
2024-06-13,MUFG,SEK,JPY,15.51,14.71,15.11
2024-06-14,MUFG,SEK,JPY,15.4,14.6,15.
2024-06-17,MUFG,SEK,JPY,15.37,14.57,14.97
2024-06-18,MUFG,SEK,JPY,15.45,14.65,15.05
2024-06-19,MUFG,SEK,JPY,15.51,14.71,15.11
2024-06-20,MUFG,SEK,JPY,15.53,14.73,15.13
2024-06-21,MUFG,SEK,JPY,15.55,14.75,15.15
2024-06-24,MUFG,SEK,JPY,15.61,14.81,15.21
2024-06-25,MUFG,SEK,JPY,15.62,14.82,15.22
2024-06-26,MUFG,SEK,JPY,15.6,14.8,15.2
2024-06-27,MUFG,SEK,JPY,15.59,14.79,15.19
2024-06-28,MUFG,SEK,JPY,15.54,14.74,15.14
