date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2025-01-06,MUFG,SEK,JPY,14.57,13.77,14.17
2025-01-07,MUFG,SEK,JPY,14.72,13.92,14.32
2025-01-08,MUFG,SEK,JPY,14.6,13.8,14.2
2025-01-09,MUFG,SEK,JPY,14.58,13.78,14.18
2025-01-10,MUFG,SEK,JPY,14.57,13.77,14.17
2025-01-14,MUFG,SEK,JPY,14.4,13.6,14.
2025-01-15,MUFG,SEK,JPY,14.55,13.75,14.15
2025-01-16,MUFG,SEK,JPY,14.44,13.64,14.04
2025-01-17,MUFG,SEK,JPY,14.33,13.53,13.93
2025-01-20,MUFG,SEK,JPY,14.37,13.57,13.97
2025-01-21,MUFG,SEK,JPY,14.5,13.7,14.1
2025-01-22,MUFG,SEK,JPY,14.57,13.77,14.17
2025-01-23,MUFG,SEK,JPY,14.62,13.82,14.22
2025-01-24,MUFG,SEK,JPY,14.62,13.82,14.22
2025-01-27,MUFG,SEK,JPY,14.62,13.82,14.22
2025-01-28,MUFG,SEK,JPY,14.53,13.73,14.13
2025-01-29,MUFG,SEK,JPY,14.56,13.76,14.16
2025-01-30,MUFG,SEK,JPY,14.48,13.68,14.08
2025-01-31,MUFG,SEK,JPY,14.35,13.55,13.95
2025-02-03,MUFG,SEK,JPY,14.23,13.43,13.83
2025-02-04,MUFG,SEK,JPY,14.4,13.6,14.
2025-02-05,MUFG,SEK,JPY,14.44,13.64,14.04
2025-02-06,MUFG,SEK,JPY,14.37,13.57,13.97
2025-02-07,MUFG,SEK,JPY,14.29,13.49,13.89
2025-02-10,MUFG,SEK,JPY,14.25,13.45,13.85
2025-02-12,MUFG,SEK,JPY,14.51,13.71,14.11
2025-02-13,MUFG,SEK,JPY,14.62,13.82,14.22
2025-02-14,MUFG,SEK,JPY,14.64,13.84,14.24
2025-02-17,MUFG,SEK,JPY,14.61,13.81,14.21
2025-02-18,MUFG,SEK,JPY,14.58,13.78,14.18
2025-02-19,MUFG,SEK,JPY,14.58,13.78,14.18
2025-02-20,MUFG,SEK,JPY,14.5,13.7,14.1
2025-02-21,MUFG,SEK,JPY,14.48,13.68,14.08
2025-02-25,MUFG,SEK,JPY,14.49,13.69,14.09
2025-02-26,MUFG,SEK,JPY,14.47,13.67,14.07
2025-02-27,MUFG,SEK,JPY,14.41,13.61,14.01
2025-02-28,MUFG,SEK,JPY,14.33,13.53,13.93
2025-03-03,MUFG,SEK,JPY,14.42,13.62,14.02
2025-03-04,MUFG,SEK,JPY,14.61,13.81,14.21
2025-03-05,MUFG,SEK,JPY,14.79,13.99,14.39
2025-03-06,MUFG,SEK,JPY,15.05,14.25,14.65
2025-03-07,MUFG,SEK,JPY,14.96,14.16,14.56
2025-03-10,MUFG,SEK,JPY,15.03,14.23,14.63
