date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2017/08/01,MUFG,SGD,JPY,82.16,80.5,81.33
2017/08/02,MUFG,SGD,JPY,82.1,80.44,81.27
2017/08/03,MUFG,SGD,JPY,82.2,80.54,81.37
2017/08/04,MUFG,SGD,JPY,81.86,80.2,81.03
2017/08/07,MUFG,SGD,JPY,82.21,80.55,81.38
2017/08/08,MUFG,SGD,JPY,82.15,80.49,81.32
2017/08/09,MUFG,SGD,JPY,81.45,79.79,80.62
2017/08/10,MUFG,SGD,JPY,81.68,80.02,80.85
2017/08/14,MUFG,SGD,JPY,81.3,79.64,80.47
2017/08/15,MUFG,SGD,JPY,81.68,80.02,80.85
2017/08/16,MUFG,SGD,JPY,81.8,80.14,80.97
2017/08/17,MUFG,SGD,JPY,81.53,79.87,80.7
2017/08/18,MUFG,SGD,JPY,80.97,79.31,80.14
2017/08/21,MUFG,SGD,JPY,81.06,79.4,80.23
2017/08/22,MUFG,SGD,JPY,81.03,79.37,80.2
2017/08/23,MUFG,SGD,JPY,81.36,79.7,80.53
2017/08/24,MUFG,SGD,JPY,81.05,79.39,80.22
2017/08/25,MUFG,SGD,JPY,81.48,79.82,80.65
2017/08/28,MUFG,SGD,JPY,81.31,79.65,80.48
2017/08/29,MUFG,SGD,JPY,81.17,79.51,80.34
2017/08/30,MUFG,SGD,JPY,81.95,80.29,81.12
2017/08/31,MUFG,SGD,JPY,82.19,80.53,81.36
