date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2021/01/04,MUFG,SGD,JPY,78.89,77.23,78.06
2021/01/05,MUFG,SGD,JPY,78.98,77.32,78.15
2021/01/06,MUFG,SGD,JPY,78.81,77.15,77.98
2021/01/07,MUFG,SGD,JPY,79.01,77.35,78.18
2021/01/08,MUFG,SGD,JPY,79.2,77.54,78.37
2021/01/12,MUFG,SGD,JPY,79.19,77.53,78.36
2021/01/13,MUFG,SGD,JPY,79.22,77.56,78.39
2021/01/14,MUFG,SGD,JPY,79.2,77.54,78.37
2021/01/15,MUFG,SGD,JPY,79.26,77.6,78.43
2021/01/18,MUFG,SGD,JPY,78.83,77.17,78.
2021/01/19,MUFG,SGD,JPY,78.87,77.21,78.04
2021/01/20,MUFG,SGD,JPY,79.11,77.45,78.28
2021/01/21,MUFG,SGD,JPY,79.,77.34,78.17
2021/01/22,MUFG,SGD,JPY,79.09,77.43,78.26
2021/01/25,MUFG,SGD,JPY,79.08,77.42,78.25
2021/01/26,MUFG,SGD,JPY,79.01,77.35,78.18
2021/01/27,MUFG,SGD,JPY,79.08,77.42,78.25
2021/01/28,MUFG,SGD,JPY,79.1,77.44,78.27
2021/01/29,MUFG,SGD,JPY,79.37,77.71,78.54
2021/02/01,MUFG,SGD,JPY,79.59,77.93,78.76
2021/02/02,MUFG,SGD,JPY,79.55,77.89,78.72
2021/02/03,MUFG,SGD,JPY,79.72,78.06,78.89
2021/02/04,MUFG,SGD,JPY,79.61,77.95,78.78
2021/02/05,MUFG,SGD,JPY,79.77,78.11,78.94
2021/02/08,MUFG,SGD,JPY,79.93,78.27,79.1
2021/02/09,MUFG,SGD,JPY,79.79,78.13,78.96
2021/02/10,MUFG,SGD,JPY,79.7,78.04,78.87
2021/02/12,MUFG,SGD,JPY,79.87,78.21,79.04
2021/02/15,MUFG,SGD,JPY,80.19,78.53,79.36
2021/02/16,MUFG,SGD,JPY,80.64,78.98,79.81
2021/02/17,MUFG,SGD,JPY,80.72,79.06,79.89
2021/02/18,MUFG,SGD,JPY,80.5,78.84,79.67
2021/02/19,MUFG,SGD,JPY,80.54,78.88,79.71
2021/02/22,MUFG,SGD,JPY,80.58,78.92,79.75
2021/02/24,MUFG,SGD,JPY,80.75,79.09,79.92
2021/02/25,MUFG,SGD,JPY,81.25,79.59,80.42
2021/02/26,MUFG,SGD,JPY,80.84,79.18,80.01
2021/03/01,MUFG,SGD,JPY,80.86,79.2,80.03
2021/03/02,MUFG,SGD,JPY,81.29,79.63,80.46
2021/03/03,MUFG,SGD,JPY,81.16,79.5,80.33
2021/03/04,MUFG,SGD,JPY,81.13,79.47,80.3
2021/03/05,MUFG,SGD,JPY,81.46,79.8,80.63
2021/03/08,MUFG,SGD,JPY,81.64,79.98,80.81
2021/03/09,MUFG,SGD,JPY,81.6,79.94,80.77
2021/03/10,MUFG,SGD,JPY,81.56,79.9,80.73
2021/03/11,MUFG,SGD,JPY,81.56,79.9,80.73
2021/03/12,MUFG,SGD,JPY,81.89,80.23,81.06
2021/03/15,MUFG,SGD,JPY,81.96,80.3,81.13
2021/03/16,MUFG,SGD,JPY,82.04,80.38,81.21
2021/03/17,MUFG,SGD,JPY,81.9,80.24,81.07
2021/03/18,MUFG,SGD,JPY,82.18,80.52,81.35
2021/03/19,MUFG,SGD,JPY,81.91,80.25,81.08
2021/03/22,MUFG,SGD,JPY,81.88,80.22,81.05
2021/03/23,MUFG,SGD,JPY,82.,80.34,81.17
2021/03/24,MUFG,SGD,JPY,81.53,79.87,80.7
2021/03/25,MUFG,SGD,JPY,81.73,80.07,80.9
2021/03/26,MUFG,SGD,JPY,81.91,80.25,81.08
2021/03/29,MUFG,SGD,JPY,82.27,80.61,81.44
2021/03/30,MUFG,SGD,JPY,82.26,80.6,81.43
2021/03/31,MUFG,SGD,JPY,83.1,81.44,82.27
2021/04/01,MUFG,SGD,JPY,83.29,81.63,82.46
2021/04/02,MUFG,SGD,JPY,83.12,81.46,82.29
2021/04/05,MUFG,SGD,JPY,83.06,81.4,82.23
2021/04/06,MUFG,SGD,JPY,83.08,81.42,82.25
2021/04/07,MUFG,SGD,JPY,82.86,81.2,82.03
2021/04/08,MUFG,SGD,JPY,82.74,81.08,81.91
2021/04/09,MUFG,SGD,JPY,82.46,80.8,81.63
2021/04/12,MUFG,SGD,JPY,82.63,80.97,81.8
2021/04/13,MUFG,SGD,JPY,82.57,80.91,81.74
2021/04/14,MUFG,SGD,JPY,82.16,80.5,81.33
2021/04/15,MUFG,SGD,JPY,82.42,80.76,81.59
2021/04/16,MUFG,SGD,JPY,82.23,80.57,81.4
2021/04/19,MUFG,SGD,JPY,82.29,80.63,81.46
2021/04/20,MUFG,SGD,JPY,82.25,80.59,81.42
2021/04/21,MUFG,SGD,JPY,82.15,80.49,81.32
2021/04/22,MUFG,SGD,JPY,82.22,80.56,81.39
2021/04/23,MUFG,SGD,JPY,81.99,80.33,81.16
2021/04/26,MUFG,SGD,JPY,82.2,80.54,81.37
2021/04/27,MUFG,SGD,JPY,82.41,80.75,81.58
2021/04/28,MUFG,SGD,JPY,82.91,81.25,82.08
2021/04/30,MUFG,SGD,JPY,82.97,81.31,82.14
2021/05/06,MUFG,SGD,JPY,82.66,81.,81.83
2021/05/07,MUFG,SGD,JPY,82.68,81.02,81.85
2021/05/10,MUFG,SGD,JPY,82.91,81.25,82.08
2021/05/11,MUFG,SGD,JPY,82.98,81.32,82.15
2021/05/12,MUFG,SGD,JPY,82.81,81.15,81.98
2021/05/13,MUFG,SGD,JPY,83.07,81.41,82.24
2021/05/14,MUFG,SGD,JPY,83.01,81.35,82.18
2021/05/17,MUFG,SGD,JPY,82.85,81.19,82.02
2021/05/18,MUFG,SGD,JPY,82.63,80.97,81.8
2021/05/19,MUFG,SGD,JPY,82.76,81.1,81.93
2021/05/20,MUFG,SGD,JPY,82.74,81.08,81.91
2021/05/21,MUFG,SGD,JPY,82.67,81.01,81.84
2021/05/24,MUFG,SGD,JPY,82.66,81.,81.83
2021/05/25,MUFG,SGD,JPY,82.82,81.16,81.99
2021/05/26,MUFG,SGD,JPY,82.89,81.23,82.06
2021/05/27,MUFG,SGD,JPY,83.17,81.51,82.34
2021/05/28,MUFG,SGD,JPY,83.84,82.18,83.01
2021/05/31,MUFG,SGD,JPY,83.74,82.08,82.91
2021/06/01,MUFG,SGD,JPY,83.73,82.07,82.9
2021/06/02,MUFG,SGD,JPY,83.8,82.14,82.97
2021/06/03,MUFG,SGD,JPY,83.71,82.05,82.88
2021/06/04,MUFG,SGD,JPY,83.88,82.22,83.05
2021/06/07,MUFG,SGD,JPY,83.58,81.92,82.75
2021/06/08,MUFG,SGD,JPY,83.55,81.89,82.72
2021/06/09,MUFG,SGD,JPY,83.52,81.86,82.69
2021/06/10,MUFG,SGD,JPY,83.6,81.94,82.77
2021/06/11,MUFG,SGD,JPY,83.55,81.89,82.72
2021/06/14,MUFG,SGD,JPY,83.62,81.96,82.79
2021/06/15,MUFG,SGD,JPY,83.82,82.16,82.99
2021/06/16,MUFG,SGD,JPY,83.86,82.2,83.03
2021/06/17,MUFG,SGD,JPY,83.78,82.12,82.95
2021/06/18,MUFG,SGD,JPY,82.99,81.33,82.16
2021/06/21,MUFG,SGD,JPY,82.78,81.12,81.95
2021/06/22,MUFG,SGD,JPY,82.82,81.16,81.99
2021/06/23,MUFG,SGD,JPY,83.24,81.58,82.41
2021/06/24,MUFG,SGD,JPY,83.36,81.7,82.53
2021/06/25,MUFG,SGD,JPY,83.5,81.84,82.67
2021/06/28,MUFG,SGD,JPY,83.27,81.61,82.44
2021/06/29,MUFG,SGD,JPY,83.12,81.46,82.29
2021/06/30,MUFG,SGD,JPY,83.01,81.35,82.18
2021/07/01,MUFG,SGD,JPY,83.39,81.73,82.56
2021/07/02,MUFG,SGD,JPY,83.57,81.91,82.74
2021/07/05,MUFG,SGD,JPY,83.32,81.66,82.49
2021/07/06,MUFG,SGD,JPY,83.26,81.6,82.43
2021/07/07,MUFG,SGD,JPY,82.8,81.14,81.97
2021/07/08,MUFG,SGD,JPY,82.74,81.08,81.91
2021/07/09,MUFG,SGD,JPY,82.08,80.42,81.25
2021/07/12,MUFG,SGD,JPY,82.36,80.7,81.53
