date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2019/01/04,MUFG,THB,JPY,3.43,3.27,3.35
2019/01/07,MUFG,THB,JPY,3.47,3.31,3.39
2019/01/08,MUFG,THB,JPY,3.49,3.33,3.41
2019/01/09,MUFG,THB,JPY,3.48,3.32,3.4
2019/01/10,MUFG,THB,JPY,3.47,3.31,3.39
2019/01/11,MUFG,THB,JPY,3.48,3.32,3.4
2019/01/15,MUFG,THB,JPY,3.48,3.32,3.4
2019/01/16,MUFG,THB,JPY,3.48,3.32,3.4
2019/01/17,MUFG,THB,JPY,3.52,3.36,3.44
2019/01/18,MUFG,THB,JPY,3.54,3.38,3.46
2019/01/21,MUFG,THB,JPY,3.54,3.38,3.46
2019/01/22,MUFG,THB,JPY,3.53,3.37,3.45
2019/01/23,MUFG,THB,JPY,3.53,3.37,3.45
2019/01/24,MUFG,THB,JPY,3.54,3.38,3.46
2019/01/25,MUFG,THB,JPY,3.55,3.39,3.47
2019/01/28,MUFG,THB,JPY,3.55,3.39,3.47
2019/01/29,MUFG,THB,JPY,3.54,3.38,3.46
2019/01/30,MUFG,THB,JPY,3.56,3.4,3.48
2019/01/31,MUFG,THB,JPY,3.56,3.4,3.48
2019/02/01,MUFG,THB,JPY,3.57,3.41,3.49
2019/02/04,MUFG,THB,JPY,3.58,3.42,3.5
2019/02/05,MUFG,THB,JPY,3.59,3.43,3.51
2019/02/06,MUFG,THB,JPY,3.6,3.44,3.52
2019/02/07,MUFG,THB,JPY,3.6,3.44,3.52
2019/02/08,MUFG,THB,JPY,3.6,3.44,3.52
2019/02/12,MUFG,THB,JPY,3.6,3.44,3.52
2019/02/13,MUFG,THB,JPY,3.61,3.45,3.53
2019/02/14,MUFG,THB,JPY,3.62,3.46,3.54
2019/02/15,MUFG,THB,JPY,3.6,3.44,3.52
2019/02/18,MUFG,THB,JPY,3.62,3.46,3.54
2019/02/19,MUFG,THB,JPY,3.62,3.46,3.54
2019/02/20,MUFG,THB,JPY,3.64,3.48,3.56
2019/02/21,MUFG,THB,JPY,3.64,3.48,3.56
2019/02/22,MUFG,THB,JPY,3.63,3.47,3.55
2019/02/25,MUFG,THB,JPY,3.62,3.46,3.54
2019/02/26,MUFG,THB,JPY,3.63,3.47,3.55
2019/02/27,MUFG,THB,JPY,3.62,3.46,3.54
2019/02/28,MUFG,THB,JPY,3.6,3.44,3.52
2019/03/01,MUFG,THB,JPY,3.62,3.46,3.54
2019/03/04,MUFG,THB,JPY,3.61,3.45,3.53
2019/03/05,MUFG,THB,JPY,3.59,3.43,3.51
2019/03/06,MUFG,THB,JPY,3.6,3.44,3.52
2019/03/07,MUFG,THB,JPY,3.59,3.43,3.51
2019/03/08,MUFG,THB,JPY,3.58,3.42,3.5
2019/03/11,MUFG,THB,JPY,3.58,3.42,3.5
2019/03/12,MUFG,THB,JPY,3.61,3.45,3.53
2019/03/13,MUFG,THB,JPY,3.6,3.44,3.52
2019/03/14,MUFG,THB,JPY,3.6,3.44,3.52
2019/03/15,MUFG,THB,JPY,3.61,3.45,3.53
2019/03/18,MUFG,THB,JPY,3.6,3.44,3.52
2019/03/19,MUFG,THB,JPY,3.6,3.44,3.52
2019/03/20,MUFG,THB,JPY,3.61,3.45,3.53
2019/03/22,MUFG,THB,JPY,3.57,3.41,3.49
2019/03/25,MUFG,THB,JPY,3.55,3.39,3.47
2019/03/26,MUFG,THB,JPY,3.57,3.41,3.49
2019/03/27,MUFG,THB,JPY,3.57,3.41,3.49
2019/03/28,MUFG,THB,JPY,3.54,3.38,3.46
2019/03/29,MUFG,THB,JPY,3.57,3.41,3.49
2019/04/01,MUFG,THB,JPY,3.59,3.43,3.51
2019/04/02,MUFG,THB,JPY,3.59,3.43,3.51
2019/04/03,MUFG,THB,JPY,3.6,3.44,3.52
2019/04/04,MUFG,THB,JPY,3.6,3.44,3.52
2019/04/05,MUFG,THB,JPY,3.6,3.44,3.52
2019/04/08,MUFG,THB,JPY,3.57,3.41,3.49
2019/04/09,MUFG,THB,JPY,3.58,3.42,3.5
2019/04/10,MUFG,THB,JPY,3.58,3.42,3.5
2019/04/11,MUFG,THB,JPY,3.58,3.42,3.5
2019/04/12,MUFG,THB,JPY,3.6,3.44,3.52
2019/04/15,MUFG,THB,JPY,3.61,3.45,3.53
2019/04/16,MUFG,THB,JPY,3.6,3.44,3.52
2019/04/17,MUFG,THB,JPY,3.61,3.45,3.53
2019/04/18,MUFG,THB,JPY,3.61,3.45,3.53
2019/04/19,MUFG,THB,JPY,3.61,3.45,3.53
2019/04/22,MUFG,THB,JPY,3.6,3.44,3.52
2019/04/23,MUFG,THB,JPY,3.59,3.43,3.51
2019/04/24,MUFG,THB,JPY,3.58,3.42,3.5
2019/04/25,MUFG,THB,JPY,3.59,3.43,3.51
2019/04/26,MUFG,THB,JPY,3.56,3.4,3.48
2019/05/07,MUFG,THB,JPY,3.55,3.39,3.47
2019/05/08,MUFG,THB,JPY,3.54,3.38,3.46
2019/05/09,MUFG,THB,JPY,3.54,3.38,3.46
2019/05/10,MUFG,THB,JPY,3.54,3.38,3.46
2019/05/13,MUFG,THB,JPY,3.56,3.4,3.48
2019/05/14,MUFG,THB,JPY,3.54,3.38,3.46
2019/05/15,MUFG,THB,JPY,3.56,3.4,3.48
2019/05/16,MUFG,THB,JPY,3.56,3.4,3.48
2019/05/17,MUFG,THB,JPY,3.56,3.4,3.48
2019/05/20,MUFG,THB,JPY,3.55,3.39,3.47
2019/05/21,MUFG,THB,JPY,3.55,3.39,3.47
2019/05/22,MUFG,THB,JPY,3.54,3.38,3.46
2019/05/23,MUFG,THB,JPY,3.53,3.37,3.45
2019/05/24,MUFG,THB,JPY,3.53,3.37,3.45
2019/05/27,MUFG,THB,JPY,3.53,3.37,3.45
2019/05/28,MUFG,THB,JPY,3.52,3.36,3.44
2019/05/29,MUFG,THB,JPY,3.51,3.35,3.43
2019/05/30,MUFG,THB,JPY,3.53,3.37,3.45
2019/05/31,MUFG,THB,JPY,3.51,3.35,3.43
2019/06/03,MUFG,THB,JPY,3.52,3.36,3.44
2019/06/04,MUFG,THB,JPY,3.53,3.37,3.45
2019/06/05,MUFG,THB,JPY,3.53,3.37,3.45
2019/06/06,MUFG,THB,JPY,3.51,3.35,3.43
2019/06/07,MUFG,THB,JPY,3.55,3.39,3.47
2019/06/10,MUFG,THB,JPY,3.55,3.39,3.47
2019/06/11,MUFG,THB,JPY,3.54,3.38,3.46
2019/06/12,MUFG,THB,JPY,3.56,3.4,3.48
2019/06/13,MUFG,THB,JPY,3.55,3.39,3.47
2019/06/14,MUFG,THB,JPY,3.56,3.4,3.48
2019/06/17,MUFG,THB,JPY,3.56,3.4,3.48
2019/06/18,MUFG,THB,JPY,3.55,3.39,3.47
2019/06/19,MUFG,THB,JPY,3.56,3.4,3.48
2019/06/20,MUFG,THB,JPY,3.55,3.39,3.47
2019/06/21,MUFG,THB,JPY,3.56,3.4,3.48
2019/06/24,MUFG,THB,JPY,3.57,3.41,3.49
2019/06/25,MUFG,THB,JPY,3.58,3.42,3.5
2019/06/26,MUFG,THB,JPY,3.56,3.4,3.48
2019/06/27,MUFG,THB,JPY,3.59,3.43,3.51
2019/06/28,MUFG,THB,JPY,3.58,3.42,3.5
2019/07/01,MUFG,THB,JPY,3.61,3.45,3.53
2019/07/02,MUFG,THB,JPY,3.6,3.44,3.52
2019/07/03,MUFG,THB,JPY,3.61,3.45,3.53
2019/07/04,MUFG,THB,JPY,3.6,3.44,3.52
2019/07/05,MUFG,THB,JPY,3.6,3.44,3.52
2019/07/08,MUFG,THB,JPY,3.61,3.45,3.53
2019/07/09,MUFG,THB,JPY,3.62,3.46,3.54
2019/07/10,MUFG,THB,JPY,3.62,3.46,3.54
2019/07/11,MUFG,THB,JPY,3.61,3.45,3.53
2019/07/12,MUFG,THB,JPY,3.61,3.45,3.53
2019/07/16,MUFG,THB,JPY,3.57,3.41,3.49
2019/07/17,MUFG,THB,JPY,3.59,3.43,3.51
2019/07/18,MUFG,THB,JPY,3.58,3.42,3.5
2019/07/19,MUFG,THB,JPY,3.58,3.42,3.5
2019/07/22,MUFG,THB,JPY,3.58,3.42,3.5
2019/07/23,MUFG,THB,JPY,3.58,3.42,3.5
2019/07/24,MUFG,THB,JPY,3.58,3.42,3.5
2019/07/25,MUFG,THB,JPY,3.58,3.42,3.5
2019/07/26,MUFG,THB,JPY,3.59,3.43,3.51
2019/07/29,MUFG,THB,JPY,3.6,3.44,3.52
2019/07/30,MUFG,THB,JPY,3.61,3.45,3.53
2019/07/31,MUFG,THB,JPY,3.61,3.45,3.53
2019/08/01,MUFG,THB,JPY,3.61,3.45,3.53
2019/08/02,MUFG,THB,JPY,3.54,3.38,3.46
2019/08/05,MUFG,THB,JPY,3.54,3.38,3.46
2019/08/06,MUFG,THB,JPY,3.51,3.35,3.43
2019/08/07,MUFG,THB,JPY,3.54,3.38,3.46
2019/08/08,MUFG,THB,JPY,3.52,3.36,3.44
2019/08/09,MUFG,THB,JPY,3.53,3.37,3.45
2019/08/13,MUFG,THB,JPY,3.51,3.35,3.43
2019/08/14,MUFG,THB,JPY,3.53,3.37,3.45
2019/08/15,MUFG,THB,JPY,3.51,3.35,3.43
2019/08/16,MUFG,THB,JPY,3.52,3.36,3.44
2019/08/19,MUFG,THB,JPY,3.55,3.39,3.47
2019/08/20,MUFG,THB,JPY,3.55,3.39,3.47
2019/08/21,MUFG,THB,JPY,3.54,3.38,3.46
2019/08/22,MUFG,THB,JPY,3.55,3.39,3.47
2019/08/23,MUFG,THB,JPY,3.55,3.39,3.47
2019/08/26,MUFG,THB,JPY,3.5,3.34,3.42
2019/08/27,MUFG,THB,JPY,3.54,3.38,3.46
2019/08/28,MUFG,THB,JPY,3.53,3.37,3.45
2019/08/29,MUFG,THB,JPY,3.55,3.39,3.47
2019/08/30,MUFG,THB,JPY,3.56,3.4,3.48
2019/09/02,MUFG,THB,JPY,3.54,3.38,3.46
2019/09/03,MUFG,THB,JPY,3.55,3.39,3.47
2019/09/04,MUFG,THB,JPY,3.54,3.38,3.46
2019/09/05,MUFG,THB,JPY,3.56,3.4,3.48
2019/09/06,MUFG,THB,JPY,3.57,3.41,3.49
2019/09/09,MUFG,THB,JPY,3.57,3.41,3.49
2019/09/10,MUFG,THB,JPY,3.59,3.43,3.51
2019/09/11,MUFG,THB,JPY,3.6,3.44,3.52
2019/09/12,MUFG,THB,JPY,3.62,3.46,3.54
2019/09/13,MUFG,THB,JPY,3.64,3.48,3.56
2019/09/17,MUFG,THB,JPY,3.62,3.46,3.54
2019/09/18,MUFG,THB,JPY,3.63,3.47,3.55
2019/09/19,MUFG,THB,JPY,3.63,3.47,3.55
2019/09/20,MUFG,THB,JPY,3.62,3.46,3.54
2019/09/24,MUFG,THB,JPY,3.62,3.46,3.54
2019/09/25,MUFG,THB,JPY,3.59,3.43,3.51
2019/09/26,MUFG,THB,JPY,3.6,3.44,3.52
2019/09/27,MUFG,THB,JPY,3.6,3.44,3.52
2019/09/30,MUFG,THB,JPY,3.61,3.45,3.53
2019/10/01,MUFG,THB,JPY,3.62,3.46,3.54
2019/10/02,MUFG,THB,JPY,3.6,3.44,3.52
2019/10/03,MUFG,THB,JPY,3.58,3.42,3.5
2019/10/04,MUFG,THB,JPY,3.58,3.42,3.5
2019/10/07,MUFG,THB,JPY,3.59,3.43,3.51
2019/10/08,MUFG,THB,JPY,3.6,3.44,3.52
2019/10/09,MUFG,THB,JPY,3.61,3.45,3.53
2019/10/10,MUFG,THB,JPY,3.63,3.47,3.55
2019/10/11,MUFG,THB,JPY,3.64,3.48,3.56
2019/10/15,MUFG,THB,JPY,3.65,3.49,3.57
2019/10/16,MUFG,THB,JPY,3.66,3.5,3.58
2019/10/17,MUFG,THB,JPY,3.66,3.5,3.58
2019/10/18,MUFG,THB,JPY,3.67,3.51,3.59
2019/10/21,MUFG,THB,JPY,3.67,3.51,3.59
2019/10/23,MUFG,THB,JPY,3.65,3.49,3.57
2019/10/24,MUFG,THB,JPY,3.67,3.51,3.59
2019/10/25,MUFG,THB,JPY,3.68,3.52,3.6
2019/10/28,MUFG,THB,JPY,3.68,3.52,3.6
2019/10/29,MUFG,THB,JPY,3.69,3.53,3.61
2019/10/30,MUFG,THB,JPY,3.68,3.52,3.6
2019/10/31,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/01,MUFG,THB,JPY,3.66,3.5,3.58
2019/11/05,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/06,MUFG,THB,JPY,3.69,3.53,3.61
2019/11/07,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/08,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/11,MUFG,THB,JPY,3.67,3.51,3.59
2019/11/12,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/13,MUFG,THB,JPY,3.67,3.51,3.59
2019/11/14,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/15,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/18,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/19,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/20,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/21,MUFG,THB,JPY,3.67,3.51,3.59
2019/11/22,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/25,MUFG,THB,JPY,3.69,3.53,3.61
2019/11/26,MUFG,THB,JPY,3.68,3.52,3.6
2019/11/27,MUFG,THB,JPY,3.69,3.53,3.61
2019/11/28,MUFG,THB,JPY,3.7,3.54,3.62
2019/11/29,MUFG,THB,JPY,3.71,3.55,3.63
2019/12/02,MUFG,THB,JPY,3.71,3.55,3.63
2019/12/03,MUFG,THB,JPY,3.69,3.53,3.61
2019/12/04,MUFG,THB,JPY,3.67,3.51,3.59
2019/12/05,MUFG,THB,JPY,3.67,3.51,3.59
2019/12/06,MUFG,THB,JPY,3.67,3.51,3.59
2019/12/09,MUFG,THB,JPY,3.66,3.5,3.58
2019/12/10,MUFG,THB,JPY,3.67,3.51,3.59
2019/12/11,MUFG,THB,JPY,3.67,3.51,3.59
2019/12/12,MUFG,THB,JPY,3.67,3.51,3.59
2019/12/13,MUFG,THB,JPY,3.72,3.56,3.64
2019/12/16,MUFG,THB,JPY,3.71,3.55,3.63
2019/12/17,MUFG,THB,JPY,3.71,3.55,3.63
2019/12/18,MUFG,THB,JPY,3.7,3.54,3.62
2019/12/19,MUFG,THB,JPY,3.71,3.55,3.63
2019/12/20,MUFG,THB,JPY,3.71,3.55,3.63
2019/12/23,MUFG,THB,JPY,3.71,3.55,3.63
2019/12/24,MUFG,THB,JPY,3.71,3.55,3.63
2019/12/25,MUFG,THB,JPY,3.71,3.55,3.63
2019/12/26,MUFG,THB,JPY,3.72,3.56,3.64
2019/12/27,MUFG,THB,JPY,3.72,3.56,3.64
2019/12/30,MUFG,THB,JPY,3.71,3.55,3.63
