date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2021/11/01,MUFG,THB,JPY,3.5,3.34,3.42
2021/11/02,MUFG,THB,JPY,3.51,3.35,3.43
2021/11/04,MUFG,THB,JPY,3.51,3.35,3.43
2021/11/05,MUFG,THB,JPY,3.49,3.33,3.41
2021/11/08,MUFG,THB,JPY,3.51,3.35,3.43
2021/11/09,MUFG,THB,JPY,3.53,3.37,3.45
2021/11/10,MUFG,THB,JPY,3.53,3.37,3.45
2021/11/11,MUFG,THB,JPY,3.53,3.37,3.45
2021/11/12,MUFG,THB,JPY,3.57,3.41,3.49
2021/11/15,MUFG,THB,JPY,3.57,3.41,3.49
2021/11/16,MUFG,THB,JPY,3.57,3.41,3.49
2021/11/17,MUFG,THB,JPY,3.59,3.43,3.51
2021/11/18,MUFG,THB,JPY,3.58,3.42,3.5
2021/11/19,MUFG,THB,JPY,3.59,3.43,3.51
2021/11/22,MUFG,THB,JPY,3.56,3.4,3.48
2021/11/24,MUFG,THB,JPY,3.56,3.4,3.48
2021/11/25,MUFG,THB,JPY,3.54,3.38,3.46
2021/11/26,MUFG,THB,JPY,3.51,3.35,3.43
2021/11/29,MUFG,THB,JPY,3.47,3.31,3.39
2021/11/30,MUFG,THB,JPY,3.46,3.3,3.38
