date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2022/01/04,MUFG,TRY,JPY,11.29,6.29,8.79
2022/01/05,MUFG,TRY,JPY,11.13,6.13,8.63
2022/01/06,MUFG,TRY,JPY,11.,6.,8.5
2022/01/07,MUFG,TRY,JPY,10.98,5.98,8.48
2022/01/11,MUFG,TRY,JPY,10.84,5.84,8.34
2022/01/12,MUFG,TRY,JPY,10.88,5.88,8.38
2022/01/13,MUFG,TRY,JPY,11.22,6.22,8.72
2022/01/14,MUFG,TRY,JPY,10.91,5.91,8.41
2022/01/17,MUFG,TRY,JPY,10.92,5.92,8.42
2022/01/18,MUFG,TRY,JPY,11.03,6.03,8.53
2022/01/19,MUFG,TRY,JPY,10.98,5.98,8.48
2022/01/20,MUFG,TRY,JPY,11.02,6.02,8.52
2022/01/21,MUFG,TRY,JPY,11.06,6.06,8.56
2022/01/24,MUFG,TRY,JPY,10.95,5.95,8.45
2022/01/25,MUFG,TRY,JPY,10.97,5.97,8.47
2022/01/26,MUFG,TRY,JPY,10.97,5.97,8.47
2022/01/27,MUFG,TRY,JPY,10.97,5.97,8.47
2022/01/28,MUFG,TRY,JPY,11.04,6.04,8.54
2022/01/31,MUFG,TRY,JPY,11.,6.,8.5
2022/02/01,MUFG,TRY,JPY,11.14,6.14,8.64
2022/02/02,MUFG,TRY,JPY,11.1,6.1,8.6
2022/02/03,MUFG,TRY,JPY,11.01,6.01,8.51
2022/02/04,MUFG,TRY,JPY,11.,6.,8.5
2022/02/07,MUFG,TRY,JPY,11.01,6.01,8.51
2022/02/08,MUFG,TRY,JPY,10.96,5.96,8.46
2022/02/09,MUFG,TRY,JPY,11.02,6.02,8.52
2022/02/10,MUFG,TRY,JPY,11.05,6.05,8.55
2022/02/14,MUFG,TRY,JPY,11.01,6.01,8.51
2022/02/15,MUFG,TRY,JPY,10.98,5.98,8.48
2022/02/16,MUFG,TRY,JPY,11.,6.,8.5
2022/02/17,MUFG,TRY,JPY,11.01,6.01,8.51
2022/02/18,MUFG,TRY,JPY,11.02,6.02,8.52
2022/02/21,MUFG,TRY,JPY,10.96,5.96,8.46
2022/02/22,MUFG,TRY,JPY,10.9,5.9,8.4
2022/02/24,MUFG,TRY,JPY,10.85,5.85,8.35
2022/02/25,MUFG,TRY,JPY,10.87,5.87,8.37
2022/02/28,MUFG,TRY,JPY,10.81,5.81,8.31
2022/03/01,MUFG,TRY,JPY,10.9,5.9,8.4
2022/03/02,MUFG,TRY,JPY,10.88,5.88,8.38
2022/03/03,MUFG,TRY,JPY,10.74,5.74,8.24
2022/03/04,MUFG,TRY,JPY,10.71,5.71,8.21
2022/03/07,MUFG,TRY,JPY,10.56,5.56,8.06
2022/03/08,MUFG,TRY,JPY,10.55,5.55,8.05
2022/03/09,MUFG,TRY,JPY,10.5,5.5,8.
2022/03/10,MUFG,TRY,JPY,10.42,5.42,7.92
2022/03/11,MUFG,TRY,JPY,10.36,5.36,7.86
2022/03/14,MUFG,TRY,JPY,10.44,5.44,7.94
2022/03/15,MUFG,TRY,JPY,10.51,5.51,8.01
2022/03/16,MUFG,TRY,JPY,10.57,5.57,8.07
2022/03/17,MUFG,TRY,JPY,10.68,5.68,8.18
2022/03/18,MUFG,TRY,JPY,10.59,5.59,8.09
2022/03/22,MUFG,TRY,JPY,10.61,5.61,8.11
2022/03/23,MUFG,TRY,JPY,10.67,5.67,8.17
2022/03/24,MUFG,TRY,JPY,10.68,5.68,8.18
2022/03/25,MUFG,TRY,JPY,10.76,5.76,8.26
2022/03/28,MUFG,TRY,JPY,10.73,5.73,8.23
2022/03/29,MUFG,TRY,JPY,10.87,5.87,8.37
2022/03/30,MUFG,TRY,JPY,10.89,5.89,8.39
2022/03/31,MUFG,TRY,JPY,10.86,5.86,8.36
2022/04/01,MUFG,TRY,JPY,10.84,5.84,8.34
2022/04/04,MUFG,TRY,JPY,10.85,5.85,8.35
2022/04/05,MUFG,TRY,JPY,10.86,5.86,8.36
2022/04/06,MUFG,TRY,JPY,10.93,5.93,8.43
2022/04/07,MUFG,TRY,JPY,10.89,5.89,8.39
2022/04/08,MUFG,TRY,JPY,10.91,5.91,8.41
