date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2023/01/04,MUFG,TRY,JPY,9.5,4.5,7.
2023/01/05,MUFG,TRY,JPY,9.56,4.56,7.06
2023/01/06,MUFG,TRY,JPY,9.64,4.64,7.14
2023/01/10,MUFG,TRY,JPY,9.54,4.54,7.04
2023/01/11,MUFG,TRY,JPY,9.55,4.55,7.05
2023/01/12,MUFG,TRY,JPY,9.53,4.53,7.03
2023/01/13,MUFG,TRY,JPY,9.38,4.38,6.88
2023/01/16,MUFG,TRY,JPY,9.31,4.31,6.81
2023/01/17,MUFG,TRY,JPY,9.35,4.35,6.85
2023/01/18,MUFG,TRY,JPY,9.48,4.48,6.98
2023/01/19,MUFG,TRY,JPY,9.34,4.34,6.84
2023/01/20,MUFG,TRY,JPY,9.35,4.35,6.85
2023/01/23,MUFG,TRY,JPY,9.38,4.38,6.88
2023/01/24,MUFG,TRY,JPY,9.48,4.48,6.98
2023/01/25,MUFG,TRY,JPY,9.44,4.44,6.94
2023/01/26,MUFG,TRY,JPY,9.37,4.37,6.87
2023/01/27,MUFG,TRY,JPY,9.4,4.4,6.9
2023/01/30,MUFG,TRY,JPY,9.42,4.42,6.92
2023/01/31,MUFG,TRY,JPY,9.44,4.44,6.94
