date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2016/01/04,MUFG,USD,JPY,121.38,119.38,120.38
2016/01/05,MUFG,USD,JPY,120.23,118.23,119.23
2016/01/06,MUFG,USD,JPY,120.,118.,119.
2016/01/07,MUFG,USD,JPY,119.64,117.64,118.64
2016/01/08,MUFG,USD,JPY,118.86,116.86,117.86
2016/01/12,MUFG,USD,JPY,118.8,116.8,117.8
2016/01/13,MUFG,USD,JPY,118.91,116.91,117.91
2016/01/14,MUFG,USD,JPY,118.58,116.58,117.58
2016/01/15,MUFG,USD,JPY,119.16,117.16,118.16
2016/01/18,MUFG,USD,JPY,118.05,116.05,117.05
2016/01/19,MUFG,USD,JPY,118.61,116.61,117.61
2016/01/20,MUFG,USD,JPY,118.55,116.55,117.55
2016/01/21,MUFG,USD,JPY,118.34,116.34,117.34
2016/01/22,MUFG,USD,JPY,118.77,116.77,117.77
2016/01/25,MUFG,USD,JPY,119.63,117.63,118.63
2016/01/26,MUFG,USD,JPY,119.14,117.14,118.14
2016/01/27,MUFG,USD,JPY,119.25,117.25,118.25
2016/01/28,MUFG,USD,JPY,119.66,117.66,118.66
2016/01/29,MUFG,USD,JPY,121.87,119.87,120.87
2016/02/01,MUFG,USD,JPY,122.17,120.17,121.17
2016/02/02,MUFG,USD,JPY,121.9,119.9,120.9
2016/02/03,MUFG,USD,JPY,120.71,118.71,119.71
2016/02/04,MUFG,USD,JPY,118.77,116.77,117.77
2016/02/05,MUFG,USD,JPY,117.99,115.99,116.99
2016/02/08,MUFG,USD,JPY,118.02,116.02,117.02
2016/02/09,MUFG,USD,JPY,116.35,114.35,115.35
2016/02/10,MUFG,USD,JPY,115.73,113.73,114.73
2016/02/12,MUFG,USD,JPY,113.44,111.44,112.44
2016/02/15,MUFG,USD,JPY,114.33,112.33,113.33
2016/02/16,MUFG,USD,JPY,115.66,113.66,114.66
2016/02/17,MUFG,USD,JPY,115.29,113.29,114.29
2016/02/18,MUFG,USD,JPY,114.97,112.97,113.97
2016/02/19,MUFG,USD,JPY,113.97,111.97,112.97
2016/02/22,MUFG,USD,JPY,113.85,111.85,112.85
2016/02/23,MUFG,USD,JPY,113.67,111.67,112.67
2016/02/24,MUFG,USD,JPY,112.96,110.96,111.96
2016/02/25,MUFG,USD,JPY,113.17,111.17,112.17
2016/02/26,MUFG,USD,JPY,114.02,112.02,113.02
2016/02/29,MUFG,USD,JPY,114.62,112.62,113.62
2016/03/01,MUFG,USD,JPY,113.49,111.49,112.49
2016/03/02,MUFG,USD,JPY,114.96,112.96,113.96
2016/03/03,MUFG,USD,JPY,114.67,112.67,113.67
2016/03/04,MUFG,USD,JPY,114.62,112.62,113.62
2016/03/07,MUFG,USD,JPY,114.7,112.7,113.7
2016/03/08,MUFG,USD,JPY,114.03,112.03,113.03
2016/03/09,MUFG,USD,JPY,113.49,111.49,112.49
2016/03/10,MUFG,USD,JPY,114.31,112.31,113.31
2016/03/11,MUFG,USD,JPY,114.29,112.29,113.29
2016/03/14,MUFG,USD,JPY,114.89,112.89,113.89
2016/03/15,MUFG,USD,JPY,114.9,112.9,113.9
2016/03/16,MUFG,USD,JPY,114.31,112.31,113.31
2016/03/17,MUFG,USD,JPY,113.85,111.85,112.85
