date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2020/08/03,MUFG,USD,JPY,107.13,105.13,106.13
2020/08/04,MUFG,USD,JPY,107.13,105.13,106.13
2020/08/05,MUFG,USD,JPY,106.61,104.61,105.61
2020/08/06,MUFG,USD,JPY,106.51,104.51,105.51
2020/08/07,MUFG,USD,JPY,106.59,104.59,105.59
2020/08/11,MUFG,USD,JPY,107.17,105.17,106.17
2020/08/12,MUFG,USD,JPY,107.57,105.57,106.57
2020/08/13,MUFG,USD,JPY,107.71,105.71,106.71
2020/08/14,MUFG,USD,JPY,107.98,105.98,106.98
2020/08/17,MUFG,USD,JPY,107.55,105.55,106.55
2020/08/18,MUFG,USD,JPY,106.82,104.82,105.82
2020/08/19,MUFG,USD,JPY,106.19,104.19,105.19
2020/08/20,MUFG,USD,JPY,107.09,105.09,106.09
2020/08/21,MUFG,USD,JPY,106.7,104.7,105.7
2020/08/24,MUFG,USD,JPY,106.8,104.8,105.8
2020/08/25,MUFG,USD,JPY,107.01,105.01,106.01
2020/08/26,MUFG,USD,JPY,107.46,105.46,106.46
2020/08/27,MUFG,USD,JPY,106.93,104.93,105.93
2020/08/28,MUFG,USD,JPY,107.66,105.66,106.66
2020/08/31,MUFG,USD,JPY,106.36,104.36,105.36
