date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2016/01/04,MUFG,ZAR,JPY,9.28,6.28,7.78
2016/01/05,MUFG,ZAR,JPY,9.17,6.17,7.67
2016/01/06,MUFG,ZAR,JPY,9.11,6.11,7.61
2016/01/07,MUFG,ZAR,JPY,8.98,5.98,7.48
2016/01/08,MUFG,ZAR,JPY,8.85,5.85,7.35
2016/01/12,MUFG,ZAR,JPY,8.51,5.51,7.01
2016/01/13,MUFG,ZAR,JPY,8.61,5.61,7.11
2016/01/14,MUFG,ZAR,JPY,8.59,5.59,7.09
2016/01/15,MUFG,ZAR,JPY,8.68,5.68,7.18
2016/01/18,MUFG,ZAR,JPY,8.45,5.45,6.95
2016/01/19,MUFG,ZAR,JPY,8.49,5.49,6.99
2016/01/20,MUFG,ZAR,JPY,8.51,5.51,7.01
2016/01/21,MUFG,ZAR,JPY,8.53,5.53,7.03
2016/01/22,MUFG,ZAR,JPY,8.62,5.62,7.12
2016/01/25,MUFG,ZAR,JPY,8.72,5.72,7.22
2016/01/26,MUFG,ZAR,JPY,8.64,5.64,7.14
2016/01/27,MUFG,ZAR,JPY,8.71,5.71,7.21
2016/01/28,MUFG,ZAR,JPY,8.7,5.7,7.2
2016/01/29,MUFG,ZAR,JPY,8.96,5.96,7.46
2016/02/01,MUFG,ZAR,JPY,9.13,6.13,7.63
2016/02/02,MUFG,ZAR,JPY,9.08,6.08,7.58
2016/02/03,MUFG,ZAR,JPY,8.83,5.83,7.33
2016/02/04,MUFG,ZAR,JPY,8.88,5.88,7.38
2016/02/05,MUFG,ZAR,JPY,8.87,5.87,7.37
2016/02/08,MUFG,ZAR,JPY,8.81,5.81,7.31
2016/02/09,MUFG,ZAR,JPY,8.64,5.64,7.14
2016/02/10,MUFG,ZAR,JPY,8.66,5.66,7.16
2016/02/12,MUFG,ZAR,JPY,8.6,5.6,7.1
2016/02/15,MUFG,ZAR,JPY,8.64,5.64,7.14
2016/02/16,MUFG,ZAR,JPY,8.8,5.8,7.3
2016/02/17,MUFG,ZAR,JPY,8.74,5.74,7.24
2016/02/18,MUFG,ZAR,JPY,8.87,5.87,7.37
2016/02/19,MUFG,ZAR,JPY,8.82,5.82,7.32
2016/02/22,MUFG,ZAR,JPY,8.83,5.83,7.33
2016/02/23,MUFG,ZAR,JPY,8.9,5.9,7.4
2016/02/24,MUFG,ZAR,JPY,8.85,5.85,7.35
2016/02/25,MUFG,ZAR,JPY,8.69,5.69,7.19
2016/02/26,MUFG,ZAR,JPY,8.75,5.75,7.25
2016/02/29,MUFG,ZAR,JPY,8.53,5.53,7.03
2016/03/01,MUFG,ZAR,JPY,8.59,5.59,7.09
2016/03/02,MUFG,ZAR,JPY,8.83,5.83,7.33
2016/03/03,MUFG,ZAR,JPY,8.81,5.81,7.31
2016/03/04,MUFG,ZAR,JPY,8.79,5.79,7.29
2016/03/07,MUFG,ZAR,JPY,8.9,5.9,7.4
2016/03/08,MUFG,ZAR,JPY,8.91,5.91,7.41
2016/03/09,MUFG,ZAR,JPY,8.8,5.8,7.3
2016/03/10,MUFG,ZAR,JPY,8.95,5.95,7.45
2016/03/11,MUFG,ZAR,JPY,8.88,5.88,7.38
2016/03/14,MUFG,ZAR,JPY,8.98,5.98,7.48
2016/03/15,MUFG,ZAR,JPY,8.83,5.83,7.33
2016/03/16,MUFG,ZAR,JPY,8.6,5.6,7.1
2016/03/17,MUFG,ZAR,JPY,8.72,5.72,7.22
2016/03/18,MUFG,ZAR,JPY,8.83,5.83,7.33
2016/03/22,MUFG,ZAR,JPY,8.84,5.84,7.34
2016/03/23,MUFG,ZAR,JPY,8.89,5.89,7.39
2016/03/24,MUFG,ZAR,JPY,8.83,5.83,7.33
2016/03/25,MUFG,ZAR,JPY,8.85,5.85,7.35
2016/03/28,MUFG,ZAR,JPY,8.83,5.83,7.33
2016/03/29,MUFG,ZAR,JPY,8.81,5.81,7.31
2016/03/30,MUFG,ZAR,JPY,8.91,5.91,7.41
2016/03/31,MUFG,ZAR,JPY,9.04,6.04,7.54
2016/04/01,MUFG,ZAR,JPY,9.15,6.15,7.65
2016/04/04,MUFG,ZAR,JPY,9.07,6.07,7.57
2016/04/05,MUFG,ZAR,JPY,8.98,5.98,7.48
2016/04/06,MUFG,ZAR,JPY,8.83,5.83,7.33
2016/04/07,MUFG,ZAR,JPY,8.78,5.78,7.28
2016/04/08,MUFG,ZAR,JPY,8.64,5.64,7.14
2016/04/11,MUFG,ZAR,JPY,8.72,5.72,7.22
2016/04/12,MUFG,ZAR,JPY,8.83,5.83,7.33
2016/04/13,MUFG,ZAR,JPY,8.89,5.89,7.39
2016/04/14,MUFG,ZAR,JPY,9.,6.,7.5
2016/04/15,MUFG,ZAR,JPY,9.04,6.04,7.54
2016/04/18,MUFG,ZAR,JPY,8.85,5.85,7.35
2016/04/19,MUFG,ZAR,JPY,9.05,6.05,7.55
2016/04/20,MUFG,ZAR,JPY,9.13,6.13,7.63
2016/04/21,MUFG,ZAR,JPY,9.22,6.22,7.72
2016/04/22,MUFG,ZAR,JPY,9.15,6.15,7.65
2016/04/25,MUFG,ZAR,JPY,9.21,6.21,7.71
2016/04/26,MUFG,ZAR,JPY,9.19,6.19,7.69
2016/04/27,MUFG,ZAR,JPY,9.25,6.25,7.75
2016/04/28,MUFG,ZAR,JPY,9.11,6.11,7.61
2016/05/02,MUFG,ZAR,JPY,9.,6.,7.5
2016/05/06,MUFG,ZAR,JPY,8.68,5.68,7.18
2016/05/09,MUFG,ZAR,JPY,8.73,5.73,7.23
2016/05/10,MUFG,ZAR,JPY,8.66,5.66,7.16
2016/05/11,MUFG,ZAR,JPY,8.73,5.73,7.23
2016/05/12,MUFG,ZAR,JPY,8.71,5.71,7.21
2016/05/13,MUFG,ZAR,JPY,8.75,5.75,7.25
2016/05/16,MUFG,ZAR,JPY,8.55,5.55,7.05
2016/05/17,MUFG,ZAR,JPY,8.46,5.46,6.96
2016/05/18,MUFG,ZAR,JPY,8.47,5.47,6.97
2016/05/19,MUFG,ZAR,JPY,8.44,5.44,6.94
2016/05/20,MUFG,ZAR,JPY,8.47,5.47,6.97
2016/05/23,MUFG,ZAR,JPY,8.54,5.54,7.04
2016/05/24,MUFG,ZAR,JPY,8.45,5.45,6.95
2016/05/25,MUFG,ZAR,JPY,8.54,5.54,7.04
2016/05/26,MUFG,ZAR,JPY,8.5,5.5,7.
2016/05/27,MUFG,ZAR,JPY,8.58,5.58,7.08
2016/05/30,MUFG,ZAR,JPY,8.54,5.54,7.04
2016/05/31,MUFG,ZAR,JPY,8.53,5.53,7.03
2016/06/01,MUFG,ZAR,JPY,8.54,5.54,7.04
2016/06/02,MUFG,ZAR,JPY,8.51,5.51,7.01
2016/06/03,MUFG,ZAR,JPY,8.5,5.5,7.
2016/06/06,MUFG,ZAR,JPY,8.55,5.55,7.05
2016/06/07,MUFG,ZAR,JPY,8.7,5.7,7.2
2016/06/08,MUFG,ZAR,JPY,8.68,5.68,7.18
2016/06/09,MUFG,ZAR,JPY,8.75,5.75,7.25
2016/06/10,MUFG,ZAR,JPY,8.73,5.73,7.23
2016/06/13,MUFG,ZAR,JPY,8.5,5.5,7.
2016/06/14,MUFG,ZAR,JPY,8.49,5.49,6.99
2016/06/15,MUFG,ZAR,JPY,8.42,5.42,6.92
2016/06/16,MUFG,ZAR,JPY,8.45,5.45,6.95
2016/06/17,MUFG,ZAR,JPY,8.35,5.35,6.85
2016/06/20,MUFG,ZAR,JPY,8.47,5.47,6.97
2016/06/21,MUFG,ZAR,JPY,8.53,5.53,7.03
2016/06/22,MUFG,ZAR,JPY,8.58,5.58,7.08
2016/06/23,MUFG,ZAR,JPY,8.69,5.69,7.19
2016/06/24,MUFG,ZAR,JPY,8.01,5.01,6.51
2016/06/27,MUFG,ZAR,JPY,8.19,5.19,6.69
2016/06/28,MUFG,ZAR,JPY,8.11,5.11,6.61
2016/06/29,MUFG,ZAR,JPY,8.24,5.24,6.74
2016/06/30,MUFG,ZAR,JPY,8.47,5.47,6.97
2016/07/01,MUFG,ZAR,JPY,8.48,5.48,6.98
2016/07/04,MUFG,ZAR,JPY,8.53,5.53,7.03
2016/07/05,MUFG,ZAR,JPY,8.52,5.52,7.02
2016/07/06,MUFG,ZAR,JPY,8.34,5.34,6.84
2016/07/07,MUFG,ZAR,JPY,8.35,5.35,6.85
2016/07/08,MUFG,ZAR,JPY,8.35,5.35,6.85
2016/07/11,MUFG,ZAR,JPY,8.42,5.42,6.92
2016/07/12,MUFG,ZAR,JPY,8.6,5.6,7.1
2016/07/13,MUFG,ZAR,JPY,8.78,5.78,7.28
2016/07/14,MUFG,ZAR,JPY,8.69,5.69,7.19
2016/07/15,MUFG,ZAR,JPY,8.91,5.91,7.41
2016/07/19,MUFG,ZAR,JPY,8.94,5.94,7.44
2016/07/20,MUFG,ZAR,JPY,8.89,5.89,7.39
2016/07/21,MUFG,ZAR,JPY,8.99,5.99,7.49
2016/07/22,MUFG,ZAR,JPY,8.93,5.93,7.43
2016/07/25,MUFG,ZAR,JPY,8.95,5.95,7.45
2016/07/26,MUFG,ZAR,JPY,8.81,5.81,7.31
2016/07/27,MUFG,ZAR,JPY,8.82,5.82,7.32
2016/07/28,MUFG,ZAR,JPY,8.87,5.87,7.37
2016/07/29,MUFG,ZAR,JPY,8.89,5.89,7.39
2016/08/01,MUFG,ZAR,JPY,8.88,5.88,7.38
2016/08/02,MUFG,ZAR,JPY,8.86,5.86,7.36
2016/08/03,MUFG,ZAR,JPY,8.72,5.72,7.22
2016/08/04,MUFG,ZAR,JPY,8.79,5.79,7.29
2016/08/05,MUFG,ZAR,JPY,8.89,5.89,7.39
2016/08/08,MUFG,ZAR,JPY,8.94,5.94,7.44
2016/08/09,MUFG,ZAR,JPY,9.03,6.03,7.53
2016/08/10,MUFG,ZAR,JPY,9.1,6.1,7.6
2016/08/12,MUFG,ZAR,JPY,9.13,6.13,7.63
2016/08/15,MUFG,ZAR,JPY,9.03,6.03,7.53
2016/08/16,MUFG,ZAR,JPY,9.11,6.11,7.61
2016/08/17,MUFG,ZAR,JPY,9.,6.,7.5
2016/08/18,MUFG,ZAR,JPY,8.97,5.97,7.47
2016/08/19,MUFG,ZAR,JPY,9.,6.,7.5
2016/08/22,MUFG,ZAR,JPY,8.94,5.94,7.44
2016/08/23,MUFG,ZAR,JPY,8.88,5.88,7.38
2016/08/24,MUFG,ZAR,JPY,8.72,5.72,7.22
2016/08/25,MUFG,ZAR,JPY,8.6,5.6,7.1
2016/08/26,MUFG,ZAR,JPY,8.58,5.58,7.08
2016/08/29,MUFG,ZAR,JPY,8.61,5.61,7.11
2016/08/30,MUFG,ZAR,JPY,8.58,5.58,7.08
2016/08/31,MUFG,ZAR,JPY,8.61,5.61,7.11
2016/09/01,MUFG,ZAR,JPY,8.53,5.53,7.03
2016/09/02,MUFG,ZAR,JPY,8.58,5.58,7.08
2016/09/05,MUFG,ZAR,JPY,8.67,5.67,7.17
2016/09/06,MUFG,ZAR,JPY,8.7,5.7,7.2
2016/09/07,MUFG,ZAR,JPY,8.75,5.75,7.25
2016/09/08,MUFG,ZAR,JPY,8.76,5.76,7.26
2016/09/09,MUFG,ZAR,JPY,8.75,5.75,7.25
2016/09/12,MUFG,ZAR,JPY,8.62,5.62,7.12
2016/09/13,MUFG,ZAR,JPY,8.62,5.62,7.12
2016/09/14,MUFG,ZAR,JPY,8.63,5.63,7.13
2016/09/15,MUFG,ZAR,JPY,8.66,5.66,7.16
2016/09/16,MUFG,ZAR,JPY,8.69,5.69,7.19
2016/09/20,MUFG,ZAR,JPY,8.78,5.78,7.28
2016/09/21,MUFG,ZAR,JPY,8.82,5.82,7.32
2016/09/23,MUFG,ZAR,JPY,8.92,5.92,7.42
2016/09/26,MUFG,ZAR,JPY,8.83,5.83,7.33
2016/09/27,MUFG,ZAR,JPY,8.81,5.81,7.31
2016/09/28,MUFG,ZAR,JPY,8.97,5.97,7.47
2016/09/29,MUFG,ZAR,JPY,8.94,5.94,7.44
2016/09/30,MUFG,ZAR,JPY,8.74,5.74,7.24
2016/10/03,MUFG,ZAR,JPY,8.87,5.87,7.37
2016/10/04,MUFG,ZAR,JPY,9.01,6.01,7.51
2016/10/05,MUFG,ZAR,JPY,8.93,5.93,7.43
