date,providerCode,baseCurrencyCode,quoteCurrencyCode,ask,bid,mid
2017/05/01,MUFG,ZAR,JPY,9.85,6.85,8.35
2017/05/02,MUFG,ZAR,JPY,9.85,6.85,8.35
2017/05/08,MUFG,ZAR,JPY,9.84,6.84,8.34
2017/05/09,MUFG,ZAR,JPY,9.81,6.81,8.31
2017/05/10,MUFG,ZAR,JPY,9.86,6.86,8.36
2017/05/11,MUFG,ZAR,JPY,9.97,6.97,8.47
2017/05/12,MUFG,ZAR,JPY,10.02,7.02,8.52
2017/05/15,MUFG,ZAR,JPY,9.97,6.97,8.47
2017/05/16,MUFG,ZAR,JPY,10.14,7.14,8.64
2017/05/17,MUFG,ZAR,JPY,10.11,7.11,8.61
2017/05/18,MUFG,ZAR,JPY,9.85,6.85,8.35
2017/05/19,MUFG,ZAR,JPY,9.8,6.8,8.3
2017/05/22,MUFG,ZAR,JPY,9.92,6.92,8.42
2017/05/23,MUFG,ZAR,JPY,9.88,6.88,8.38
2017/05/24,MUFG,ZAR,JPY,10.03,7.03,8.53
2017/05/25,MUFG,ZAR,JPY,10.16,7.16,8.66
2017/05/26,MUFG,ZAR,JPY,10.14,7.14,8.64
2017/05/29,MUFG,ZAR,JPY,10.18,7.18,8.68
2017/05/30,MUFG,ZAR,JPY,10.03,7.03,8.53
2017/05/31,MUFG,ZAR,JPY,9.96,6.96,8.46
