date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Swiss Franc,CHF,756,Yen,JPY,392,173.3,171.5,172.4
2024-12-11,Swiss Franc,CHF,756,Yen,JPY,392,172.94,171.14,172.04
2024-12-12,Swiss Franc,CHF,756,Yen,JPY,392,173.3,171.5,172.4
2024-12-13,Swiss Franc,CHF,756,Yen,JPY,392,172.43,170.63,171.53
2024-12-16,Swiss Franc,CHF,756,Yen,JPY,392,173.53,171.73,172.63
2024-12-17,Swiss Franc,CHF,756,Yen,JPY,392,173.56,171.76,172.66
2024-12-18,Swiss Franc,CHF,756,Yen,JPY,392,173.22,171.42,172.32
2024-12-19,Swiss Franc,CHF,756,Yen,JPY,392,172.9,171.1,172.
2024-12-20,Swiss Franc,CHF,756,Yen,JPY,392,176.67,174.87,175.77
2024-12-23,Swiss Franc,CHF,756,Yen,JPY,392,176.28,174.48,175.38
2024-12-24,Swiss Franc,CHF,756,Yen,JPY,392,175.96,174.16,175.06
2024-12-25,Swiss Franc,CHF,756,Yen,JPY,392,175.77,173.97,174.87
2024-12-26,Swiss Franc,CHF,756,Yen,JPY,392,175.82,174.02,174.92
2024-12-27,Swiss Franc,CHF,756,Yen,JPY,392,176.73,174.93,175.83
2024-12-30,Swiss Franc,CHF,756,Yen,JPY,392,176.25,174.45,175.35
