date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Yuan Renminbi,CNY,156,Yen,JPY,392,21.73,21.13,21.43
2025-01-07,Yuan Renminbi,CNY,156,Yen,JPY,392,21.85,21.25,21.55
2025-01-08,Yuan Renminbi,CNY,156,Yen,JPY,392,21.83,21.23,21.53
2025-01-09,Yuan Renminbi,CNY,156,Yen,JPY,392,21.84,21.24,21.54
2025-01-10,Yuan Renminbi,CNY,156,Yen,JPY,392,21.82,21.22,21.52
2025-01-14,Yuan Renminbi,CNY,156,Yen,JPY,392,21.75,21.15,21.45
2025-01-15,Yuan Renminbi,CNY,156,Yen,JPY,392,21.82,21.22,21.52
2025-01-16,Yuan Renminbi,CNY,156,Yen,JPY,392,21.59,20.99,21.29
2025-01-17,Yuan Renminbi,CNY,156,Yen,JPY,392,21.44,20.84,21.14
2025-01-20,Yuan Renminbi,CNY,156,Yen,JPY,392,21.58,20.98,21.28
2025-01-21,Yuan Renminbi,CNY,156,Yen,JPY,392,21.72,21.12,21.42
2025-01-22,Yuan Renminbi,CNY,156,Yen,JPY,392,21.69,21.09,21.39
2025-01-23,Yuan Renminbi,CNY,156,Yen,JPY,392,21.79,21.19,21.49
2025-01-24,Yuan Renminbi,CNY,156,Yen,JPY,392,21.75,21.15,21.45
2025-01-27,Yuan Renminbi,CNY,156,Yen,JPY,392,21.75,21.15,21.45
2025-01-28,Yuan Renminbi,CNY,156,Yen,JPY,392,21.62,21.02,21.32
2025-01-29,Yuan Renminbi,CNY,156,Yen,JPY,392,21.69,21.09,21.39
2025-01-30,Yuan Renminbi,CNY,156,Yen,JPY,392,21.59,20.99,21.29
2025-01-31,Yuan Renminbi,CNY,156,Yen,JPY,392,21.46,20.86,21.16
