date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Danish Krone,DKK,208,Yen,JPY,392,21.74,21.14,21.44
2024-12-11,Danish Krone,DKK,208,Yen,JPY,392,21.75,21.15,21.45
2024-12-12,Danish Krone,DKK,208,Yen,JPY,392,21.76,21.16,21.46
2024-12-13,Danish Krone,DKK,208,Yen,JPY,392,21.8,21.2,21.5
2024-12-16,Danish Krone,DKK,208,Yen,JPY,392,22.01,21.41,21.71
2024-12-17,Danish Krone,DKK,208,Yen,JPY,392,22.08,21.48,21.78
2024-12-18,Danish Krone,DKK,208,Yen,JPY,392,21.94,21.34,21.64
2024-12-19,Danish Krone,DKK,208,Yen,JPY,392,21.85,21.25,21.55
2024-12-20,Danish Krone,DKK,208,Yen,JPY,392,22.24,21.64,21.94
2024-12-23,Danish Krone,DKK,208,Yen,JPY,392,22.21,21.61,21.91
2024-12-24,Danish Krone,DKK,208,Yen,JPY,392,22.24,21.64,21.94
2024-12-25,Danish Krone,DKK,208,Yen,JPY,392,22.26,21.66,21.96
2024-12-26,Danish Krone,DKK,208,Yen,JPY,392,22.23,21.63,21.93
2024-12-27,Danish Krone,DKK,208,Yen,JPY,392,22.39,21.79,22.09
2024-12-30,Danish Krone,DKK,208,Yen,JPY,392,22.41,21.81,22.11
