date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-02-03,Danish Krone,DKK,208,Yen,JPY,392,21.62,21.02,21.32
2025-02-04,Danish Krone,DKK,208,Yen,JPY,392,21.78,21.18,21.48
2025-02-05,Danish Krone,DKK,208,Yen,JPY,392,21.73,21.13,21.43
2025-02-06,Danish Krone,DKK,208,Yen,JPY,392,21.56,20.96,21.26
2025-02-07,Danish Krone,DKK,208,Yen,JPY,392,21.35,20.75,21.05
2025-02-10,Danish Krone,DKK,208,Yen,JPY,392,21.3,20.7,21.
2025-02-12,Danish Krone,DKK,208,Yen,JPY,392,21.58,20.98,21.28
2025-02-13,Danish Krone,DKK,208,Yen,JPY,392,21.83,21.23,21.53
2025-02-14,Danish Krone,DKK,208,Yen,JPY,392,21.73,21.13,21.43
2025-02-17,Danish Krone,DKK,208,Yen,JPY,392,21.66,21.06,21.36
2025-02-18,Danish Krone,DKK,208,Yen,JPY,392,21.6,21.,21.3
2025-02-19,Danish Krone,DKK,208,Yen,JPY,392,21.6,21.,21.3
2025-02-20,Danish Krone,DKK,208,Yen,JPY,392,21.43,20.83,21.13
2025-02-21,Danish Krone,DKK,208,Yen,JPY,392,21.37,20.77,21.07
2025-02-25,Danish Krone,DKK,208,Yen,JPY,392,21.37,20.77,21.07
2025-02-26,Danish Krone,DKK,208,Yen,JPY,392,21.31,20.71,21.01
2025-02-27,Danish Krone,DKK,208,Yen,JPY,392,21.27,20.67,20.97
2025-02-28,Danish Krone,DKK,208,Yen,JPY,392,21.16,20.56,20.86
