date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-02-03,Euro,EUR,978,Yen,JPY,392,160.62,157.62,159.12
2025-02-04,Euro,EUR,978,Yen,JPY,392,161.81,158.81,160.31
2025-02-05,Euro,EUR,978,Yen,JPY,392,161.39,158.39,159.89
2025-02-06,Euro,EUR,978,Yen,JPY,392,160.15,157.15,158.65
2025-02-07,Euro,EUR,978,Yen,JPY,392,158.55,155.55,157.05
2025-02-10,Euro,EUR,978,Yen,JPY,392,158.19,155.19,156.69
2025-02-12,Euro,EUR,978,Yen,JPY,392,160.25,157.25,158.75
2025-02-13,Euro,EUR,978,Yen,JPY,392,162.08,159.08,160.58
2025-02-14,Euro,EUR,978,Yen,JPY,392,161.35,158.35,159.85
2025-02-17,Euro,EUR,978,Yen,JPY,392,160.85,157.85,159.35
2025-02-18,Euro,EUR,978,Yen,JPY,392,160.37,157.37,158.87
2025-02-19,Euro,EUR,978,Yen,JPY,392,160.41,157.41,158.91
2025-02-20,Euro,EUR,978,Yen,JPY,392,159.1,156.1,157.6
2025-02-21,Euro,EUR,978,Yen,JPY,392,158.69,155.69,157.19
2025-02-25,Euro,EUR,978,Yen,JPY,392,158.69,155.69,157.19
2025-02-26,Euro,EUR,978,Yen,JPY,392,158.21,155.21,156.71
2025-02-27,Euro,EUR,978,Yen,JPY,392,157.87,154.87,156.37
2025-02-28,Euro,EUR,978,Yen,JPY,392,157.1,154.1,155.6
