date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Pound Sterling,GBP,826,Yen,JPY,392,200.03,192.03,196.03
2025-01-07,Pound Sterling,GBP,826,Yen,JPY,392,202.,194.,198.
2025-01-08,Pound Sterling,GBP,826,Yen,JPY,392,201.3,193.3,197.3
2025-01-09,Pound Sterling,GBP,826,Yen,JPY,392,199.72,191.72,195.72
2025-01-10,Pound Sterling,GBP,826,Yen,JPY,392,198.58,190.58,194.58
2025-01-14,Pound Sterling,GBP,826,Yen,JPY,392,196.39,188.39,192.39
2025-01-15,Pound Sterling,GBP,826,Yen,JPY,392,196.94,188.94,192.94
2025-01-16,Pound Sterling,GBP,826,Yen,JPY,392,195.49,187.49,191.49
2025-01-17,Pound Sterling,GBP,826,Yen,JPY,392,193.96,185.96,189.96
2025-01-20,Pound Sterling,GBP,826,Yen,JPY,392,194.17,186.17,190.17
2025-01-21,Pound Sterling,GBP,826,Yen,JPY,392,195.63,187.63,191.63
2025-01-22,Pound Sterling,GBP,826,Yen,JPY,392,196.14,188.14,192.14
2025-01-23,Pound Sterling,GBP,826,Yen,JPY,392,196.81,188.81,192.81
2025-01-24,Pound Sterling,GBP,826,Yen,JPY,392,197.18,189.18,193.18
2025-01-27,Pound Sterling,GBP,826,Yen,JPY,392,197.92,189.92,193.92
2025-01-28,Pound Sterling,GBP,826,Yen,JPY,392,197.26,189.26,193.26
2025-01-29,Pound Sterling,GBP,826,Yen,JPY,392,197.65,189.65,193.65
2025-01-30,Pound Sterling,GBP,826,Yen,JPY,392,196.71,188.71,192.71
2025-01-31,Pound Sterling,GBP,826,Yen,JPY,392,195.69,187.69,191.69
