date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2024-12-11,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2024-12-12,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2024-12-13,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2024-12-16,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2024-12-17,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2024-12-18,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2024-12-19,Forint,HUF,348,Yen,JPY,392,0.41,0.37,0.39
2024-12-20,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2024-12-23,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2024-12-24,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2024-12-25,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2024-12-26,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2024-12-27,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
2024-12-30,Forint,HUF,348,Yen,JPY,392,0.42,0.38,0.4
