date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-02-03,Rupiah,IDR,360,Yen,JPY,392,1.08,0.84,0.96
2025-02-04,Rupiah,IDR,360,Yen,JPY,392,1.07,0.83,0.95
2025-02-05,Rupiah,IDR,360,Yen,JPY,392,1.07,0.83,0.95
2025-02-06,Rupiah,IDR,360,Yen,JPY,392,1.06,0.82,0.94
2025-02-07,Rupiah,IDR,360,Yen,JPY,392,1.05,0.81,0.93
2025-02-10,Rupiah,IDR,360,Yen,JPY,392,1.06,0.82,0.94
2025-02-12,Rupiah,IDR,360,Yen,JPY,392,1.06,0.82,0.94
2025-02-13,Rupiah,IDR,360,Yen,JPY,392,1.07,0.83,0.95
2025-02-14,Rupiah,IDR,360,Yen,JPY,392,1.06,0.82,0.94
2025-02-17,Rupiah,IDR,360,Yen,JPY,392,1.06,0.82,0.94
2025-02-18,Rupiah,IDR,360,Yen,JPY,392,1.06,0.82,0.94
2025-02-19,Rupiah,IDR,360,Yen,JPY,392,1.06,0.82,0.94
2025-02-20,Rupiah,IDR,360,Yen,JPY,392,1.05,0.81,0.93
2025-02-21,Rupiah,IDR,360,Yen,JPY,392,1.04,0.8,0.92
2025-02-25,Rupiah,IDR,360,Yen,JPY,392,1.05,0.81,0.93
2025-02-26,Rupiah,IDR,360,Yen,JPY,392,1.03,0.79,0.91
2025-02-27,Rupiah,IDR,360,Yen,JPY,392,1.04,0.8,0.92
2025-02-28,Rupiah,IDR,360,Yen,JPY,392,1.03,0.79,0.91
