date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Indian Rupee,INR,356,Yen,JPY,392,2.,1.7,1.85
2025-01-07,Indian Rupee,INR,356,Yen,JPY,392,2.,1.7,1.85
2025-01-08,Indian Rupee,INR,356,Yen,JPY,392,2.,1.7,1.85
2025-01-09,Indian Rupee,INR,356,Yen,JPY,392,2.,1.7,1.85
2025-01-10,Indian Rupee,INR,356,Yen,JPY,392,2.,1.7,1.85
2025-01-14,Indian Rupee,INR,356,Yen,JPY,392,1.98,1.68,1.83
2025-01-15,Indian Rupee,INR,356,Yen,JPY,392,1.98,1.68,1.83
2025-01-16,Indian Rupee,INR,356,Yen,JPY,392,1.97,1.67,1.82
2025-01-17,Indian Rupee,INR,356,Yen,JPY,392,1.95,1.65,1.8
2025-01-20,Indian Rupee,INR,356,Yen,JPY,392,1.96,1.66,1.81
2025-01-21,Indian Rupee,INR,356,Yen,JPY,392,1.97,1.67,1.82
2025-01-22,Indian Rupee,INR,356,Yen,JPY,392,1.96,1.66,1.81
2025-01-23,Indian Rupee,INR,356,Yen,JPY,392,1.97,1.67,1.82
2025-01-24,Indian Rupee,INR,356,Yen,JPY,392,1.97,1.67,1.82
2025-01-27,Indian Rupee,INR,356,Yen,JPY,392,1.96,1.66,1.81
2025-01-28,Indian Rupee,INR,356,Yen,JPY,392,1.95,1.65,1.8
2025-01-29,Indian Rupee,INR,356,Yen,JPY,392,1.96,1.66,1.81
2025-01-30,Indian Rupee,INR,356,Yen,JPY,392,1.95,1.65,1.8
2025-01-31,Indian Rupee,INR,356,Yen,JPY,392,1.94,1.64,1.79
2025-02-03,Indian Rupee,INR,356,Yen,JPY,392,1.96,1.66,1.81
2025-02-04,Indian Rupee,INR,356,Yen,JPY,392,1.94,1.64,1.79
2025-02-05,Indian Rupee,INR,356,Yen,JPY,392,1.93,1.63,1.78
2025-02-06,Indian Rupee,INR,356,Yen,JPY,392,1.91,1.61,1.76
2025-02-07,Indian Rupee,INR,356,Yen,JPY,392,1.89,1.59,1.74
2025-02-10,Indian Rupee,INR,356,Yen,JPY,392,1.89,1.59,1.74
2025-02-12,Indian Rupee,INR,356,Yen,JPY,392,1.92,1.62,1.77
2025-02-13,Indian Rupee,INR,356,Yen,JPY,392,1.94,1.64,1.79
2025-02-14,Indian Rupee,INR,356,Yen,JPY,392,1.92,1.62,1.77
2025-02-17,Indian Rupee,INR,356,Yen,JPY,392,1.91,1.61,1.76
2025-02-18,Indian Rupee,INR,356,Yen,JPY,392,1.91,1.61,1.76
2025-02-19,Indian Rupee,INR,356,Yen,JPY,392,1.91,1.61,1.76
2025-02-20,Indian Rupee,INR,356,Yen,JPY,392,1.9,1.6,1.75
2025-02-21,Indian Rupee,INR,356,Yen,JPY,392,1.89,1.59,1.74
2025-02-25,Indian Rupee,INR,356,Yen,JPY,392,1.89,1.59,1.74
2025-02-26,Indian Rupee,INR,356,Yen,JPY,392,1.87,1.57,1.72
2025-02-27,Indian Rupee,INR,356,Yen,JPY,392,1.87,1.57,1.72
2025-02-28,Indian Rupee,INR,356,Yen,JPY,392,1.87,1.57,1.72
2025-03-03,Indian Rupee,INR,356,Yen,JPY,392,1.88,1.58,1.73
2025-03-04,Indian Rupee,INR,356,Yen,JPY,392,1.87,1.57,1.72
2025-03-05,Indian Rupee,INR,356,Yen,JPY,392,1.88,1.58,1.73
2025-03-06,Indian Rupee,INR,356,Yen,JPY,392,1.88,1.58,1.73
2025-03-07,Indian Rupee,INR,356,Yen,JPY,392,1.86,1.56,1.71
2025-03-10,Indian Rupee,INR,356,Yen,JPY,392,1.85,1.55,1.7
