date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-02-03,Indian Rupee,INR,356,Yen,JPY,392,1.96,1.66,1.81
2025-02-04,Indian Rupee,INR,356,Yen,JPY,392,1.94,1.64,1.79
2025-02-05,Indian Rupee,INR,356,Yen,JPY,392,1.93,1.63,1.78
2025-02-06,Indian Rupee,INR,356,Yen,JPY,392,1.91,1.61,1.76
2025-02-07,Indian Rupee,INR,356,Yen,JPY,392,1.89,1.59,1.74
2025-02-10,Indian Rupee,INR,356,Yen,JPY,392,1.89,1.59,1.74
2025-02-12,Indian Rupee,INR,356,Yen,JPY,392,1.92,1.62,1.77
2025-02-13,Indian Rupee,INR,356,Yen,JPY,392,1.94,1.64,1.79
2025-02-14,Indian Rupee,INR,356,Yen,JPY,392,1.92,1.62,1.77
2025-02-17,Indian Rupee,INR,356,Yen,JPY,392,1.91,1.61,1.76
2025-02-18,Indian Rupee,INR,356,Yen,JPY,392,1.91,1.61,1.76
2025-02-19,Indian Rupee,INR,356,Yen,JPY,392,1.91,1.61,1.76
2025-02-20,Indian Rupee,INR,356,Yen,JPY,392,1.9,1.6,1.75
2025-02-21,Indian Rupee,INR,356,Yen,JPY,392,1.89,1.59,1.74
2025-02-25,Indian Rupee,INR,356,Yen,JPY,392,1.89,1.59,1.74
2025-02-26,Indian Rupee,INR,356,Yen,JPY,392,1.87,1.57,1.72
2025-02-27,Indian Rupee,INR,356,Yen,JPY,392,1.87,1.57,1.72
2025-02-28,Indian Rupee,INR,356,Yen,JPY,392,1.87,1.57,1.72
