date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-02-03,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.41,19.55,19.98
2025-02-04,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.37,19.51,19.94
2025-02-05,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.22,19.36,19.79
2025-02-06,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.03,19.17,19.6
2025-02-07,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.86,19.,19.43
2025-02-10,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.94,19.08,19.51
2025-02-12,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.1,19.24,19.67
2025-02-13,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.27,19.41,19.84
2025-02-14,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.05,19.19,19.62
2025-02-17,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.95,19.09,19.52
2025-02-18,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.92,19.06,19.49
2025-02-19,Malaysian Ringgit,MYR,458,Yen,JPY,392,20.,19.14,19.57
2025-02-20,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.86,19.,19.43
2025-02-21,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.7,18.84,19.27
2025-02-25,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.75,18.89,19.32
2025-02-26,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.59,18.73,19.16
2025-02-27,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.63,18.77,19.2
2025-02-28,Malaysian Ringgit,MYR,458,Yen,JPY,392,19.68,18.82,19.25
