date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Norwegian Krone,NOK,578,Yen,JPY,392,14.2,13.6,13.9
2025-01-07,Norwegian Krone,NOK,578,Yen,JPY,392,14.31,13.71,14.01
2025-01-08,Norwegian Krone,NOK,578,Yen,JPY,392,14.24,13.64,13.94
2025-01-09,Norwegian Krone,NOK,578,Yen,JPY,392,14.16,13.56,13.86
2025-01-10,Norwegian Krone,NOK,578,Yen,JPY,392,14.18,13.58,13.88
2025-01-14,Norwegian Krone,NOK,578,Yen,JPY,392,14.1,13.5,13.8
2025-01-15,Norwegian Krone,NOK,578,Yen,JPY,392,14.18,13.58,13.88
2025-01-16,Norwegian Krone,NOK,578,Yen,JPY,392,14.13,13.53,13.83
2025-01-17,Norwegian Krone,NOK,578,Yen,JPY,392,13.97,13.37,13.67
2025-01-20,Norwegian Krone,NOK,578,Yen,JPY,392,13.97,13.37,13.67
2025-01-21,Norwegian Krone,NOK,578,Yen,JPY,392,14.06,13.46,13.76
2025-01-22,Norwegian Krone,NOK,578,Yen,JPY,392,14.07,13.47,13.77
2025-01-23,Norwegian Krone,NOK,578,Yen,JPY,392,14.16,13.56,13.86
2025-01-24,Norwegian Krone,NOK,578,Yen,JPY,392,14.18,13.58,13.88
2025-01-27,Norwegian Krone,NOK,578,Yen,JPY,392,14.14,13.54,13.84
2025-01-28,Norwegian Krone,NOK,578,Yen,JPY,392,14.03,13.43,13.73
2025-01-29,Norwegian Krone,NOK,578,Yen,JPY,392,14.11,13.51,13.81
2025-01-30,Norwegian Krone,NOK,578,Yen,JPY,392,14.02,13.42,13.72
2025-01-31,Norwegian Krone,NOK,578,Yen,JPY,392,13.93,13.33,13.63
