date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,New Zealand Dollar,NZD,554,Yen,JPY,392,90.64,86.64,88.64
2024-12-11,New Zealand Dollar,NZD,554,Yen,JPY,392,90.11,86.11,88.11
2024-12-12,New Zealand Dollar,NZD,554,Yen,JPY,392,90.38,86.38,88.38
2024-12-13,New Zealand Dollar,NZD,554,Yen,JPY,392,90.2,86.2,88.2
2024-12-16,New Zealand Dollar,NZD,554,Yen,JPY,392,90.81,86.81,88.81
2024-12-17,New Zealand Dollar,NZD,554,Yen,JPY,392,91.28,87.28,89.28
2024-12-18,New Zealand Dollar,NZD,554,Yen,JPY,392,90.46,86.46,88.46
2024-12-19,New Zealand Dollar,NZD,554,Yen,JPY,392,89.17,85.17,87.17
2024-12-20,New Zealand Dollar,NZD,554,Yen,JPY,392,90.77,86.77,88.77
2024-12-23,New Zealand Dollar,NZD,554,Yen,JPY,392,90.47,86.47,88.47
2024-12-24,New Zealand Dollar,NZD,554,Yen,JPY,392,90.85,86.85,88.85
2024-12-25,New Zealand Dollar,NZD,554,Yen,JPY,392,90.89,86.89,88.89
2024-12-26,New Zealand Dollar,NZD,554,Yen,JPY,392,90.95,86.95,88.95
2024-12-27,New Zealand Dollar,NZD,554,Yen,JPY,392,90.91,86.91,88.91
2024-12-30,New Zealand Dollar,NZD,554,Yen,JPY,392,91.17,87.17,89.17
