date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Philippine Peso,PHP,608,Yen,JPY,392,2.77,2.49,2.63
2024-12-11,Philippine Peso,PHP,608,Yen,JPY,392,2.78,2.5,2.64
2024-12-12,Philippine Peso,PHP,608,Yen,JPY,392,2.77,2.49,2.63
2024-12-13,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2024-12-16,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2024-12-17,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2024-12-18,Philippine Peso,PHP,608,Yen,JPY,392,2.77,2.49,2.63
2024-12-19,Philippine Peso,PHP,608,Yen,JPY,392,2.79,2.51,2.65
2024-12-20,Philippine Peso,PHP,608,Yen,JPY,392,2.84,2.56,2.7
2024-12-23,Philippine Peso,PHP,608,Yen,JPY,392,2.83,2.55,2.69
2024-12-24,Philippine Peso,PHP,608,Yen,JPY,392,2.85,2.57,2.71
2024-12-25,Philippine Peso,PHP,608,Yen,JPY,392,2.85,2.57,2.71
2024-12-26,Philippine Peso,PHP,608,Yen,JPY,392,2.84,2.56,2.7
2024-12-27,Philippine Peso,PHP,608,Yen,JPY,392,2.89,2.61,2.75
2024-12-30,Philippine Peso,PHP,608,Yen,JPY,392,2.9,2.62,2.76
