date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Zloty,PLN,985,Yen,JPY,392,38.79,36.39,37.59
2024-12-11,Zloty,PLN,985,Yen,JPY,392,38.78,36.38,37.58
2024-12-12,Zloty,PLN,985,Yen,JPY,392,38.74,36.34,37.54
2024-12-13,Zloty,PLN,985,Yen,JPY,392,38.74,36.34,37.54
2024-12-16,Zloty,PLN,985,Yen,JPY,392,39.21,36.81,38.01
2024-12-17,Zloty,PLN,985,Yen,JPY,392,39.4,37.,38.2
2024-12-18,Zloty,PLN,985,Yen,JPY,392,39.04,36.64,37.84
2024-12-19,Zloty,PLN,985,Yen,JPY,392,38.92,36.52,37.72
2024-12-20,Zloty,PLN,985,Yen,JPY,392,39.69,37.29,38.49
2024-12-23,Zloty,PLN,985,Yen,JPY,392,39.62,37.22,38.42
2024-12-24,Zloty,PLN,985,Yen,JPY,392,39.62,37.22,38.42
2024-12-25,Zloty,PLN,985,Yen,JPY,392,39.76,37.36,38.56
2024-12-26,Zloty,PLN,985,Yen,JPY,392,39.7,37.3,38.5
2024-12-27,Zloty,PLN,985,Yen,JPY,392,39.84,37.44,38.64
2024-12-30,Zloty,PLN,985,Yen,JPY,392,39.84,37.44,38.64
