date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Zloty,PLN,985,Yen,JPY,392,39.26,36.86,38.06
2025-01-07,Zloty,PLN,985,Yen,JPY,392,39.86,37.46,38.66
2025-01-08,Zloty,PLN,985,Yen,JPY,392,39.55,37.15,38.35
2025-01-09,Zloty,PLN,985,Yen,JPY,392,39.37,36.97,38.17
2025-01-10,Zloty,PLN,985,Yen,JPY,392,39.43,37.03,38.23
2025-01-14,Zloty,PLN,985,Yen,JPY,392,39.02,36.62,37.82
2025-01-15,Zloty,PLN,985,Yen,JPY,392,39.36,36.96,38.16
2025-01-16,Zloty,PLN,985,Yen,JPY,392,39.06,36.66,37.86
2025-01-17,Zloty,PLN,985,Yen,JPY,392,38.76,36.36,37.56
2025-01-20,Zloty,PLN,985,Yen,JPY,392,38.9,36.5,37.7
2025-01-21,Zloty,PLN,985,Yen,JPY,392,39.29,36.89,38.09
2025-01-22,Zloty,PLN,985,Yen,JPY,392,39.37,36.97,38.17
2025-01-23,Zloty,PLN,985,Yen,JPY,392,39.77,37.37,38.57
2025-01-24,Zloty,PLN,985,Yen,JPY,392,39.83,37.43,38.63
2025-01-27,Zloty,PLN,985,Yen,JPY,392,39.91,37.51,38.71
2025-01-28,Zloty,PLN,985,Yen,JPY,392,39.66,37.26,38.46
2025-01-29,Zloty,PLN,985,Yen,JPY,392,39.86,37.46,38.66
2025-01-30,Zloty,PLN,985,Yen,JPY,392,39.6,37.2,38.4
2025-01-31,Zloty,PLN,985,Yen,JPY,392,39.36,36.96,38.16
2025-02-03,Zloty,PLN,985,Yen,JPY,392,38.91,36.51,37.71
2025-02-04,Zloty,PLN,985,Yen,JPY,392,39.13,36.73,37.93
2025-02-05,Zloty,PLN,985,Yen,JPY,392,39.18,36.78,37.98
2025-02-06,Zloty,PLN,985,Yen,JPY,392,38.99,36.59,37.79
2025-02-07,Zloty,PLN,985,Yen,JPY,392,38.71,36.31,37.51
2025-02-10,Zloty,PLN,985,Yen,JPY,392,38.6,36.2,37.4
2025-02-12,Zloty,PLN,985,Yen,JPY,392,39.26,36.86,38.06
2025-02-13,Zloty,PLN,985,Yen,JPY,392,39.81,37.41,38.61
2025-02-14,Zloty,PLN,985,Yen,JPY,392,39.57,37.17,38.37
2025-02-17,Zloty,PLN,985,Yen,JPY,392,39.53,37.13,38.33
2025-02-18,Zloty,PLN,985,Yen,JPY,392,39.43,37.03,38.23
2025-02-19,Zloty,PLN,985,Yen,JPY,392,39.49,37.09,38.29
2025-02-20,Zloty,PLN,985,Yen,JPY,392,38.96,36.56,37.76
2025-02-21,Zloty,PLN,985,Yen,JPY,392,39.,36.6,37.8
2025-02-25,Zloty,PLN,985,Yen,JPY,392,39.16,36.76,37.96
2025-02-26,Zloty,PLN,985,Yen,JPY,392,39.04,36.64,37.84
2025-02-27,Zloty,PLN,985,Yen,JPY,392,39.02,36.62,37.82
2025-02-28,Zloty,PLN,985,Yen,JPY,392,38.6,36.2,37.4
2025-03-03,Zloty,PLN,985,Yen,JPY,392,38.75,36.35,37.55
2025-03-04,Zloty,PLN,985,Yen,JPY,392,38.83,36.43,37.63
2025-03-05,Zloty,PLN,985,Yen,JPY,392,39.4,37.,38.2
2025-03-06,Zloty,PLN,985,Yen,JPY,392,40.03,37.63,38.83
2025-03-07,Zloty,PLN,985,Yen,JPY,392,39.45,37.05,38.25
2025-03-10,Zloty,PLN,985,Yen,JPY,392,39.58,37.18,38.38
