date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Saudi Riyal,SAR,682,Yen,JPY,392,41.2,39.6,40.4
2024-12-11,Saudi Riyal,SAR,682,Yen,JPY,392,41.31,39.71,40.51
2024-12-12,Saudi Riyal,SAR,682,Yen,JPY,392,41.42,39.82,40.62
2024-12-13,Saudi Riyal,SAR,682,Yen,JPY,392,41.59,39.99,40.79
2024-12-16,Saudi Riyal,SAR,682,Yen,JPY,392,41.83,40.23,41.03
2024-12-17,Saudi Riyal,SAR,682,Yen,JPY,392,41.93,40.33,41.13
2024-12-18,Saudi Riyal,SAR,682,Yen,JPY,392,41.79,40.19,40.99
2024-12-19,Saudi Riyal,SAR,682,Yen,JPY,392,42.12,40.52,41.32
2024-12-20,Saudi Riyal,SAR,682,Yen,JPY,392,42.92,41.32,42.12
2024-12-23,Saudi Riyal,SAR,682,Yen,JPY,392,42.61,41.01,41.81
2024-12-24,Saudi Riyal,SAR,682,Yen,JPY,392,42.8,41.2,42.
2024-12-25,Saudi Riyal,SAR,682,Yen,JPY,392,42.79,41.19,41.99
2024-12-26,Saudi Riyal,SAR,682,Yen,JPY,392,42.8,41.2,42.
2024-12-27,Saudi Riyal,SAR,682,Yen,JPY,392,43.,41.4,42.2
2024-12-30,Saudi Riyal,SAR,682,Yen,JPY,392,43.03,41.43,42.23
