date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Swedish Krona,SEK,752,Yen,JPY,392,14.29,13.49,13.89
2024-12-11,Swedish Krona,SEK,752,Yen,JPY,392,14.26,13.46,13.86
2024-12-12,Swedish Krona,SEK,752,Yen,JPY,392,14.31,13.51,13.91
2024-12-13,Swedish Krona,SEK,752,Yen,JPY,392,14.3,13.5,13.9
2024-12-16,Swedish Krona,SEK,752,Yen,JPY,392,14.45,13.65,14.05
2024-12-17,Swedish Krona,SEK,752,Yen,JPY,392,14.59,13.79,14.19
2024-12-18,Swedish Krona,SEK,752,Yen,JPY,392,14.44,13.64,14.04
2024-12-19,Swedish Krona,SEK,752,Yen,JPY,392,14.35,13.55,13.95
2024-12-20,Swedish Krona,SEK,752,Yen,JPY,392,14.72,13.92,14.32
2024-12-23,Swedish Krona,SEK,752,Yen,JPY,392,14.62,13.82,14.22
2024-12-24,Swedish Krona,SEK,752,Yen,JPY,392,14.65,13.85,14.25
2024-12-25,Swedish Krona,SEK,752,Yen,JPY,392,14.62,13.82,14.22
2024-12-26,Swedish Krona,SEK,752,Yen,JPY,392,14.63,13.83,14.23
2024-12-27,Swedish Krona,SEK,752,Yen,JPY,392,14.72,13.92,14.32
2024-12-30,Swedish Krona,SEK,752,Yen,JPY,392,14.79,13.99,14.39
