date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Swedish Krona,SEK,752,Yen,JPY,392,14.57,13.77,14.17
2025-01-07,Swedish Krona,SEK,752,Yen,JPY,392,14.72,13.92,14.32
2025-01-08,Swedish Krona,SEK,752,Yen,JPY,392,14.6,13.8,14.2
2025-01-09,Swedish Krona,SEK,752,Yen,JPY,392,14.58,13.78,14.18
2025-01-10,Swedish Krona,SEK,752,Yen,JPY,392,14.57,13.77,14.17
2025-01-14,Swedish Krona,SEK,752,Yen,JPY,392,14.4,13.6,14.
2025-01-15,Swedish Krona,SEK,752,Yen,JPY,392,14.55,13.75,14.15
2025-01-16,Swedish Krona,SEK,752,Yen,JPY,392,14.44,13.64,14.04
2025-01-17,Swedish Krona,SEK,752,Yen,JPY,392,14.33,13.53,13.93
2025-01-20,Swedish Krona,SEK,752,Yen,JPY,392,14.37,13.57,13.97
2025-01-21,Swedish Krona,SEK,752,Yen,JPY,392,14.5,13.7,14.1
2025-01-22,Swedish Krona,SEK,752,Yen,JPY,392,14.57,13.77,14.17
2025-01-23,Swedish Krona,SEK,752,Yen,JPY,392,14.62,13.82,14.22
2025-01-24,Swedish Krona,SEK,752,Yen,JPY,392,14.62,13.82,14.22
2025-01-27,Swedish Krona,SEK,752,Yen,JPY,392,14.62,13.82,14.22
2025-01-28,Swedish Krona,SEK,752,Yen,JPY,392,14.53,13.73,14.13
2025-01-29,Swedish Krona,SEK,752,Yen,JPY,392,14.56,13.76,14.16
2025-01-30,Swedish Krona,SEK,752,Yen,JPY,392,14.48,13.68,14.08
2025-01-31,Swedish Krona,SEK,752,Yen,JPY,392,14.35,13.55,13.95
