date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Singapore Dollar,SGD,702,Yen,JPY,392,113.84,112.18,113.01
2024-12-11,Singapore Dollar,SGD,702,Yen,JPY,392,114.03,112.37,113.2
2024-12-12,Singapore Dollar,SGD,702,Yen,JPY,392,114.28,112.62,113.45
2024-12-13,Singapore Dollar,SGD,702,Yen,JPY,392,114.43,112.77,113.6
2024-12-16,Singapore Dollar,SGD,702,Yen,JPY,392,115.01,113.35,114.18
2024-12-17,Singapore Dollar,SGD,702,Yen,JPY,392,115.2,113.54,114.37
2024-12-18,Singapore Dollar,SGD,702,Yen,JPY,392,114.76,113.1,113.93
2024-12-19,Singapore Dollar,SGD,702,Yen,JPY,392,114.66,113.,113.83
2024-12-20,Singapore Dollar,SGD,702,Yen,JPY,392,116.85,115.19,116.02
2024-12-23,Singapore Dollar,SGD,702,Yen,JPY,392,116.49,114.83,115.66
2024-12-24,Singapore Dollar,SGD,702,Yen,JPY,392,116.85,115.19,116.02
2024-12-25,Singapore Dollar,SGD,702,Yen,JPY,392,116.67,115.01,115.84
2024-12-26,Singapore Dollar,SGD,702,Yen,JPY,392,116.73,115.07,115.9
2024-12-27,Singapore Dollar,SGD,702,Yen,JPY,392,117.24,115.58,116.41
2024-12-30,Singapore Dollar,SGD,702,Yen,JPY,392,117.34,115.68,116.51
