date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-02-03,Singapore Dollar,SGD,702,Yen,JPY,392,114.51,112.85,113.68
2025-02-04,Singapore Dollar,SGD,702,Yen,JPY,392,115.03,113.37,114.2
2025-02-05,Singapore Dollar,SGD,702,Yen,JPY,392,114.81,113.15,113.98
2025-02-06,Singapore Dollar,SGD,702,Yen,JPY,392,113.96,112.3,113.13
2025-02-07,Singapore Dollar,SGD,702,Yen,JPY,392,112.86,111.2,112.03
2025-02-10,Singapore Dollar,SGD,702,Yen,JPY,392,112.9,111.24,112.07
2025-02-12,Singapore Dollar,SGD,702,Yen,JPY,392,114.05,112.39,113.22
2025-02-13,Singapore Dollar,SGD,702,Yen,JPY,392,115.03,113.37,114.2
2025-02-14,Singapore Dollar,SGD,702,Yen,JPY,392,114.54,112.88,113.71
2025-02-17,Singapore Dollar,SGD,702,Yen,JPY,392,114.25,112.59,113.42
2025-02-18,Singapore Dollar,SGD,702,Yen,JPY,392,113.85,112.19,113.02
2025-02-19,Singapore Dollar,SGD,702,Yen,JPY,392,114.14,112.48,113.31
2025-02-20,Singapore Dollar,SGD,702,Yen,JPY,392,113.47,111.81,112.64
2025-02-21,Singapore Dollar,SGD,702,Yen,JPY,392,113.15,111.49,112.32
2025-02-25,Singapore Dollar,SGD,702,Yen,JPY,392,112.98,111.32,112.15
2025-02-26,Singapore Dollar,SGD,702,Yen,JPY,392,112.32,110.66,111.49
2025-02-27,Singapore Dollar,SGD,702,Yen,JPY,392,112.31,110.65,111.48
2025-02-28,Singapore Dollar,SGD,702,Yen,JPY,392,111.87,110.21,111.04
