date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Turkish Lira,TRY,949,Yen,JPY,392,6.86,1.86,4.36
2024-12-11,Turkish Lira,TRY,949,Yen,JPY,392,6.86,1.86,4.36
2024-12-12,Turkish Lira,TRY,949,Yen,JPY,392,6.88,1.88,4.38
2024-12-13,Turkish Lira,TRY,949,Yen,JPY,392,6.89,1.89,4.39
2024-12-16,Turkish Lira,TRY,949,Yen,JPY,392,6.91,1.91,4.41
2024-12-17,Turkish Lira,TRY,949,Yen,JPY,392,6.92,1.92,4.42
2024-12-18,Turkish Lira,TRY,949,Yen,JPY,392,6.9,1.9,4.4
2024-12-19,Turkish Lira,TRY,949,Yen,JPY,392,6.93,1.93,4.43
2024-12-20,Turkish Lira,TRY,949,Yen,JPY,392,7.01,2.01,4.51
2024-12-23,Turkish Lira,TRY,949,Yen,JPY,392,6.95,1.95,4.45
2024-12-24,Turkish Lira,TRY,949,Yen,JPY,392,6.98,1.98,4.48
2024-12-25,Turkish Lira,TRY,949,Yen,JPY,392,7.,2.,4.5
2024-12-26,Turkish Lira,TRY,949,Yen,JPY,392,6.99,1.99,4.49
2024-12-27,Turkish Lira,TRY,949,Yen,JPY,392,7.01,2.01,4.51
2024-12-30,Turkish Lira,TRY,949,Yen,JPY,392,6.98,1.98,4.48
