date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,US Dollar,USD,840,Yen,JPY,392,152.54,150.54,151.54
2024-12-11,US Dollar,USD,840,Yen,JPY,392,152.86,150.86,151.86
2024-12-12,US Dollar,USD,840,Yen,JPY,392,153.4,151.4,152.4
2024-12-13,US Dollar,USD,840,Yen,JPY,392,154.02,152.02,153.02
2024-12-16,US Dollar,USD,840,Yen,JPY,392,154.92,152.92,153.92
2024-12-17,US Dollar,USD,840,Yen,JPY,392,155.27,153.27,154.27
2024-12-18,US Dollar,USD,840,Yen,JPY,392,154.74,152.74,153.74
2024-12-19,US Dollar,USD,840,Yen,JPY,392,155.94,153.94,154.94
2024-12-20,US Dollar,USD,840,Yen,JPY,392,158.95,156.95,157.95
2024-12-23,US Dollar,USD,840,Yen,JPY,392,157.72,155.72,156.72
2024-12-24,US Dollar,USD,840,Yen,JPY,392,158.45,156.45,157.45
2024-12-25,US Dollar,USD,840,Yen,JPY,392,158.38,156.38,157.38
2024-12-26,US Dollar,USD,840,Yen,JPY,392,158.43,156.43,157.43
2024-12-27,US Dollar,USD,840,Yen,JPY,392,159.18,157.18,158.18
2024-12-30,US Dollar,USD,840,Yen,JPY,392,159.18,157.18,158.18
