date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,US Dollar,USD,840,Yen,JPY,392,158.73,156.73,157.73
2025-01-07,US Dollar,USD,840,Yen,JPY,392,159.22,157.22,158.22
2025-01-08,US Dollar,USD,840,Yen,JPY,392,159.09,157.09,158.09
2025-01-09,US Dollar,USD,840,Yen,JPY,392,159.43,157.43,158.43
2025-01-10,US Dollar,USD,840,Yen,JPY,392,159.18,157.18,158.18
2025-01-14,US Dollar,USD,840,Yen,JPY,392,158.57,156.57,157.57
2025-01-15,US Dollar,USD,840,Yen,JPY,392,159.08,157.08,158.08
2025-01-16,US Dollar,USD,840,Yen,JPY,392,157.46,155.46,156.46
2025-01-17,US Dollar,USD,840,Yen,JPY,392,156.25,154.25,155.25
2025-01-20,US Dollar,USD,840,Yen,JPY,392,157.08,155.08,156.08
2025-01-21,US Dollar,USD,840,Yen,JPY,392,157.1,155.1,156.1
2025-01-22,US Dollar,USD,840,Yen,JPY,392,156.55,154.55,155.55
2025-01-23,US Dollar,USD,840,Yen,JPY,392,157.5,155.5,156.5
2025-01-24,US Dollar,USD,840,Yen,JPY,392,157.33,155.33,156.33
2025-01-27,US Dollar,USD,840,Yen,JPY,392,156.6,154.6,155.6
2025-01-28,US Dollar,USD,840,Yen,JPY,392,156.13,154.13,155.13
2025-01-29,US Dollar,USD,840,Yen,JPY,392,156.68,154.68,155.68
2025-01-30,US Dollar,USD,840,Yen,JPY,392,155.76,153.76,154.76
2025-01-31,US Dollar,USD,840,Yen,JPY,392,155.43,153.43,154.43
