date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2024-12-10,Rand,ZAR,710,Yen,JPY,392,10.01,7.01,8.51
2024-12-11,Rand,ZAR,710,Yen,JPY,392,10.03,7.03,8.53
2024-12-12,Rand,ZAR,710,Yen,JPY,392,10.12,7.12,8.62
2024-12-13,Rand,ZAR,710,Yen,JPY,392,10.1,7.1,8.6
2024-12-16,Rand,ZAR,710,Yen,JPY,392,10.12,7.12,8.62
2024-12-17,Rand,ZAR,710,Yen,JPY,392,10.15,7.15,8.65
2024-12-18,Rand,ZAR,710,Yen,JPY,392,10.,7.,8.5
2024-12-19,Rand,ZAR,710,Yen,JPY,392,9.97,6.97,8.47
2024-12-20,Rand,ZAR,710,Yen,JPY,392,10.06,7.06,8.56
2024-12-23,Rand,ZAR,710,Yen,JPY,392,10.05,7.05,8.55
2024-12-24,Rand,ZAR,710,Yen,JPY,392,9.99,6.99,8.49
2024-12-25,Rand,ZAR,710,Yen,JPY,392,9.9,6.9,8.4
2024-12-26,Rand,ZAR,710,Yen,JPY,392,9.91,6.91,8.41
2024-12-27,Rand,ZAR,710,Yen,JPY,392,9.89,6.89,8.39
2024-12-30,Rand,ZAR,710,Yen,JPY,392,9.97,6.97,8.47
