date,baseCurrencyName,baseCurrencyCode,baseCurrencyNum,quoteCurrencyName,quoteCurrencyCode,quoteCurrencyNum,ask,bid,mid
2025-01-06,Rand,ZAR,710,Yen,JPY,392,9.91,6.91,8.41
2025-01-07,Rand,ZAR,710,Yen,JPY,392,10.02,7.02,8.52
2025-01-08,Rand,ZAR,710,Yen,JPY,392,9.94,6.94,8.44
2025-01-09,Rand,ZAR,710,Yen,JPY,392,9.87,6.87,8.37
2025-01-10,Rand,ZAR,710,Yen,JPY,392,9.85,6.85,8.35
2025-01-14,Rand,ZAR,710,Yen,JPY,392,9.79,6.79,8.29
2025-01-15,Rand,ZAR,710,Yen,JPY,392,9.85,6.85,8.35
2025-01-16,Rand,ZAR,710,Yen,JPY,392,9.84,6.84,8.34
2025-01-17,Rand,ZAR,710,Yen,JPY,392,9.75,6.75,8.25
2025-01-20,Rand,ZAR,710,Yen,JPY,392,9.82,6.82,8.32
2025-01-21,Rand,ZAR,710,Yen,JPY,392,9.88,6.88,8.38
2025-01-22,Rand,ZAR,710,Yen,JPY,392,9.92,6.92,8.42
2025-01-23,Rand,ZAR,710,Yen,JPY,392,9.95,6.95,8.45
2025-01-24,Rand,ZAR,710,Yen,JPY,392,9.94,6.94,8.44
2025-01-27,Rand,ZAR,710,Yen,JPY,392,9.9,6.9,8.4
2025-01-28,Rand,ZAR,710,Yen,JPY,392,9.75,6.75,8.25
2025-01-29,Rand,ZAR,710,Yen,JPY,392,9.82,6.82,8.32
2025-01-30,Rand,ZAR,710,Yen,JPY,392,9.84,6.84,8.34
2025-01-31,Rand,ZAR,710,Yen,JPY,392,9.81,6.81,8.31
